	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2021-05-10	2527.6	short	1	True	1.0		
1	2021-05-11	2516.5	short	2	True	2.0	11.099999999999909	11.099999999999909
2	2021-05-12	2475.28	short	3	True	3.0	82.4399999999996	93.53999999999951
3	2021-05-13	2445.5	short	4	True	4.0	89.3400000000006	182.8800000000001
4	2021-05-14	2456.25	short	5	True	5.0	-43.0	139.8800000000001
5	2021-05-17	2492.2	short	5			-179.7499999999991	-39.86999999999898
6	2021-05-18	2471.0	short	5			105.99999999999909	66.13000000000011
7	2021-05-19	2408.0	short	5			315.0	381.1300000000001
8	2021-05-20	2388.4	short	5			97.99999999999955	479.12999999999965
9	2021-05-21	2362.5	short	5			129.50000000000045	608.6300000000001
10	2021-05-24	2378.25	short	5			-78.75	529.8800000000001
11	2021-05-25	2362.3	short	5			79.74999999999909	609.6299999999992
12	2021-05-26	2391.75	short	5			-147.2499999999991	462.3800000000001
13	2021-05-27	2471.25	short	5			-397.5	64.88000000000011
14	2021-05-28	2473.26	short	5			-10.050000000001091	54.82999999999902
15	2021-05-31		short	5			-0.0	54.82999999999902
16	2021-06-01	2458.45	short	5			74.050000000002	128.88000000000102
17	2021-06-02	2433.9	short	5			122.74999999999864	251.62999999999965
18	2021-06-03	2394.09	short	5			199.04999999999973	450.6799999999994
19	2021-06-04	2444.75	short	5			-253.29999999999927	197.3800000000001
20	2021-06-07	2414.26	short	5			152.4499999999989	349.829999999999
21	2021-06-08	2444.0	long	1	True	1.0		
22	2021-06-08	2444.0	short	4	True	1.0	-148.6999999999989	201.1300000000001
23	2021-06-09	2450.8	long	2	True	2.0	6.800000000000182	207.9300000000003
24	2021-06-09	2450.8	short	3	True	2.0	-27.200000000000728	180.72999999999956
25	2021-06-10	2466.75	long	3	True	3.0	31.899999999999636	212.6299999999992
26	2021-06-10	2466.75	short	2	True	3.0	-47.849999999999454	164.77999999999975
27	2021-06-11	2453.2	long	4	True	4.0	-40.650000000000546	124.1299999999992
28	2021-06-11	2453.2	short	1	True	4.0	27.100000000000364	151.22999999999956
29	2021-06-14	2482.75	long	5	True	5.0	118.20000000000073	269.4300000000003
30	2021-06-14	2482.75	short	0	True	5.0	-29.550000000000182	239.8800000000001
31	2021-06-15	2455.75	long	5			-135.0	104.88000000000011
32	2021-06-16	2458.75	long	5			15.0	119.88000000000011
33	2021-06-17	2389.5	long	5			-346.25	-226.3699999999999
34	2021-06-18	2375.0	long	5			-72.5	-298.8699999999999
35	2021-06-21	2390.75	long	5			78.75	-220.1199999999999
36	2021-06-22	2410.25	long	5			97.5	-122.61999999999989
37	2021-06-23	2425.25	long	5			75.0	-47.61999999999989
38	2021-06-24	2429.25	long	5			20.0	-27.61999999999989
39	2021-06-25	2478.75	long	5			247.5	219.8800000000001
40	2021-06-28	2483.25	long	5			22.5	242.3800000000001
41	2021-06-29	2549.0	long	5			328.75	571.1300000000001
42	2021-06-30	2519.5	long	5			-147.5	423.6300000000001
43	2021-07-01	2503.5	long	5			-80.0	343.6300000000001
44	2021-07-02	2554.5	long	5			255.0	598.6300000000001
45	2021-07-05	2543.5	long	5			-55.0	543.6300000000001
46	2021-07-06	2516.75	long	5			-133.75	409.8800000000001
47	2021-07-07	2487.25	long	5			-147.5	262.3800000000001
48	2021-07-08	2429.0	long	4	True	1.0	-291.25	-28.86999999999989
49	2021-07-09	2485.25	long	3	True	2.0	225.0	196.1300000000001
50	2021-07-12	2474.0	long	2	True	3.0	-33.75	162.3800000000001
51	2021-07-13	2522.75	long	1	True	4.0	97.5	259.8800000000001
52	2021-07-14	2510.3	long	0	True	5.0	-12.449999999999818	247.4300000000003
