	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2018-11-08	2042.0	short	1	True	1.0		
1	2018-11-09	2008.5	short	2	True	2.0	33.5	33.5
2	2018-11-12	1996.75	short	3	True	3.0	23.5	57.0
3	2018-11-13	1990.25	short	4	True	4.0	19.5	76.5
4	2018-11-14	2000.25	short	5	True	5.0	-40.0	36.5
5	2018-11-15	1988.25	short	5			60.0	96.5
6	2018-11-16	1997.75	short	5			-47.5	49.0
7	2018-11-19	1985.5	short	5			61.25	110.25
8	2018-11-20	1992.75	short	5			-36.25	74.0
9	2018-11-21	2008.0	short	5			-76.25	-2.25
10	2018-11-22	2002.0	short	5			30.0	27.75
11	2018-11-23	2007.0	short	5			-25.0	2.75
12	2018-11-26	2010.5	short	5			-17.5	-14.75
13	2018-11-27	1990.0	short	5			102.5	87.75
14	2018-11-28	1990.25	short	5			-1.25	86.5
15	2018-11-29	1996.25	short	5			-30.0	56.5
16	2018-11-30	2011.25	short	5			-75.0	-18.5
17	2018-12-03	2023.5	short	5			-61.25	-79.75
18	2018-12-04	2019.5	short	5			20.0	-59.75
19	2018-12-05	2017.0	short	5			12.5	-47.25
20	2018-12-06	1983.0	short	5			170.0	122.75
21	2018-12-07	2004.25	short	5			-106.25	16.5
22	2018-12-10	1987.75	short	4	True	1.0	82.5	99.0
23	2018-12-11	1990.5	short	3	True	2.0	-11.0	88.0
24	2018-12-12	1988.25	short	2	True	3.0	6.75	94.75
25	2018-12-13	1980.75	short	1	True	4.0	15.0	109.75
26	2018-12-14	1971.75	short	0	True	5.0	9.0	118.75
27	2019-09-09	1788.0	long	1	True	1.0		
28	2019-09-10	1809.5	long	2	True	2.0	21.5	140.25
29	2019-09-11	1812.0	long	3	True	3.0	5.0	145.25
30	2019-09-12	1785.75	long	4	True	4.0	-78.75	66.5
31	2019-09-13	1791.25	long	5	True	5.0	22.0	88.5
32	2019-09-16	1774.5	long	5			-83.75	4.75
33	2019-09-17	1774.5	long	5			0.0	4.75
34	2019-09-18	1767.25	long	5			-36.25	-31.5
35	2019-09-19	1788.0	long	5			103.75	72.25
36	2019-09-20	1785.5	long	5			-12.5	59.75
37	2019-09-23	1776.25	long	5			-46.25	13.5
38	2019-09-24	1751.0	long	5			-126.25	-112.75
39	2019-09-25	1738.75	long	5			-61.25	-174.0
40	2019-09-26	1725.0	long	5			-68.75	-242.75
41	2019-09-27	1722.75	long	5			-11.25	-254.0
42	2019-09-30	1707.5	long	5			-76.25	-330.25
43	2019-10-01	1726.25	long	5			93.75	-236.5
44	2019-10-02	1689.75	long	5			-182.5	-419.0
45	2019-10-03	1705.25	long	5			77.5	-341.5
46	2019-10-04	1708.25	long	5			15.0	-326.5
47	2019-10-07	1741.25	long	5			165.0	-161.5
48	2019-10-08	1744.75	long	4	True	1.0	17.5	-144.0
49	2019-10-09	1737.5	long	3	True	2.0	-29.0	-173.0
50	2019-10-10	1745.75	long	2	True	3.0	24.75	-148.25
51	2019-10-11	1714.0	long	1	True	4.0	-63.5	-211.75
52	2019-10-14	1709.25	long	0	True	5.0	-4.75	-216.5
