	Date	Price	Quantity	long_short	IS_ROLLING	Day	Pnl	cum_PnL
0	1998-11-16	1431.75	5	short				
1	1998-11-17	1426.75	5	short			25.0	25.0
2	1998-11-18	1423.5	5	short			16.25	41.25
3	1998-11-19	1414.0	5	short			47.5	88.75
4	1998-11-20	1411.75	5	short			11.25	100.0
5	1998-11-23	1413.0	5	short			-6.25	93.75
6	1998-11-24	1411.75	5	short			6.25	100.0
7	1998-11-25	1410.25	5	short			7.5	107.5
8	1998-11-26	1418.75	5	short			-42.5	65.0
9	1998-11-27	1420.0	5	short			-6.25	58.75
10	1998-11-30	1416.75	5	short			16.25	75.0
11	1998-12-01	1413.25	5	short			17.5	92.5
12	1998-12-02	1409.25	5	short			20.0	112.5
13	1998-12-03	1394.0	5	short			76.25	188.75
14	1998-12-04	1393.5	5	short			2.5	191.25
15	1998-12-07	1403.5	5	short			-50.0	141.25
16	1998-12-08	1404.75	5	short			-6.25	135.0
17	1998-12-09	1409.25	5	short			-22.5	112.5
18	1998-12-10	1402.0	5	short			36.25	148.75
19	1998-12-11	1391.25	5	short			53.75	202.5
20	1998-12-14	1396.0	5	short			-23.75	178.75
21	1998-12-15	1383.0	5	short			65.0	243.75
22	1998-12-16	1390.5	5	short			-37.5	206.25
23	1998-12-17	1378.5	5	short			60.0	266.25
24	1998-12-18	1374.75	5	short			18.75	285.0
25	1998-12-21	1376.5	5	short			-8.75	276.25
26	1998-12-22	1379.25	5	short			-13.75	262.5
27	1998-12-23	1374.25	5	short			25.0	287.5
28	1998-12-24	1377.75	5	short			-17.5	270.0
29	1998-12-25		5	short			-0.0	270.0
30	1998-12-28		5	short			-0.0	270.0
31	1998-12-29	1383.25	5	short			-27.5	242.5
32	1998-12-30	1381.25	5	short			10.0	252.5
33	1998-12-31	1370.25	5	short			55.0	307.5
34	1999-01-01		5	short			-0.0	307.5
35	1999-01-04	1365.0	5	short			26.25	333.75
36	1999-01-05	1359.5	5	short			27.5	361.25
37	1999-01-06	1355.25	5	short			21.25	382.5
38	1999-01-07	1357.25	5	short			-10.0	372.5
39	1999-01-08	1362.0	5	short			-23.75	348.75
40	1999-01-11	1376.0	5	short			-70.0	278.75
