	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2021-06-08	2455.75	short	1	True	1.0		
1	2021-06-09	2452.3	short	2	True	2.0	3.449999999999818	3.449999999999818
2	2021-06-10	2464.25	short	3	True	3.0	-23.899999999999636	-20.449999999999818
3	2021-06-11	2459.7	short	4	True	4.0	13.650000000000546	-6.799999999999272
4	2021-06-14	2487.25	short	5	True	5.0	-110.20000000000073	-117.0
5	2021-06-15	2468.0	short	5			96.25	-20.75
6	2021-06-16	2472.25	short	5			-21.25	-42.0
7	2021-06-17	2407.25	short	5			325.0	283.0
8	2021-06-18	2393.75	short	5			67.5	350.5
9	2021-06-21	2408.5	short	5			-73.75	276.75
10	2021-06-22	2425.0	short	5			-82.5	194.25
11	2021-06-23	2433.5	short	5			-42.5	151.75
12	2021-06-24	2431.0	short	5			12.5	164.25
13	2021-06-25	2463.75	short	5			-163.75	0.5
14	2021-06-28	2461.25	short	5			12.5	13.0
15	2021-06-29	2501.5	short	5			-201.25	-188.25
16	2021-06-30	2488.0	short	5			67.5	-120.75
17	2021-07-01	2485.5	short	5			12.5	-108.25
18	2021-07-02	2533.5	short	5			-240.0	-348.25
19	2021-07-05	2532.5	short	5			5.0	-343.25
20	2021-07-06	2517.25	short	5			76.25	-267.0
21	2021-07-07	2491.75	short	5			127.5	-139.5
22	2021-07-08	2432.25	short	4	True	1.0	297.5	158.0
23	2021-07-09	2492.75	short	3	True	2.0	-242.0	-84.0
24	2021-07-12	2483.0	short	2	True	3.0	29.25	-54.75
25	2021-07-13	2525.5	short	1	True	4.0	-85.0	-139.75
26	2021-07-14	2518.3	short	0	True	5.0	7.199999999999818	-132.55000000000018
27	2022-05-09	2735.0	long	1	True	1.0		
28	2022-05-10	2734.2	long	2	True	2.0	-0.8000000000001819	-133.35000000000036
29	2022-05-11	2758.75	long	3	True	3.0	49.100000000000364	-84.25
30	2022-05-12	2722.75	long	4	True	4.0	-108.0	-192.25
31	2022-05-13	2772.25	long	5	True	5.0	198.0	5.75
32	2022-05-16	2815.75	long	5			217.5	223.25
33	2022-05-17	2877.0	long	5			306.25	529.5
34	2022-05-18	2847.01	long	5			-149.9499999999989	379.5500000000011
35	2022-05-19	2901.54	long	5			272.6499999999987	652.1999999999998
36	2022-05-20	2940.51	long	5			194.85000000000127	847.0500000000011
37	2022-05-23	2940.25	long	5			-1.3000000000010914	845.75
38	2022-05-24	2882.9	long	5			-286.74999999999955	559.0000000000005
39	2022-05-25	2856.0	long	5			-134.50000000000045	424.5
40	2022-05-26	2846.5	long	5			-47.5	377.0
41	2022-05-27	2853.0	long	5			32.5	409.5
42	2022-05-30	2867.68	long	5			73.39999999999918	482.8999999999992
43	2022-05-31	2763.75	long	5			-519.6499999999992	-36.75
44	2022-06-01	2703.0	long	5			-303.75	-340.5
45	2022-06-02		long	5			0.0	-340.5
46	2022-06-03		long	5			0.0	-340.5
47	2022-06-06	2755.61	long	5			263.05000000000064	-77.44999999999936
48	2022-06-07	2749.0	long	5			-33.05000000000064	-110.5
49	2022-06-08	2790.5	long	4	True	1.0	207.5	97.0
50	2022-06-09	2733.5	long	3	True	2.0	-228.0	-131.0
51	2022-06-10	2661.25	long	2	True	3.0	-216.75	-347.75
52	2022-06-13	2602.5	long	1	True	4.0	-117.5	-465.25
53	2022-06-14		long	1	True	5.0	0.0	-465.25
