	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2013-03-08	2011.75	short	1	True	1.0		
1	2013-03-11	1998.25	short	2	True	2.0	13.5	13.5
2	2013-03-12	2029.0	short	3	True	3.0	-61.5	-48.0
3	2013-03-13	2011.0	short	4	True	4.0	54.0	6.0
4	2013-03-14	2013.5	short	5	True	5.0	-10.0	-4.0
5	2013-03-15	2001.75	short	5			58.75	54.75
6	2013-03-18	1978.75	short	5			115.0	169.75
7	2013-03-19	1982.75	short	5			-20.0	149.75
8	2013-03-20	1986.25	short	5			-17.5	132.25
9	2013-03-21	1977.0	short	5			46.25	178.5
10	2013-03-22	2004.75	short	5			-138.75	39.75
11	2013-03-25	1991.5	short	5			66.25	106.0
12	2013-03-26	1972.5	short	5			95.0	201.0
13	2013-03-27	1979.5	short	5			-35.0	166.0
14	2013-03-28	1967.5	short	5			60.0	226.0
15	2013-03-29		short	5			-0.0	226.0
16	2013-04-01		short	5			-0.0	226.0
17	2013-04-02	1956.0	short	5			57.5	283.5
18	2013-04-03	1945.0	short	5			55.0	338.5
19	2013-04-04	1951.5	short	5			-32.5	306.0
20	2013-04-05	1956.0	short	5			-22.5	283.5
21	2013-04-08	1968.25	short	4	True	1.0	-61.25	222.25
22	2013-04-09	1994.5	short	3	True	2.0	-105.0	117.25
23	2013-04-10	1981.5	short	2	True	3.0	39.0	156.25
24	2013-04-11	1969.25	short	1	True	4.0	24.5	180.75
25	2013-04-12	1922.75	short	0	True	5.0	46.5	227.25
26	2014-03-10	1750.5	long	1	True	1.0		
27	2014-03-11	1725.25	long	2	True	2.0	-25.25	202.0
28	2014-03-12	1732.75	long	3	True	3.0	15.0	217.0
29	2014-03-13	1714.75	long	4	True	4.0	-54.0	163.0
30	2014-03-14	1713.0	long	5	True	5.0	-7.0	156.0
31	2014-03-17	1697.0	long	5			-80.0	76.0
32	2014-03-18	1707.25	long	5			51.25	127.25
33	2014-03-19	1709.0	long	5			8.75	136.0
34	2014-03-20	1681.75	long	5			-136.25	-0.25
35	2014-03-21	1694.0	long	5			61.25	61.0
36	2014-03-24	1699.75	long	5			28.75	89.75
37	2014-03-25	1720.75	long	5			105.0	194.75
38	2014-03-26	1696.25	long	5			-122.5	72.25
39	2014-03-27	1704.5	long	5			41.25	113.5
40	2014-03-28	1724.25	long	5			98.75	212.25
41	2014-03-31	1751.0	long	5			133.75	346.0
42	2014-04-01	1761.0	long	5			50.0	396.0
43	2014-04-02	1795.5	long	5			172.5	568.5
44	2014-04-03	1800.25	long	5			23.75	592.25
45	2014-04-04	1788.75	long	5			-57.5	534.75
46	2014-04-07	1784.75	long	5			-20.0	514.75
47	2014-04-08	1787.0	long	4	True	1.0	11.25	526.0
48	2014-04-09	1828.75	long	3	True	2.0	167.0	693.0
49	2014-04-10	1859.25	long	2	True	3.0	91.5	784.5
50	2014-04-11	1848.5	long	1	True	4.0	-21.5	763.0
51	2014-04-14	1844.0	long	0	True	5.0	-4.5	758.5
