	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2004-10-08	1877.5	short	1	True	1.0		
1	2004-10-11	1855.0	short	2	True	2.0	22.5	22.5
2	2004-10-12	1829.0	short	3	True	3.0	52.0	74.5
3	2004-10-13	1716.5	short	4	True	4.0	337.5	412.0
4	2004-10-14	1742.5	short	5	True	5.0	-104.0	308.0
5	2004-10-15	1760.5	short	5			-90.0	218.0
6	2004-10-18	1739.0	short	5			107.5	325.5
7	2004-10-19	1765.0	short	5			-130.0	195.5
8	2004-10-20	1748.0	short	5			85.0	280.5
9	2004-10-21	1753.0	short	5			-25.0	255.5
10	2004-10-22	1752.0	short	5			5.0	260.5
11	2004-10-25	1741.5	short	5			52.5	313.0
12	2004-10-26	1751.5	short	5			-50.0	263.0
13	2004-10-27	1771.5	short	5			-100.0	163.0
14	2004-10-28	1767.0	short	5			22.5	185.5
15	2004-10-29	1820.5	short	5			-267.5	-82.0
16	2004-11-01	1809.5	short	5			55.0	-27.0
17	2004-11-02	1795.5	short	5			70.0	43.0
18	2004-11-03	1804.0	short	5			-42.5	0.5
19	2004-11-04	1814.5	short	5			-52.5	-52.0
20	2004-11-05	1828.5	short	5			-70.0	-122.0
21	2004-11-08	1805.5	short	4	True	1.0	115.0	-7.0
22	2004-11-09	1803.0	short	3	True	2.0	10.0	3.0
23	2004-11-10	1793.0	short	2	True	3.0	30.0	33.0
24	2004-11-11	1789.0	short	1	True	4.0	8.0	41.0
25	2004-11-12	1815.5	short	0	True	5.0	-26.5	14.5
26	2004-12-08	1799.25	long	1	True	1.0		
27	2004-12-09	1784.25	long	2	True	2.0	-15.0	-0.5
28	2004-12-10	1783.25	long	3	True	3.0	-2.0	-2.5
29	2004-12-13	1810.75	long	4	True	4.0	82.5	80.0
30	2004-12-14	1794.0	long	5	True	5.0	-67.0	13.0
31	2004-12-15	1825.5	long	5			157.5	170.5
32	2004-12-16	1833.5	long	5			40.0	210.5
33	2004-12-17	1833.5	long	5			0.0	210.5
34	2004-12-20	1860.0	long	5			132.5	343.0
35	2004-12-21	1878.75	long	5			93.75	436.75
36	2004-12-22	1907.0	long	5			141.25	578.0
37	2004-12-23	1921.5	long	5			72.5	650.5
38	2004-12-24	1930.0	long	5			42.5	693.0
39	2004-12-27		long	5			0.0	693.0
40	2004-12-28		long	5			0.0	693.0
41	2004-12-29	1958.5	long	5			142.5	835.5
42	2004-12-30	1969.0	long	5			52.5	888.0
43	2004-12-31	1963.5	long	5			-27.5	860.5
44	2005-01-03		long	5			0.0	860.5
45	2005-01-04	1807.0	long	5			-782.5	78.0
46	2005-01-05	1829.5	long	5			112.5	190.5
47	2005-01-06	1811.5	long	5			-90.0	100.5
48	2005-01-07	1819.5	long	5			40.0	140.5
49	2005-01-10	1816.25	long	4	True	1.0	-16.25	124.25
50	2005-01-11	1843.25	long	3	True	2.0	108.0	232.25
51	2005-01-12	1852.25	long	2	True	3.0	27.0	259.25
52	2005-01-13	1835.25	long	1	True	4.0	-34.0	225.25
53	2005-01-14	1834.25	long	0	True	5.0	-1.0	224.25
