	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2009-04-08	1509.75	short	1	True	1.0		
1	2009-04-09	1552.25	short	2	True	2.0	-42.5	-42.5
2	2009-04-10		short	2	True	3.0	-0.0	-42.5
3	2009-04-13		short	2	True	4.0	-0.0	-42.5
4	2009-04-14	1528.5	short	5	True	5.0	47.5	5.0
5	2009-04-15	1530.25	short	5			-8.75	-3.75
6	2009-04-16	1496.75	short	5			167.5	163.75
7	2009-04-17	1500.25	short	5			-17.5	146.25
8	2009-04-20	1453.0	short	5			236.25	382.5
9	2009-04-21	1471.25	short	5			-91.25	291.25
10	2009-04-22	1479.75	short	5			-42.5	248.75
11	2009-04-23	1459.25	short	5			102.5	351.25
12	2009-04-24	1467.75	short	5			-42.5	308.75
13	2009-04-27	1455.5	short	5			61.25	370.0
14	2009-04-28	1445.0	short	5			52.5	422.5
15	2009-04-29	1466.0	short	5			-105.0	317.5
16	2009-04-30	1502.0	short	5			-180.0	137.5
17	2009-05-01	1546.75	short	5			-223.75	-86.25
18	2009-05-04		short	5			-0.0	-86.25
19	2009-05-05	1549.75	short	5			-15.0	-101.25
20	2009-05-06	1576.5	short	5			-133.75	-235.0
21	2009-05-07	1572.0	short	5			22.5	-212.5
22	2009-05-08	1549.0	short	4	True	1.0	115.0	-97.5
23	2009-05-11	1542.25	short	3	True	2.0	27.0	-70.5
24	2009-05-12	1549.5	short	2	True	3.0	-21.75	-92.25
25	2009-05-13	1529.25	short	1	True	4.0	40.5	-51.75
26	2009-05-14	1534.25	short	0	True	5.0	-5.0	-56.75
27	2009-07-08	1534.75	long	1	True	1.0		
28	2009-07-09	1569.25	long	2	True	2.0	34.5	-22.25
29	2009-07-10	1556.25	long	3	True	3.0	-26.0	-48.25
30	2009-07-13	1544.0	long	4	True	4.0	-36.75	-85.0
31	2009-07-14	1589.75	long	5	True	5.0	183.0	98.0
32	2009-07-15	1638.5	long	5			243.75	341.75
33	2009-07-16	1678.25	long	5			198.75	540.5
34	2009-07-17	1691.75	long	5			67.5	608.0
35	2009-07-20	1693.75	long	5			10.0	618.0
36	2009-07-21	1697.0	long	5			16.25	634.25
37	2009-07-22	1726.5	long	5			147.5	781.75
38	2009-07-23	1773.5	long	5			235.0	1016.75
39	2009-07-24	1798.25	long	5			123.75	1140.5
40	2009-07-27	1811.0	long	5			63.75	1204.25
41	2009-07-28	1804.0	long	5			-35.0	1169.25
42	2009-07-29	1775.0	long	5			-145.0	1024.25
43	2009-07-30	1861.5	long	5			432.5	1456.75
44	2009-07-31	1873.5	long	5			60.0	1516.75
45	2009-08-03	1951.0	long	5			387.5	1904.25
46	2009-08-04	1969.0	long	5			90.0	1994.25
47	2009-08-05	2047.75	long	5			393.75	2388.0
48	2009-08-06	1965.5	long	5			-411.25	1976.75
49	2009-08-07	1992.5	long	5			135.0	2111.75
50	2009-08-10	1939.5	long	4	True	1.0	-265.0	1846.75
51	2009-08-11	1899.5	long	3	True	2.0	-160.0	1686.75
52	2009-08-12	1954.25	long	2	True	3.0	164.25	1851.0
53	2009-08-13	2028.25	long	1	True	4.0	148.0	1999.0
54	2009-08-14	1957.75	long	0	True	5.0	-70.5	1928.5
