	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2001-07-09	1456.0	short	1	True	1.0		
1	2001-07-10	1473.75	short	2	True	2.0	-17.75	-17.75
2	2001-07-11	1465.8	short	3	True	3.0	15.900000000000091	-1.849999999999909
3	2001-07-12	1468.0	short	4	True	4.0	-6.600000000000136	-8.450000000000045
4	2001-07-13	1454.0	short	5	True	5.0	56.0	47.549999999999955
5	2001-07-16	1460.0	short	5			-30.0	17.549999999999955
6	2001-07-17	1466.25	short	5			-31.25	-13.700000000000045
7	2001-07-18	1461.0	short	5			26.25	12.549999999999955
8	2001-07-19	1450.0	short	5			55.0	67.54999999999995
9	2001-07-20	1446.5	short	5			17.5	85.04999999999995
10	2001-07-23	1440.5	short	5			30.0	115.04999999999995
11	2001-07-24	1431.0	short	5			47.5	162.54999999999995
12	2001-07-25	1413.0	short	5			90.0	252.54999999999995
13	2001-07-26	1420.75	short	5			-38.75	213.79999999999995
14	2001-07-27	1414.5	short	5			31.25	245.04999999999995
15	2001-07-30	1413.0	short	5			7.5	252.54999999999995
16	2001-07-31	1412.8	short	5			1.0000000000002274	253.55000000000018
17	2001-08-01	1413.75	short	5			-4.750000000000227	248.79999999999995
18	2001-08-02	1409.0	short	5			23.75	272.54999999999995
19	2001-08-03	1408.0	short	5			5.0	277.54999999999995
20	2001-08-06	1399.75	short	5			41.25	318.79999999999995
21	2001-08-07	1397.5	short	5			11.25	330.04999999999995
22	2001-08-08	1387.25	short	4	True	1.0	51.25	381.29999999999995
23	2001-08-09	1389.25	short	3	True	2.0	-8.0	373.29999999999995
24	2001-08-10	1393.75	short	2	True	3.0	-13.5	359.79999999999995
25	2001-08-13	1377.5	short	1	True	4.0	32.5	392.29999999999995
26	2001-08-14	1392.25	short	0	True	5.0	-14.75	377.54999999999995
27	2001-10-08	1304.75	long	1	True	1.0		
28	2001-10-09	1295.0	long	2	True	2.0	-9.75	367.79999999999995
29	2001-10-10	1285.75	long	3	True	3.0	-18.5	349.29999999999995
30	2001-10-11	1288.75	long	4	True	4.0	9.0	358.29999999999995
31	2001-10-12	1292.0	long	5	True	5.0	13.0	371.29999999999995
32	2001-10-15	1289.5	long	5			-12.5	358.79999999999995
33	2001-10-16	1302.5	long	5			65.0	423.79999999999995
34	2001-10-17	1311.0	long	5			42.5	466.29999999999995
35	2001-10-18	1291.75	long	5			-96.25	370.04999999999995
36	2001-10-19	1270.75	long	5			-105.0	265.04999999999995
37	2001-10-22	1275.5	long	5			23.75	288.79999999999995
38	2001-10-23	1286.5	long	5			55.0	343.79999999999995
39	2001-10-24	1277.25	long	5			-46.25	297.54999999999995
40	2001-10-25	1275.5	long	5			-8.75	288.79999999999995
41	2001-10-26	1283.75	long	5			41.25	330.04999999999995
42	2001-10-29	1274.75	long	5			-45.0	285.04999999999995
43	2001-10-30	1284.5	long	5			48.75	333.79999999999995
44	2001-10-31	1265.5	long	5			-95.0	238.79999999999995
45	2001-11-01	1260.5	long	5			-25.0	213.79999999999995
46	2001-11-02	1254.5	long	5			-30.0	183.79999999999995
47	2001-11-05	1254.25	long	5			-1.25	182.54999999999995
48	2001-11-06	1254.75	long	5			2.5	185.04999999999995
49	2001-11-07	1246.0	long	5			-43.75	141.29999999999995
50	2001-11-08	1255.75	long	4	True	1.0	48.75	190.04999999999995
51	2001-11-09	1295.0	long	3	True	2.0	157.0	347.04999999999995
52	2001-11-12	1309.5	long	2	True	3.0	43.5	390.54999999999995
53	2001-11-13	1353.75	long	1	True	4.0	88.5	479.04999999999995
54	2001-11-14	1372.5	long	0	True	5.0	18.75	497.79999999999995
