	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2001-08-08	1396.0	short	1	True	1.0		
1	2001-08-09	1398.0	short	2	True	2.0	-2.0	-2.0
2	2001-08-10	1402.5	short	3	True	3.0	-9.0	-11.0
3	2001-08-13	1386.5	short	4	True	4.0	48.0	37.0
4	2001-08-14	1401.0	short	5	True	5.0	-58.0	-21.0
5	2001-08-15	1403.5	short	5			-12.5	-33.5
6	2001-08-16	1424.0	short	5			-102.5	-136.0
7	2001-08-17	1433.0	short	5			-45.0	-181.0
8	2001-08-20	1417.0	short	5			80.0	-101.0
9	2001-08-21	1409.75	short	5			36.25	-64.75
10	2001-08-22	1431.0	short	5			-106.25	-171.0
11	2001-08-23	1433.0	short	5			-10.0	-181.0
12	2001-08-24	1439.5	short	5			-32.5	-213.5
13	2001-08-27		short	5			-0.0	-213.5
14	2001-08-28	1427.5	short	5			60.0	-153.5
15	2001-08-29	1434.75	short	5			-36.25	-189.75
16	2001-08-30	1411.0	short	5			118.75	-71.0
17	2001-08-31	1415.0	short	5			-20.0	-91.0
18	2001-09-03	1399.25	short	5			78.75	-12.25
19	2001-09-04	1408.75	short	5			-47.5	-59.75
20	2001-09-05	1409.75	short	5			-5.0	-64.75
21	2001-09-06	1387.0	short	5			113.75	49.0
22	2001-09-07	1374.0	short	5			65.0	114.0
23	2001-09-10	1380.0	short	4	True	1.0	-30.0	84.0
24	2001-09-11	1394.5	short	3	True	2.0	-58.0	26.0
25	2001-09-12	1374.25	short	2	True	3.0	60.75	86.75
26	2001-09-13	1374.25	short	1	True	4.0	-0.0	86.75
27	2001-09-14	1387.25	short	0	True	5.0	-13.0	73.75
28	2001-11-08	1263.5	long	1	True	1.0		
29	2001-11-09	1302.75	long	2	True	2.0	39.25	113.0
30	2001-11-12	1317.0	long	3	True	3.0	28.5	141.5
31	2001-11-13	1361.25	long	4	True	4.0	132.75	274.25
32	2001-11-14	1380.0	long	5	True	5.0	75.0	349.25
33	2001-11-15	1354.5	long	5			-127.5	221.75
34	2001-11-16	1388.75	long	5			171.25	393.0
35	2001-11-19	1368.0	long	5			-103.75	289.25
36	2001-11-20	1362.5	long	5			-27.5	261.75
37	2001-11-21	1365.75	long	5			16.25	278.0
38	2001-11-22	1342.0	long	5			-118.75	159.25
39	2001-11-23	1341.75	long	5			-1.25	158.0
40	2001-11-26	1385.75	long	5			220.0	378.0
41	2001-11-27	1389.25	long	5			17.5	395.5
42	2001-11-28	1402.25	long	5			65.0	460.5
43	2001-11-29	1451.25	long	5			245.0	705.5
44	2001-11-30	1458.25	long	5			35.0	740.5
45	2001-12-03	1397.25	long	5			-305.0	435.5
46	2001-12-04	1381.5	long	5			-78.75	356.75
47	2001-12-05	1390.75	long	5			46.25	403.0
48	2001-12-06	1372.25	long	5			-92.5	310.5
49	2001-12-07	1343.5	long	5			-143.75	166.75
50	2001-12-10	1329.5	long	4	True	1.0	-70.0	96.75
51	2001-12-11	1348.5	long	3	True	2.0	76.0	172.75
52	2001-12-12	1333.25	long	2	True	3.0	-45.75	127.0
53	2001-12-13	1328.5	long	1	True	4.0	-9.5	117.5
54	2001-12-14	1317.25	long	0	True	5.0	-11.25	106.25
