	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2011-08-08	2413.5	short	1	True	1.0		
1	2011-08-09	2436.0	short	2	True	2.0	-22.5	-22.5
2	2011-08-10	2424.75	short	3	True	3.0	22.5	0.0
3	2011-08-11	2440.25	short	4	True	4.0	-46.5	-46.5
4	2011-08-12	2427.0	short	5	True	5.0	53.0	6.5
5	2011-08-15	2404.25	short	5			113.75	120.25
6	2011-08-16	2405.0	short	5			-3.75	116.5
7	2011-08-17	2424.25	short	5			-96.25	20.25
8	2011-08-18	2367.0	short	5			286.25	306.5
9	2011-08-19	2385.0	short	5			-90.0	216.5
10	2011-08-22	2365.75	short	5			96.25	312.75
11	2011-08-23	2398.5	short	5			-163.75	149.0
12	2011-08-24	2390.5	short	5			40.0	189.0
13	2011-08-25	2390.75	short	5			-1.25	187.75
14	2011-08-26	2403.0	short	5			-61.25	126.5
15	2011-08-29		short	5			-0.0	126.5
16	2011-08-30	2448.5	short	5			-227.5	-101.0
17	2011-08-31	2494.25	short	5			-228.75	-329.75
18	2011-09-01	2480.0	short	5			71.25	-258.5
19	2011-09-02	2460.75	short	5			96.25	-162.25
20	2011-09-05	2412.0	short	5			243.75	81.5
21	2011-09-06	2403.75	short	5			41.25	122.75
22	2011-09-07	2425.5	short	5			-108.75	14.0
23	2011-09-08	2442.5	short	4	True	1.0	-85.0	-71.0
24	2011-09-09	2390.25	short	3	True	2.0	209.0	138.0
25	2011-09-12	2394.0	short	2	True	3.0	-11.25	126.75
26	2011-09-13	2391.5	short	1	True	4.0	5.0	131.75
27	2011-09-14	2381.0	short	0	True	5.0	10.5	142.25
28	2012-01-09	2095.5	long	1	True	1.0		
29	2012-01-10	2149.0	long	2	True	2.0	53.5	195.75
30	2012-01-11	2148.0	long	3	True	3.0	-2.0	193.75
31	2012-01-12	2145.25	long	4	True	4.0	-8.25	185.5
32	2012-01-13	2125.75	long	5	True	5.0	-78.0	107.5
33	2012-01-16	2141.5	long	5			78.75	186.25
34	2012-01-17	2205.25	long	5			318.75	505.0
35	2012-01-18	2181.5	long	5			-118.75	386.25
36	2012-01-19	2208.75	long	5			136.25	522.5
37	2012-01-20	2194.0	long	5			-73.75	448.75
38	2012-01-23	2214.0	long	5			100.0	548.75
39	2012-01-24	2214.25	long	5			1.25	550.0
40	2012-01-25	2227.25	long	5			65.0	615.0
41	2012-01-26	2252.75	long	5			127.5	742.5
42	2012-01-27	2240.5	long	5			-61.25	681.25
43	2012-01-30	2252.0	long	5			57.5	738.75
44	2012-01-31	2208.0	long	5			-220.0	518.75
45	2012-02-01	2234.5	long	5			132.5	651.25
46	2012-02-02	2163.25	long	5			-356.25	295.0
47	2012-02-03	2213.25	long	5			250.0	545.0
48	2012-02-06	2185.75	long	5			-137.5	407.5
49	2012-02-07	2218.0	long	5			161.25	568.75
50	2012-02-08	2216.5	long	4	True	1.0	-7.5	561.25
51	2012-02-09	2252.5	long	3	True	2.0	144.0	705.25
52	2012-02-10	2206.75	long	2	True	3.0	-137.25	568.0
53	2012-02-13	2169.5	long	1	True	4.0	-74.5	493.5
54	2012-02-14		long	1	True	5.0	0.0	493.5
