	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2016-10-10	1704.75	short	1	True	1.0		
1	2016-10-11	1693.5	short	2	True	2.0	11.25	11.25
2	2016-10-12	1698.75	short	3	True	3.0	-10.5	0.75
3	2016-10-13	1705.0	short	4	True	4.0	-18.75	-18.0
4	2016-10-14	1687.75	short	5	True	5.0	69.0	51.0
5	2016-10-17	1673.75	short	5			70.0	121.0
6	2016-10-18	1656.0	short	5			88.75	209.75
7	2016-10-19	1645.25	short	5			53.75	263.5
8	2016-10-20	1626.0	short	5			96.25	359.75
9	2016-10-21	1638.5	short	5			-62.5	297.25
10	2016-10-24	1643.5	short	5			-25.0	272.25
11	2016-10-25	1681.0	short	5			-187.5	84.75
12	2016-10-26	1689.25	short	5			-41.25	43.5
13	2016-10-27	1708.25	short	5			-95.0	-51.5
14	2016-10-28	1727.5	short	5			-96.25	-147.75
15	2016-10-31	1741.5	short	5			-70.0	-217.75
16	2016-11-01	1742.5	short	5			-5.0	-222.75
17	2016-11-02	1735.25	short	5			36.25	-186.5
18	2016-11-03	1739.0	short	5			-18.75	-205.25
19	2016-11-04	1731.5	short	5			37.5	-167.75
20	2016-11-07	1736.0	short	5			-22.5	-190.25
21	2016-11-08	1739.0	short	4	True	1.0	-15.0	-205.25
22	2016-11-09	1759.5	short	3	True	2.0	-82.0	-287.25
23	2016-11-10	1775.5	short	2	True	3.0	-48.0	-335.25
24	2016-11-11	1750.75	short	1	True	4.0	49.5	-285.75
25	2016-11-14	1739.75	short	0	True	5.0	11.0	-274.75
26	2017-04-10	1918.75	long	1	True	1.0		
27	2017-04-11	1913.0	long	2	True	2.0	-5.75	-280.5
28	2017-04-12	1890.5	long	3	True	3.0	-45.0	-325.5
29	2017-04-13	1900.75	long	4	True	4.0	30.75	-294.75
30	2017-04-14		long	4	True	5.0	0.0	-294.75
31	2017-04-17		long	5			0.0	-294.75
32	2017-04-18	1881.75	long	5			-95.0	-389.75
33	2017-04-19	1894.0	long	5			61.25	-328.5
34	2017-04-20	1935.75	long	5			208.75	-119.75
35	2017-04-21	1925.25	long	5			-52.5	-172.25
36	2017-04-24	1937.25	long	5			60.0	-112.25
37	2017-04-25	1955.75	long	5			92.5	-19.75
38	2017-04-26	1957.0	long	5			6.25	-13.5
39	2017-04-27	1916.25	long	5			-203.75	-217.25
40	2017-04-28	1904.0	long	5			-61.25	-278.5
41	2017-05-01		long	5			0.0	-278.5
42	2017-05-02	1922.75	long	5			93.75	-184.75
43	2017-05-03	1916.5	long	5			-31.25	-216.0
44	2017-05-04	1905.5	long	5			-55.0	-271.0
45	2017-05-05	1895.25	long	5			-51.25	-322.25
46	2017-05-08	1872.75	long	4	True	1.0	-112.5	-434.75
47	2017-05-09	1864.25	long	3	True	2.0	-34.0	-468.75
48	2017-05-10	1859.25	long	2	True	3.0	-15.0	-483.75
49	2017-05-11	1869.5	long	1	True	4.0	20.5	-463.25
50	2017-05-12	1885.5	long	0	True	5.0	16.0	-447.25
