	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2022-11-08	2419.75	short	1	True	1.0		
1	2022-11-09	2369.5	short	2	True	2.0	50.25	50.25
2	2022-11-10	2381.0	short	3	True	3.0	-23.0	27.25
3	2022-11-11	2511.35	short	4	True	4.0	-391.0499999999997	-363.7999999999997
4	2022-11-14	2509.0	short	5	True	5.0	9.399999999999636	-354.4000000000001
5	2022-11-15	2489.0	short	5			100.0	-254.4000000000001
6	2022-11-16	2467.75	short	5			106.25	-148.1500000000001
7	2022-11-17	2445.0	short	5			113.75	-34.40000000000009
8	2022-11-18	2481.5	short	5			-182.5	-216.9000000000001
9	2022-11-21	2429.3	short	5			260.9999999999991	44.099999999999
10	2022-11-22	2477.75	short	5			-242.2499999999991	-198.1500000000001
11	2022-11-23	2448.0	short	5			148.75	-49.40000000000009
12	2022-11-24	2416.5	short	5			157.5	108.09999999999991
13	2022-11-25	2412.8	short	5			18.49999999999909	126.599999999999
14	2022-11-28	2414.01	short	5			-6.050000000000182	120.54999999999882
15	2022-11-29	2428.0	short	5			-69.94999999999891	50.59999999999991
16	2022-11-30	2525.0	short	5			-485.0	-434.4000000000001
17	2022-12-01	2530.0	short	5			-25.0	-459.4000000000001
18	2022-12-02	2589.0	short	5			-295.0	-754.4000000000001
19	2022-12-05	2569.5	short	5			97.5	-656.9000000000001
20	2022-12-06	2551.75	short	5			88.75	-568.1500000000001
21	2022-12-07	2527.5	short	5			121.25	-446.9000000000001
22	2022-12-08	2550.26	short	4	True	1.0	-113.80000000000109	-560.7000000000012
23	2022-12-09	2531.0	short	3	True	2.0	77.04000000000087	-483.6600000000003
24	2022-12-12	2466.5	short	2	True	3.0	193.5	-290.1600000000003
25	2022-12-13	2517.5	short	1	True	4.0	-102.0	-392.1600000000003
26	2022-12-14	2502.0	short	0	True	5.0	15.5	-376.6600000000003
27	2023-08-08	2173.25	long	1	True	1.0		
28	2023-08-09	2168.25	long	2	True	2.0	-5.0	-381.6600000000003
29	2023-08-10	2176.25	long	3	True	3.0	16.0	-365.6600000000003
30	2023-08-11	2146.5	long	4	True	4.0	-89.25	-454.9100000000003
31	2023-08-14	2115.5	long	5	True	5.0	-124.0	-578.9100000000003
32	2023-08-15	2113.5	long	5			-10.0	-588.9100000000003
33	2023-08-16	2114.74	long	5			6.199999999998909	-582.7100000000014
34	2023-08-17	2118.5	long	5			18.80000000000109	-563.9100000000003
35	2023-08-18	2105.25	long	5			-66.25	-630.1600000000003
36	2023-08-21	2109.74	long	5			22.44999999999891	-607.7100000000014
37	2023-08-22	2143.75	long	5			170.0500000000011	-437.6600000000003
38	2023-08-23	2145.25	long	5			7.5	-430.1600000000003
39	2023-08-24	2125.5	long	5			-98.75	-528.9100000000003
40	2023-08-25	2120.0	long	5			-27.5	-556.4100000000003
41	2023-08-28		long	5			0.0	-556.4100000000003
42	2023-08-29	2136.0	long	5			80.0	-476.4100000000003
43	2023-08-30	2169.8	long	5			169.0000000000009	-307.4099999999994
44	2023-08-31	2173.75	long	5			19.74999999999909	-287.6600000000003
45	2023-09-01	2201.25	long	5			137.5	-150.1600000000003
46	2023-09-04	2174.1	long	5			-135.75000000000045	-285.91000000000076
47	2023-09-05	2153.0	long	5			-105.49999999999955	-391.4100000000003
48	2023-09-06	2153.25	long	5			1.25	-390.1600000000003
49	2023-09-07	2156.5	long	5			16.25	-373.9100000000003
50	2023-09-08	2146.69	long	4	True	1.0	-49.04999999999973	-422.96000000000004
51	2023-09-11	2166.75	long	3	True	2.0	80.23999999999978	-342.72000000000025
52	2023-09-12	2158.19	long	2	True	3.0	-25.679999999999836	-368.4000000000001
53	2023-09-13	2181.0	long	1	True	4.0	45.61999999999989	-322.7800000000002
54	2023-09-14	2185.0	long	0	True	5.0	4.0	-318.7800000000002
