	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2012-06-08	128.625	short	1	True	1.0		
1	2012-06-11	128.6	short	2	True	2.0	0.025000000000005684	0.025000000000005684
2	2012-06-12	128.275	short	3	True	3.0	0.6499999999999773	0.674999999999983
3	2012-06-13	126.175	short	4	True	4.0	6.300000000000026	6.9750000000000085
4	2012-06-14	124.7	short	5	True	5.0	5.899999999999977	12.874999999999986
5	2012-06-15	124.2	short	5			2.5	15.374999999999986
6	2012-06-18	125.075	short	5			-4.375	10.999999999999986
7	2012-06-19	125.1	short	5			-0.12499999999995737	10.875000000000028
8	2012-06-20	125.0	short	5			0.4999999999999716	11.375
9	2012-06-21	124.35	short	5			3.2500000000000284	14.625000000000028
10	2012-06-22	124.625	short	5			-1.3750000000000284	13.25
11	2012-06-25	123.8	short	5			4.125000000000014	17.375000000000014
12	2012-06-26	123.15	short	5			3.2499999999999574	20.62499999999997
13	2012-06-27	124.625	short	5			-7.374999999999972	13.25
14	2012-06-28	126.45	short	5			-9.125000000000014	4.124999999999986
15	2012-06-29	127.4	short	5			-4.750000000000014	-0.6250000000000284
16	2012-07-02	126.85	short	5			2.750000000000057	2.1250000000000284
17	2012-07-03	127.425	short	5			-2.875000000000014	-0.7499999999999858
18	2012-07-04		short	5			-0.0	-0.7499999999999858
19	2012-07-05	127.15	short	5			1.3749999999999574	0.6249999999999716
20	2012-07-06	127.85	short	5			-3.499999999999943	-2.8749999999999716
21	2012-07-09	127.5	short	5			1.7499999999999716	-1.125
22	2012-07-10	126.875	short	5			3.125	2.0
23	2012-07-11	125.8	short	5			5.375000000000014	7.375000000000014
24	2012-07-12	124.975	short	5			4.125000000000014	11.500000000000028
25	2012-07-13	124.9	short	5			0.37499999999994316	11.874999999999972
26	2012-07-16	124.5	short	5			2.0000000000000284	13.875
27	2012-07-17	124.125	short	5			1.875	15.75
28	2012-07-18	127.125	short	5			-15.0	0.75
29	2012-07-19	128.075	short	5			-4.749999999999943	-3.999999999999943
30	2012-07-20	126.3	short	5			8.874999999999957	4.875000000000014
31	2012-07-23	126.575	short	5			-1.3750000000000284	3.499999999999986
32	2012-07-24	126.4	short	5			0.8749999999999858	4.374999999999972
33	2012-07-25	126.05	short	5			1.7500000000000426	6.125000000000014
34	2012-07-26	126.375	short	5			-1.6250000000000142	4.5
35	2012-07-27	128.425	short	5			-10.250000000000057	-5.750000000000057
36	2012-07-30	128.65	short	5			-1.1249999999999716	-6.875000000000028
