	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2003-08-08	71.0	short	1	True	1.0		
1	2003-08-11	71.0	short	2	True	2.0	-0.0	0.0
2	2003-08-12	71.15	short	3	True	3.0	-0.30000000000001137	-0.30000000000001137
3	2003-08-13	71.0	short	4	True	4.0	0.45000000000001705	0.15000000000000568
4	2003-08-14	71.3	short	5	True	5.0	-1.1999999999999886	-1.049999999999983
5	2003-08-15	71.3	short	5			-0.0	-1.049999999999983
6	2003-08-18	71.35	short	5			-0.2499999999999858	-1.2999999999999687
7	2003-08-19	71.65	short	5			-1.5000000000000568	-2.8000000000000256
8	2003-08-20	72.5	short	5			-4.249999999999972	-7.049999999999997
9	2003-08-21	72.25	short	5			1.25	-5.799999999999997
10	2003-08-22	72.0	short	5			1.25	-4.549999999999997
11	2003-08-25	71.8	short	5			1.0000000000000142	-3.549999999999983
12	2003-08-26	71.8	short	5			-0.0	-3.549999999999983
13	2003-08-27	72.25	short	5			-2.250000000000014	-5.799999999999997
14	2003-08-28	72.1	short	5			0.7500000000000284	-5.049999999999969
15	2003-08-29	72.1	short	5			-0.0	-5.049999999999969
16	2003-09-01		short	5			-0.0	-5.049999999999969
17	2003-09-02	72.1	short	5			-0.0	-5.049999999999969
18	2003-09-03	72.55	short	5			-2.250000000000014	-7.299999999999983
19	2003-09-04	72.55	short	5			-0.0	-7.299999999999983
20	2003-09-05	72.55	short	5			-0.0	-7.299999999999983
21	2003-09-08	73.2	short	5			-3.2500000000000284	-10.550000000000011
22	2003-09-09	73.0	short	5			1.0000000000000142	-9.549999999999997
23	2003-09-10	72.85	short	5			0.7500000000000284	-8.799999999999969
24	2003-09-11	73.4	short	5			-2.750000000000057	-11.550000000000026
25	2003-09-12	72.35	short	5			5.250000000000057	-6.299999999999969
26	2003-09-15	71.8	short	5			2.749999999999986	-3.549999999999983
27	2003-09-16	71.35	short	5			2.250000000000014	-1.2999999999999687
28	2003-09-17	71.45	short	5			-0.5000000000000426	-1.8000000000000114
29	2003-09-18	70.7	short	5			3.75	1.9499999999999886
30	2003-09-19	70.15	short	5			2.749999999999986	4.699999999999974
31	2003-09-22	71.025	short	5			-4.375	0.3249999999999744
32	2003-09-23	72.0	short	5			-4.874999999999972	-4.549999999999997
33	2003-09-24	71.85	short	5			0.7500000000000284	-3.7999999999999687
34	2003-09-25	71.95	short	5			-0.5000000000000426	-4.300000000000011
35	2003-09-26	71.4	short	5			2.749999999999986	-1.5500000000000256
36	2003-09-29	71.95	short	5			-2.749999999999986	-4.300000000000011
37	2003-09-30	72.1	short	5			-0.7499999999999574	-5.049999999999969
38	2003-10-01	72.95	short	5			-4.250000000000043	-9.300000000000011
39	2003-10-02	73.325	short	5			-1.875	-11.175000000000011
40	2003-10-03	73.525	short	5			-1.0000000000000142	-12.175000000000026
41	2003-10-06	74.825	short	5			-6.499999999999986	-18.67500000000001
42	2003-10-07	75.8	short	5			-4.874999999999972	-23.549999999999983
43	2003-10-08	76.0	short	4	True	1.0	-1.0000000000000142	-24.549999999999997
44	2003-10-09	74.5	short	3	True	2.0	6.0	-18.549999999999997
45	2003-10-10	73.725	short	2	True	3.0	2.325000000000017	-16.22499999999998
46	2003-10-13	75.15	short	1	True	4.0	-2.8500000000000227	-19.075000000000003
47	2003-10-14	73.65	short	0	True	5.0	1.5	-17.575000000000003
48	2004-06-08	88.9	long	1	True	1.0		
49	2004-06-09	89.15	long	2	True	2.0	0.25	-17.325000000000003
50	2004-06-10	87.25	long	3	True	3.0	-3.8000000000000114	-21.125000000000014
51	2004-06-11	87.25	long	4	True	4.0	0.0	-21.125000000000014
52	2004-06-14	85.975	long	5	True	5.0	-5.100000000000023	-26.225000000000037
53	2004-06-15	85.15	long	5			-4.124999999999943	-30.34999999999998
54	2004-06-16	85.925	long	5			3.8749999999999574	-26.475000000000023
55	2004-06-17	86.65	long	5			3.6250000000000426	-22.84999999999998
56	2004-06-18	87.05	long	5			1.9999999999999574	-20.850000000000023
57	2004-06-21	87.375	long	5			1.6250000000000142	-19.22500000000001
58	2004-06-22	87.125	long	5			-1.25	-20.47500000000001
59	2004-06-23	89.175	long	5			10.249999999999986	-10.225000000000023
60	2004-06-24	89.825	long	5			3.2500000000000284	-6.974999999999994
61	2004-06-25	89.35	long	5			-2.3750000000000426	-9.350000000000037
62	2004-06-28	86.425	long	5			-14.624999999999986	-23.975000000000023
63	2004-06-29	87.875	long	5			7.250000000000014	-16.72500000000001
64	2004-06-30	85.75	long	5			-10.625	-27.35000000000001
65	2004-07-01	85.275	long	5			-2.3749999999999716	-29.72499999999998
66	2004-07-02	85.325	long	5			0.2499999999999858	-29.474999999999994
67	2004-07-05		long	5			0.0	-29.474999999999994
68	2004-07-06	87.625	long	5			11.499999999999986	-17.97500000000001
69	2004-07-07	86.425	long	5			-6.000000000000014	-23.975000000000023
70	2004-07-08	84.6	long	5			-9.125000000000014	-33.10000000000004
71	2004-07-09	84.3	long	5			-1.4999999999999858	-34.60000000000002
72	2004-07-12	83.675	long	5			-3.125	-37.72500000000002
73	2004-07-13	83.9	long	5			1.1250000000000426	-36.59999999999998
74	2004-07-14	84.425	long	5			2.6249999999999574	-33.97500000000002
75	2004-07-15	82.775	long	5			-8.249999999999957	-42.22499999999998
76	2004-07-16	83.075	long	5			1.4999999999999858	-40.724999999999994
77	2004-07-19	83.1	long	5			0.12499999999995737	-40.60000000000004
78	2004-07-20	83.125	long	5			0.12500000000002842	-40.47500000000001
79	2004-07-21	85.25	long	5			10.625	-29.85000000000001
80	2004-07-22	87.975	long	5			13.624999999999972	-16.225000000000037
81	2004-07-23	86.9	long	5			-5.374999999999943	-21.59999999999998
82	2004-07-26	87.675	long	5			3.8749999999999574	-17.725000000000023
83	2004-07-27	88.475	long	5			3.999999999999986	-13.725000000000037
84	2004-07-28	87.775	long	5			-3.499999999999943	-17.22499999999998
85	2004-07-29	86.875	long	5			-4.500000000000028	-21.72500000000001
86	2004-07-30	85.725	long	5			-5.750000000000028	-27.475000000000037
87	2004-08-02	85.25	long	5			-2.3749999999999716	-29.85000000000001
88	2004-08-03	83.075	long	5			-10.874999999999986	-40.724999999999994
89	2004-08-04	84.825	long	5			8.75	-31.974999999999994
90	2004-08-05	84.55	long	5			-1.3750000000000284	-33.35000000000002
91	2004-08-06	84.55	long	5			0.0	-33.35000000000002
92	2004-08-09	85.825	long	4	True	1.0	6.375000000000028	-26.974999999999994
93	2004-08-10		long	4	True	2.0	0.0	-26.974999999999994
94	2004-08-11		long	4	True	3.0	0.0	-26.974999999999994
95	2004-08-12		long	4	True	4.0	0.0	-26.974999999999994
96	2004-08-13		long	4	True	5.0	0.0	-26.974999999999994
