	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2001-08-08		short	0	True	1.0		
1	2001-08-09		short	0	True	2.0		
2	2001-08-10		short	0	True	3.0		
3	2001-08-13		short	0	True	4.0		
4	2001-08-14		short	0	True	5.0		
5	2001-08-15		short	5				
6	2001-08-16		short	5				
7	2001-08-17		short	5				
8	2001-08-20		short	5				
9	2001-08-21		short	5				
10	2001-08-22		short	5				
11	2001-08-23		short	5				
12	2001-08-24		short	5				
13	2001-08-27		short	5				
14	2001-08-28		short	5				
15	2001-08-29		short	5				
16	2001-08-30		short	5				
17	2001-08-31		short	5				
18	2001-09-03		short	5				
19	2001-09-04	74.0	short	5				
20	2001-09-05	75.725	short	5			-8.624999999999972	-8.624999999999972
21	2001-09-06	75.5	short	5			1.1249999999999716	-7.5
22	2001-09-07	75.5	short	5			-0.0	-7.5
23	2001-09-10	75.55	short	5			-0.2499999999999858	-7.749999999999986
24	2001-09-11	75.55	short	5			-0.0	-7.749999999999986
25	2001-09-12		short	5			-0.0	-7.749999999999986
26	2001-09-13	75.2	short	5			1.7499999999999716	-6.000000000000014
27	2001-09-14	75.1	short	5			0.5000000000000426	-5.499999999999972
28	2001-09-17	75.175	short	5			-0.3750000000000142	-5.874999999999986
29	2001-09-18	74.85	short	5			1.6250000000000142	-4.249999999999972
30	2001-09-19	73.75	short	5			5.499999999999972	1.25
31	2001-09-20	73.65	short	5			0.4999999999999716	1.7499999999999716
32	2001-09-21	73.25	short	5			2.0000000000000284	3.75
33	2001-09-24	73.5	short	5			-1.25	2.5
34	2001-09-25	73.0	short	5			2.5	5.0
35	2001-09-26	73.05	short	5			-0.2499999999999858	4.750000000000014
36	2001-09-27	72.55	short	5			2.5	7.250000000000014
37	2001-09-28	72.1	short	5			2.250000000000014	9.500000000000028
38	2001-10-01	71.95	short	5			0.7499999999999574	10.249999999999986
39	2001-10-02	72.25	short	5			-1.4999999999999858	8.75
40	2001-10-03	72.8	short	5			-2.749999999999986	6.000000000000014
41	2001-10-04	73.55	short	5			-3.75	2.250000000000014
42	2001-10-05	73.7	short	5			-0.7500000000000284	1.4999999999999858
43	2001-10-08	73.25	short	4	True	1.0	2.250000000000014	3.75
44	2001-10-09	73.2	short	3	True	2.0	0.19999999999998863	3.9499999999999886
45	2001-10-10	73.15	short	2	True	3.0	0.14999999999999147	4.09999999999998
46	2001-10-11	72.65	short	1	True	4.0	1.0	5.09999999999998
47	2001-10-12	71.175	short	0	True	5.0	1.4750000000000085	6.574999999999989
48	2002-08-08	67.675	long	1	True	1.0		
49	2002-08-09	68.8	long	2	True	2.0	1.125	7.699999999999989
50	2002-08-12	68.525	long	3	True	3.0	-0.549999999999983	7.150000000000006
51	2002-08-13	68.65	long	4	True	4.0	0.375	7.525000000000006
52	2002-08-14	68.675	long	5	True	5.0	0.0999999999999659	7.624999999999972
53	2002-08-15	68.65	long	5			-0.12499999999995737	7.500000000000014
54	2002-08-16	68.65	long	5			0.0	7.500000000000014
55	2002-08-19	68.475	long	5			-0.8750000000000568	6.624999999999957
56	2002-08-20	67.675	long	5			-3.999999999999986	2.6249999999999716
57	2002-08-21	67.475	long	5			-1.0000000000000142	1.6249999999999574
58	2002-08-22	68.15	long	5			3.375000000000057	5.000000000000014
59	2002-08-23	67.225	long	5			-4.625000000000057	0.37499999999995737
60	2002-08-26	67.075	long	5			-0.7499999999999574	-0.375
61	2002-08-27	67.0	long	5			-0.3750000000000142	-0.7500000000000142
62	2002-08-28	67.375	long	5			1.875	1.1249999999999858
63	2002-08-29	67.1	long	5			-1.3750000000000284	-0.25000000000004263
64	2002-08-30	67.2	long	5			0.5000000000000426	0.25
65	2002-09-02		long	5			0.0	0.25
66	2002-09-03	66.975	long	5			-1.1250000000000426	-0.8750000000000426
67	2002-09-04	67.05	long	5			0.3750000000000142	-0.5000000000000284
68	2002-09-05	68.05	long	5			5.0	4.499999999999972
69	2002-09-06	68.15	long	5			0.5000000000000426	5.000000000000014
70	2002-09-09	67.975	long	5			-0.8750000000000568	4.124999999999957
71	2002-09-10	68.55	long	5			2.875000000000014	6.999999999999972
72	2002-09-11	69.15	long	5			3.0000000000000426	10.000000000000014
73	2002-09-12	69.7	long	5			2.749999999999986	12.75
74	2002-09-13	70.25	long	5			2.749999999999986	15.499999999999986
75	2002-09-16	69.775	long	5			-2.3749999999999716	13.125000000000014
76	2002-09-17	69.825	long	5			0.2499999999999858	13.375
77	2002-09-18	69.725	long	5			-0.5000000000000426	12.874999999999957
78	2002-09-19	69.775	long	5			0.25000000000005684	13.125000000000014
79	2002-09-20	69.7	long	5			-0.3750000000000142	12.75
80	2002-09-23	69.275	long	5			-2.124999999999986	10.625000000000014
81	2002-09-24	69.3	long	5			0.12499999999995737	10.749999999999972
82	2002-09-25	69.4	long	5			0.5000000000000426	11.250000000000014
83	2002-09-26	68.275	long	5			-5.625	5.625000000000014
84	2002-09-27	67.375	long	5			-4.500000000000028	1.1249999999999858
85	2002-09-30	67.4	long	5			0.12500000000002842	1.2500000000000142
86	2002-10-01	67.325	long	5			-0.3750000000000142	0.875
87	2002-10-02	67.0	long	5			-1.6250000000000142	-0.7500000000000142
88	2002-10-03	67.225	long	5			1.1249999999999716	0.37499999999995737
89	2002-10-04	66.825	long	5			-1.9999999999999574	-1.625
90	2002-10-07	66.525	long	5			-1.4999999999999858	-3.124999999999986
91	2002-10-08		long	5	True	1.0	0.0	-3.124999999999986
92	2002-10-09		long	5	True	2.0	0.0	-3.124999999999986
93	2002-10-10		long	5	True	3.0	0.0	-3.124999999999986
94	2002-10-11		long	5	True	4.0	0.0	-3.124999999999986
95	2002-10-14		long	5	True	5.0	0.0	-3.124999999999986
