	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2016-10-10	57.025	short	1	True	1.0		
1	2016-10-11	57.45	short	2	True	2.0	-0.42500000000000426	-0.42500000000000426
2	2016-10-12	58.1	short	3	True	3.0	-1.2999999999999972	-1.7250000000000014
3	2016-10-13	58.375	short	4	True	4.0	-0.8249999999999957	-2.549999999999997
4	2016-10-14	58.025	short	5	True	5.0	1.4000000000000057	-1.1499999999999915
5	2016-10-17	57.075	short	5			4.749999999999979	3.599999999999987
6	2016-10-18	56.325	short	5			3.75	7.349999999999987
7	2016-10-19	56.2	short	5			0.625	7.974999999999987
8	2016-10-20	56.025	short	5			0.8750000000000213	8.850000000000009
9	2016-10-21	56.725	short	5			-3.500000000000014	5.349999999999994
10	2016-10-24	57.525	short	5			-3.999999999999986	1.3500000000000085
11	2016-10-25	58.725	short	5			-6.000000000000014	-4.650000000000006
12	2016-10-26	58.675	short	5			0.2500000000000213	-4.399999999999984
13	2016-10-27	59.875	short	5			-6.000000000000014	-10.399999999999999
14	2016-10-28	61.65	short	5			-8.874999999999993	-19.27499999999999
15	2016-10-31	62.05	short	5			-1.999999999999993	-21.274999999999984
16	2016-11-01	60.2	short	5			9.249999999999972	-12.025000000000013
17	2016-11-02	61.125	short	5			-4.624999999999986	-16.65
18	2016-11-03	60.9	short	5			1.125000000000007	-15.524999999999991
19	2016-11-04	60.4	short	5			2.5	-13.024999999999991
20	2016-11-07	61.2	short	5			-4.000000000000021	-17.025000000000013
21	2016-11-08	61.775	short	5			-2.8749999999999787	-19.89999999999999
22	2016-11-09	61.55	short	5			1.125000000000007	-18.774999999999984
23	2016-11-10	61.875	short	5			-1.6250000000000142	-20.4
24	2016-11-11	61.75	short	5			0.625	-19.775
25	2016-11-14	60.9	short	5			4.250000000000007	-15.524999999999991
26	2016-11-15	60.225	short	5			3.374999999999986	-12.150000000000006
27	2016-11-16	61.75	short	5			-7.624999999999993	-19.775
28	2016-11-17	61.3	short	5			2.250000000000014	-17.524999999999984
29	2016-11-18	61.125	short	5			0.8749999999999858	-16.65
30	2016-11-21	62.625	short	5			-7.5	-24.15
31	2016-11-22	61.85	short	5			3.874999999999993	-20.275000000000006
32	2016-11-23	61.925	short	5			-0.3749999999999787	-20.649999999999984
33	2016-11-24		short	5			-0.0	-20.649999999999984
34	2016-11-25	62.9	short	5			-4.875000000000007	-25.52499999999999
35	2016-11-28	62.3	short	5			3.000000000000007	-22.524999999999984
36	2016-11-29	61.025	short	5			6.374999999999993	-16.14999999999999
37	2016-11-30	61.5	short	5			-2.375000000000007	-18.525
38	2016-12-01	60.45	short	5			5.249999999999986	-13.275000000000013
39	2016-12-02	60.15	short	5			1.5000000000000213	-11.774999999999991
40	2016-12-05	61.125	short	5			-4.875000000000007	-16.65
41	2016-12-06	63.625	short	5			-12.5	-29.15
42	2016-12-07	65.775	short	5			-10.750000000000028	-39.90000000000003
43	2016-12-08	66.35	short	4	True	1.0	-2.874999999999943	-42.77499999999997
44	2016-12-09	65.95	short	3	True	2.0	1.599999999999966	-41.175000000000004
45	2016-12-12	66.675	short	2	True	3.0	-2.174999999999983	-43.34999999999999
46	2016-12-13	66.95	short	1	True	4.0	-0.5500000000000114	-43.9
47	2016-12-14	66.95	short	0	True	5.0	-0.0	-43.9
48	2017-02-08	71.725	long	1	True	1.0		
49	2017-02-09	70.775	long	2	True	2.0	-0.9499999999999886	-44.84999999999999
50	2017-02-10	71.075	long	3	True	3.0	0.5999999999999943	-44.24999999999999
51	2017-02-13	69.7	long	4	True	4.0	-4.125	-48.37499999999999
52	2017-02-14	71.3	long	5	True	5.0	6.399999999999977	-41.975000000000016
53	2017-02-15	70.775	long	5			-2.6249999999999574	-44.59999999999997
54	2017-02-16	69.825	long	5			-4.750000000000014	-49.34999999999999
55	2017-02-17	70.775	long	5			4.750000000000014	-44.59999999999997
56	2017-02-20		long	5			0.0	-44.59999999999997
57	2017-02-21	70.35	long	5			-2.125000000000057	-46.72500000000003
58	2017-02-22	67.75	long	5			-12.999999999999972	-59.725
59	2017-02-23	66.575	long	5			-5.874999999999986	-65.6
60	2017-02-24	68.025	long	5			7.250000000000014	-58.34999999999998
61	2017-02-27	68.125	long	5			0.4999999999999716	-57.85000000000001
62	2017-02-28	67.6	long	5			-2.6250000000000284	-60.47500000000004
63	2017-03-01	68.425	long	5			4.125000000000014	-56.35000000000002
64	2017-03-02	68.275	long	5			-0.7499999999999574	-57.09999999999998
65	2017-03-03	66.75	long	5			-7.625000000000028	-64.72500000000001
66	2017-03-06	67.175	long	5			2.124999999999986	-62.60000000000002
67	2017-03-07	68.05	long	5			4.375	-58.22500000000002
68	2017-03-08	68.425	long	5			1.875	-56.35000000000002
69	2017-03-09	68.075	long	5			-1.7499999999999716	-58.099999999999994
70	2017-03-10	68.175	long	5			0.4999999999999716	-57.60000000000002
71	2017-03-13	70.225	long	5			10.249999999999986	-47.35000000000004
72	2017-03-14	70.825	long	5			3.0000000000000426	-44.349999999999994
73	2017-03-15	70.075	long	5			-3.75	-48.099999999999994
74	2017-03-16	69.9	long	5			-0.8749999999999858	-48.97499999999998
75	2017-03-17	69.05	long	5			-4.250000000000043	-53.22500000000002
76	2017-03-20	68.65	long	5			-1.9999999999999574	-55.22499999999998
77	2017-03-21	68.0	long	5			-3.2500000000000284	-58.47500000000001
78	2017-03-22	68.15	long	5			0.7500000000000284	-57.72499999999998
79	2017-03-23	69.35	long	5			5.999999999999943	-51.72500000000004
80	2017-03-24	67.275	long	5			-10.374999999999943	-62.09999999999998
81	2017-03-27	65.65	long	5			-8.125	-70.22499999999998
82	2017-03-28	65.1	long	5			-2.750000000000057	-72.97500000000004
83	2017-03-29	65.3	long	5			1.0000000000000142	-71.97500000000002
84	2017-03-30	65.625	long	5			1.6250000000000142	-70.35000000000001
85	2017-03-31	65.675	long	5			0.2499999999999858	-70.10000000000002
86	2017-04-03	64.8	long	5			-4.375	-74.47500000000002
87	2017-04-04	63.675	long	5			-5.625	-80.10000000000002
88	2017-04-05	63.625	long	5			-0.2499999999999858	-80.35000000000001
89	2017-04-06	63.925	long	5			1.4999999999999858	-78.85000000000002
90	2017-04-07	63.325	long	5			-2.9999999999999716	-81.85
91	2017-04-10	63.325	long	4	True	1.0	0.0	-81.85
92	2017-04-11	62.65	long	3	True	2.0	-2.700000000000017	-84.55000000000001
93	2017-04-12	62.225	long	2	True	3.0	-1.2749999999999915	-85.825
94	2017-04-13	62.45	long	1	True	4.0	0.45000000000000284	-85.375
95	2017-04-14		long	1	True	5.0	0.0	-85.375
