	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2002-06-10	35.325	short	1	True	1.0		
1	2002-06-11	35.55	short	2	True	2.0	-0.22499999999999432	-0.22499999999999432
2	2002-06-12	35.8	short	3	True	3.0	-0.5	-0.7249999999999943
3	2002-06-13	36.575	short	4	True	4.0	-2.325000000000017	-3.0500000000000114
4	2002-06-14	36.35	short	5	True	5.0	0.9000000000000057	-2.1500000000000057
5	2002-06-17	36.825	short	5			-2.375000000000007	-4.525000000000013
6	2002-06-18	37.725	short	5			-4.499999999999993	-9.025000000000006
7	2002-06-19	37.725	short	5			-0.0	-9.025000000000006
8	2002-06-20	37.8	short	5			-0.3749999999999787	-9.399999999999984
9	2002-06-21	36.675	short	5			5.625	-3.7749999999999844
10	2002-06-24	36.175	short	5			2.5	-1.2749999999999844
11	2002-06-25	36.2	short	5			-0.12500000000002842	-1.4000000000000128
12	2002-06-26	35.575	short	5			3.125	1.7249999999999872
13	2002-06-27	35.6	short	5			-0.1249999999999929	1.5999999999999943
14	2002-06-28	37.025	short	5			-7.124999999999986	-5.5249999999999915
15	2002-07-01	38.825	short	5			-9.000000000000021	-14.525000000000013
16	2002-07-02	38.55	short	5			1.3750000000000284	-13.149999999999984
17	2002-07-03	38.7	short	5			-0.7500000000000284	-13.900000000000013
18	2002-07-04		short	5			-0.0	-13.900000000000013
19	2002-07-05	39.65	short	5			-4.749999999999979	-18.64999999999999
20	2002-07-08	39.4	short	4	True	1.0	1.25	-17.39999999999999
21	2002-07-09	38.975	short	3	True	2.0	1.6999999999999886	-15.700000000000003
22	2002-07-10	39.3	short	2	True	3.0	-0.9749999999999872	-16.67499999999999
23	2002-07-11	40.375	short	1	True	4.0	-2.1500000000000057	-18.824999999999996
24	2002-07-12	40.4	short	0	True	5.0	-0.02499999999999858	-18.849999999999994
25	2002-10-08	40.35	long	1	True	1.0		
26	2002-10-09	40.5	long	2	True	2.0	0.14999999999999858	-18.699999999999996
27	2002-10-10	40.95	long	3	True	3.0	0.9000000000000057	-17.79999999999999
28	2002-10-11	40.25	long	4	True	4.0	-2.1000000000000085	-19.9
29	2002-10-14	42.1	long	5	True	5.0	7.400000000000006	-12.499999999999993
30	2002-10-15	42.65	long	5			2.749999999999986	-9.750000000000007
31	2002-10-16	42.175	long	5			-2.375000000000007	-12.125000000000014
32	2002-10-17	41.65	long	5			-2.624999999999993	-14.750000000000007
33	2002-10-18	41.125	long	5			-2.624999999999993	-17.375
34	2002-10-21	40.15	long	5			-4.875000000000007	-22.250000000000007
35	2002-10-22	40.25	long	5			0.5000000000000071	-21.75
36	2002-10-23	41.95	long	5			8.500000000000014	-13.249999999999986
37	2002-10-24	40.275	long	5			-8.375000000000021	-21.625000000000007
38	2002-10-25	40.6	long	5			1.6250000000000142	-19.999999999999993
39	2002-10-28	41.25	long	5			3.249999999999993	-16.75
40	2002-10-29	40.1	long	5			-5.749999999999993	-22.499999999999993
41	2002-10-30	42.1	long	5			10.0	-12.499999999999993
42	2002-10-31	43.125	long	5			5.124999999999993	-7.375
43	2002-11-01	43.175	long	5			0.2499999999999858	-7.125000000000014
44	2002-11-04	43.05	long	5			-0.625	-7.750000000000014
45	2002-11-05	44.825	long	5			8.875000000000028	1.1250000000000142
46	2002-11-06	45.0	long	5			0.8749999999999858	2.0
47	2002-11-07	45.925	long	5			4.624999999999986	6.624999999999986
48	2002-11-08	45.9	long	5			-0.1249999999999929	6.499999999999993
49	2002-11-11	46.825	long	5			4.625000000000021	11.125000000000014
50	2002-11-12	45.1	long	5			-8.625000000000007	2.500000000000007
51	2002-11-13	45.15	long	5			0.2499999999999858	2.749999999999993
52	2002-11-14	44.6	long	5			-2.749999999999986	7.105427357601002e-15
53	2002-11-15	45.75	long	5			5.749999999999993	5.75
54	2002-11-18	44.275	long	5			-7.375000000000007	-1.625000000000007
55	2002-11-19	45.625	long	5			6.750000000000007	5.125
56	2002-11-20	46.025	long	5			1.999999999999993	7.124999999999993
57	2002-11-21	44.9	long	5			-5.625	1.499999999999993
58	2002-11-22	45.15	long	5			1.25	2.749999999999993
59	2002-11-25	45.2	long	5			0.2500000000000213	3.000000000000014
60	2002-11-26	45.8	long	5			2.9999999999999716	5.999999999999986
61	2002-11-27	46.75	long	5			4.750000000000014	10.75
62	2002-11-28		long	5			0.0	10.75
63	2002-11-29	46.55	long	5			-1.0000000000000142	9.749999999999986
64	2002-12-02	45.55	long	5			-5.0	4.749999999999986
65	2002-12-03	45.7	long	5			0.7500000000000284	5.500000000000014
66	2002-12-04	46.375	long	5			3.374999999999986	8.875
67	2002-12-05	46.425	long	5			0.2499999999999858	9.124999999999986
68	2002-12-06	45.675	long	5			-3.75	5.374999999999986
69	2002-12-09	43.675	long	4	True	1.0	-10.0	-4.625000000000014
70	2002-12-10	42.475	long	3	True	2.0	-4.799999999999983	-9.424999999999997
71	2002-12-11	43.25	long	2	True	3.0	2.3249999999999957	-7.100000000000001
72	2002-12-12	43.45	long	1	True	4.0	0.4000000000000057	-6.699999999999996
73	2002-12-13	43.85	long	0	True	5.0	0.3999999999999986	-6.299999999999997
