	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2002-07-08	56.1	short	1	True	1.0		
1	2002-07-09	55.35	short	2	True	2.0	0.75	0.75
2	2002-07-10	55.1	short	3	True	3.0	0.5	1.25
3	2002-07-11	55.3	short	4	True	4.0	-0.5999999999999872	0.6500000000000128
4	2002-07-12	55.4	short	5	True	5.0	-0.4000000000000057	0.2500000000000071
5	2002-07-15	55.375	short	5			0.1249999999999929	0.375
6	2002-07-16	55.5	short	5			-0.625	-0.25
7	2002-07-17	55.9	short	5			-1.999999999999993	-2.249999999999993
8	2002-07-18	56.6	short	5			-3.500000000000014	-5.750000000000007
9	2002-07-19	56.8	short	5			-0.9999999999999787	-6.749999999999986
10	2002-07-22	56.475	short	5			1.6249999999999787	-5.125000000000007
11	2002-07-23	56.675	short	5			-0.9999999999999787	-6.124999999999986
12	2002-07-24	56.8	short	5			-0.625	-6.749999999999986
13	2002-07-25	56.95	short	5			-0.7500000000000284	-7.500000000000014
14	2002-07-26	57.1	short	5			-0.7499999999999929	-8.250000000000007
15	2002-07-29	56.925	short	5			0.8750000000000213	-7.374999999999986
16	2002-07-30	57.5	short	5			-2.875000000000014	-10.25
17	2002-07-31	57.8	short	5			-1.4999999999999858	-11.749999999999986
18	2002-08-01	57.7	short	5			0.4999999999999716	-11.250000000000014
19	2002-08-02	57.5	short	5			1.0000000000000142	-10.25
20	2002-08-05	57.225	short	5			1.374999999999993	-8.875000000000007
21	2002-08-06	57.25	short	5			-0.1249999999999929	-9.0
22	2002-08-07	57.35	short	5			-0.5000000000000071	-9.500000000000007
23	2002-08-08	57.45	short	4	True	1.0	-0.5000000000000071	-10.000000000000014
24	2002-08-09	57.475	short	3	True	2.0	-0.09999999999999432	-10.100000000000009
25	2002-08-12	57.3	short	2	True	3.0	0.5250000000000128	-9.574999999999996
26	2002-08-13	57.95	short	1	True	4.0	-1.3000000000000114	-10.875000000000007
27	2002-08-14	59.3	short	0	True	5.0	-1.3499999999999943	-12.225000000000001
28	2003-04-08	59.1	long	1	True	1.0		
29	2003-04-09	58.575	long	2	True	2.0	-0.5249999999999986	-12.75
30	2003-04-10	57.55	long	3	True	3.0	-2.0500000000000114	-14.800000000000011
31	2003-04-11	58.325	long	4	True	4.0	2.325000000000017	-12.474999999999994
32	2003-04-14	57.825	long	5	True	5.0	-2.0	-14.474999999999994
33	2003-04-15	58.4	long	5			2.8749999999999787	-11.600000000000016
34	2003-04-16	58.275	long	5			-0.625	-12.225000000000016
35	2003-04-17	59.125	long	5			4.250000000000007	-7.9750000000000085
36	2003-04-18		long	5			0.0	-7.9750000000000085
37	2003-04-21	59.8	long	5			3.374999999999986	-4.600000000000023
38	2003-04-22	59.55	long	5			-1.25	-5.850000000000023
39	2003-04-23	60.625	long	5			5.375000000000014	-0.4750000000000085
40	2003-04-24	61.475	long	5			4.250000000000007	3.7749999999999986
41	2003-04-25	61.75	long	5			1.374999999999993	5.1499999999999915
42	2003-04-28	62.275	long	5			2.624999999999993	7.774999999999984
43	2003-04-29	62.225	long	5			-0.2499999999999858	7.524999999999999
44	2003-04-30	62.775	long	5			2.749999999999986	10.274999999999984
45	2003-05-01	62.875	long	5			0.5000000000000071	10.774999999999991
46	2003-05-02	64.55	long	5			8.374999999999986	19.149999999999977
47	2003-05-05	64.775	long	5			1.1250000000000426	20.27500000000002
48	2003-05-06	64.325	long	5			-2.250000000000014	18.025000000000006
49	2003-05-07	63.575	long	5			-3.75	14.275000000000006
50	2003-05-08	64.2	long	5			3.125	17.400000000000006
51	2003-05-09	65.225	long	5			5.124999999999957	22.524999999999963
52	2003-05-12	65.375	long	5			0.7500000000000284	23.27499999999999
53	2003-05-13	64.6	long	5			-3.8750000000000284	19.399999999999963
54	2003-05-14	65.6	long	5			5.0	24.399999999999963
55	2003-05-15	65.025	long	5			-2.874999999999943	21.52500000000002
56	2003-05-16	66.875	long	5			9.249999999999972	30.77499999999999
57	2003-05-19	67.05	long	5			0.8749999999999858	31.649999999999977
58	2003-05-20	66.2	long	5			-4.249999999999972	27.400000000000006
59	2003-05-21	65.125	long	5			-5.375000000000014	22.02499999999999
60	2003-05-22	64.4	long	5			-3.6249999999999716	18.40000000000002
61	2003-05-23	63.425	long	5			-4.875000000000043	13.524999999999977
62	2003-05-26		long	5			0.0	13.524999999999977
63	2003-05-27	63.075	long	5			-1.7499999999999716	11.775000000000006
64	2003-05-28	64.075	long	5			5.0	16.775000000000006
65	2003-05-29	64.225	long	5			0.7499999999999574	17.524999999999963
66	2003-05-30	64.85	long	5			3.125	20.649999999999963
67	2003-06-02	65.375	long	5			2.6250000000000284	23.27499999999999
68	2003-06-03	65.2	long	5			-0.8749999999999858	22.400000000000006
69	2003-06-04	65.925	long	5			3.6249999999999716	26.024999999999977
70	2003-06-05	65.425	long	5			-2.5	23.524999999999977
71	2003-06-06	66.175	long	5			3.75	27.274999999999977
72	2003-06-09	67.225	long	4	True	1.0	5.249999999999986	32.52499999999996
73	2003-06-10	67.475	long	3	True	2.0	1.0	33.52499999999996
74	2003-06-11	66.075	long	2	True	3.0	-4.199999999999974	29.32499999999999
75	2003-06-12	66.325	long	1	True	4.0	0.5	29.82499999999999
76	2003-06-13	66.975	long	0	True	5.0	0.6499999999999915	30.47499999999998
