	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2003-08-08	60.95	short	1	True	1.0		
1	2003-08-11	60.8	short	2	True	2.0	0.15000000000000568	0.15000000000000568
2	2003-08-12	60.1	short	3	True	3.0	1.3999999999999915	1.5499999999999972
3	2003-08-13	60.3	short	4	True	4.0	-0.5999999999999872	0.95000000000001
4	2003-08-14	60.075	short	5	True	5.0	0.8999999999999773	1.8499999999999872
5	2003-08-15	59.9	short	5			0.8750000000000213	2.7250000000000085
6	2003-08-18	60.125	short	5			-1.125000000000007	1.6000000000000014
7	2003-08-19	60.35	short	5			-1.125000000000007	0.4749999999999943
8	2003-08-20	60.35	short	5			-0.0	0.4749999999999943
9	2003-08-21	60.1	short	5			1.25	1.7249999999999943
10	2003-08-22	60.5	short	5			-1.999999999999993	-0.2749999999999986
11	2003-08-25	60.75	short	5			-1.25	-1.5249999999999986
12	2003-08-26	60.45	short	5			1.4999999999999858	-0.02500000000001279
13	2003-08-27	60.95	short	5			-2.5	-2.525000000000013
14	2003-08-28	61.4	short	5			-2.2499999999999787	-4.7749999999999915
15	2003-08-29	61.95	short	5			-2.7500000000000213	-7.525000000000013
16	2003-09-01		short	5			-0.0	-7.525000000000013
17	2003-09-02	61.975	short	5			-0.1249999999999929	-7.650000000000006
18	2003-09-03	62.2	short	5			-1.125000000000007	-8.775000000000013
19	2003-09-04	62.1	short	5			0.5000000000000071	-8.275000000000006
20	2003-09-05	63.1	short	5			-5.0	-13.275000000000006
21	2003-09-08	62.7	short	5			1.999999999999993	-11.275000000000013
22	2003-09-09	62.15	short	5			2.7500000000000213	-8.524999999999991
23	2003-09-10	62.3	short	5			-0.7499999999999929	-9.274999999999984
24	2003-09-11	62.525	short	5			-1.125000000000007	-10.399999999999991
25	2003-09-12	61.5	short	5			5.124999999999993	-5.274999999999999
26	2003-09-15	61.35	short	5			0.7499999999999929	-4.525000000000006
27	2003-09-16	61.175	short	5			0.8750000000000213	-3.6499999999999844
28	2003-09-17	61.25	short	5			-0.3750000000000142	-4.024999999999999
29	2003-09-18	61.475	short	5			-1.125000000000007	-5.150000000000006
30	2003-09-19	61.65	short	5			-0.8749999999999858	-6.0249999999999915
31	2003-09-22	61.4	short	5			1.25	-4.7749999999999915
32	2003-09-23	61.125	short	5			1.374999999999993	-3.3999999999999986
33	2003-09-24	60.8	short	5			1.6250000000000142	-1.7749999999999844
34	2003-09-25	61.2	short	5			-2.0000000000000284	-3.775000000000013
35	2003-09-26	61.3	short	5			-0.4999999999999716	-4.274999999999984
36	2003-09-29	60.15	short	5			5.749999999999993	1.4750000000000085
37	2003-09-30	60.1	short	5			0.2499999999999858	1.7249999999999943
38	2003-10-01	60.9	short	5			-3.999999999999986	-2.2749999999999915
39	2003-10-02	61.5	short	5			-3.000000000000007	-5.274999999999999
40	2003-10-03	61.4	short	5			0.5000000000000071	-4.7749999999999915
41	2003-10-06	61.8	short	5			-1.999999999999993	-6.774999999999984
42	2003-10-07	62.8	short	5			-5.0	-11.774999999999984
43	2003-10-08	63.6	short	4	True	1.0	-4.000000000000021	-15.775000000000006
44	2003-10-09	62.125	short	3	True	2.0	5.900000000000006	-9.875
45	2003-10-10	61.9	short	2	True	3.0	0.6750000000000043	-9.199999999999996
46	2003-10-13	62.2	short	1	True	4.0	-0.6000000000000085	-9.800000000000004
47	2003-10-14	61.6	short	0	True	5.0	0.6000000000000014	-9.200000000000003
48	2004-06-08	76.3	long	1	True	1.0		
49	2004-06-09	75.475	long	2	True	2.0	-0.8250000000000028	-10.025000000000006
50	2004-06-10	76.325	long	3	True	3.0	1.700000000000017	-8.324999999999989
51	2004-06-11	76.325	long	4	True	4.0	0.0	-8.324999999999989
52	2004-06-14	76.65	long	5	True	5.0	1.3000000000000114	-7.024999999999977
53	2004-06-15	75.875	long	5			-3.8750000000000284	-10.900000000000006
54	2004-06-16	76.325	long	5			2.250000000000014	-8.649999999999991
55	2004-06-17	77.1	long	5			3.8749999999999574	-4.775000000000034
56	2004-06-18	77.85	long	5			3.75	-1.025000000000034
57	2004-06-21	77.9	long	5			0.25000000000005684	-0.7749999999999773
58	2004-06-22	77.025	long	5			-4.375	-5.149999999999977
59	2004-06-23	78.125	long	5			5.499999999999972	0.3499999999999943
60	2004-06-24	76.6	long	5			-7.625000000000028	-7.275000000000034
61	2004-06-25	76.95	long	5			1.7500000000000426	-5.5249999999999915
62	2004-06-28	77.05	long	5			0.4999999999999716	-5.02500000000002
63	2004-06-29	77.5	long	5			2.250000000000014	-2.7750000000000057
64	2004-06-30	78.95	long	5			7.250000000000014	4.4750000000000085
65	2004-07-01	78.75	long	5			-1.0000000000000142	3.4749999999999943
66	2004-07-02	79.125	long	5			1.875	5.349999999999994
67	2004-07-05		long	5			0.0	5.349999999999994
68	2004-07-06	79.375	long	5			1.25	6.599999999999994
69	2004-07-07	78.325	long	5			-5.249999999999986	1.3500000000000085
70	2004-07-08	78.7	long	4	True	1.0	1.875	3.2250000000000085
71	2004-07-09	79.575	long	3	True	2.0	3.5	6.7250000000000085
72	2004-07-12	79.45	long	2	True	3.0	-0.375	6.3500000000000085
73	2004-07-13	78.95	long	1	True	4.0	-1.0	5.3500000000000085
74	2004-07-14	79.425	long	0	True	5.0	0.4749999999999943	5.825000000000003
