	Date	Price	Quantity	long_short	IS_ROLLING	Day	Pnl	cum_PnL
0	1999-09-15	49.7	5	short				
1	1999-09-16	49.8	5	short			-0.4999999999999716	-0.4999999999999716
2	1999-09-17	49.9	5	short			-0.5000000000000071	-0.9999999999999787
3	1999-09-20	50.5	5	short			-3.000000000000007	-3.999999999999986
4	1999-09-21	50.525	5	short			-0.1249999999999929	-4.124999999999979
5	1999-09-22	51.1	5	short			-2.875000000000014	-6.999999999999993
6	1999-09-23	51.15	5	short			-0.2499999999999858	-7.249999999999979
7	1999-09-24	51.75	5	short			-3.000000000000007	-10.249999999999986
8	1999-09-27	52.0	5	short			-1.25	-11.499999999999986
9	1999-09-28	50.1	5	short			9.499999999999993	-1.999999999999993
10	1999-09-29	50.1	5	short			-0.0	-1.999999999999993
11	1999-09-30	50.5	5	short			-1.999999999999993	-3.999999999999986
12	1999-10-01	51.4	5	short			-4.499999999999993	-8.499999999999979
13	1999-10-04	51.5	5	short			-0.5000000000000071	-8.999999999999986
14	1999-10-05	51.5	5	short			-0.0	-8.999999999999986
15	1999-10-06	51.5	5	short			-0.0	-8.999999999999986
16	1999-10-07	51.5	5	short			-0.0	-8.999999999999986
17	1999-10-08	51.7	5	short			-1.0000000000000142	-10.0
18	1999-10-11	51.7	5	short			-0.0	-10.0
19	1999-10-12	51.8	5	short			-0.4999999999999716	-10.499999999999972
20	1999-10-13	52.6	5	short			-4.000000000000021	-14.499999999999993
21	1999-10-14	52.65	5	short			-0.2499999999999858	-14.749999999999979
22	1999-10-15	52.85	5	short			-1.0000000000000142	-15.749999999999993
23	1999-10-18	52.9	5	short			-0.2499999999999858	-15.999999999999979
24	1999-10-19	53.1	5	short			-1.0000000000000142	-16.999999999999993
25	1999-10-20	52.3	5	short			4.000000000000021	-12.999999999999972
26	1999-10-21	52.4	5	short			-0.5000000000000071	-13.499999999999979
27	1999-10-22	52.725	5	short			-1.6250000000000142	-15.124999999999993
28	1999-10-25	52.1	5	short			3.125	-11.999999999999993
29	1999-10-26	52.125	5	short			-0.1249999999999929	-12.124999999999986
30	1999-10-27	51.65	5	short			2.375000000000007	-9.749999999999979
31	1999-10-28	51.15	5	short			2.5	-7.249999999999979
32	1999-10-29	51.4	5	short			-1.25	-8.499999999999979
33	1999-11-01	51.5	5	short			-0.5000000000000071	-8.999999999999986
34	1999-11-02	51.45	5	short			0.2499999999999858	-8.75
35	1999-11-03	51.6	5	short			-0.7499999999999929	-9.499999999999993
36	1999-11-04	52.0	5	short			-1.999999999999993	-11.499999999999986
37	1999-11-05	52.0	5	short			-0.0	-11.499999999999986
38	1999-11-08	51.5	5	short			2.5	-8.999999999999986
39	1999-11-09	52.5	5	short			-5.0	-13.999999999999986
40	1999-11-10	52.5	5	short			-0.0	-13.999999999999986
41	1999-11-11	52.5	5	short			-0.0	-13.999999999999986
42	1999-11-12	52.5	5	short			-0.0	-13.999999999999986
43	1999-11-15	52.5	5	short			-0.0	-13.999999999999986
44	1999-11-16	52.525	5	short			-0.1249999999999929	-14.124999999999979
45	1999-11-17	52.4	5	short			0.625	-13.499999999999979
46	1999-11-18	52.1	5	short			1.4999999999999858	-11.999999999999993
47	1999-11-19	52.2	5	short			-0.5000000000000071	-12.5
48	1999-11-22	52.5	5	short			-1.4999999999999858	-13.999999999999986
49	1999-11-23	52.95	5	short			-2.250000000000014	-16.25
50	1999-11-24	52.8	5	short			0.7500000000000284	-15.499999999999972
51	1999-11-25		5	short			-0.0	-15.499999999999972
52	1999-11-26	52.9	5	short			-0.5000000000000071	-15.999999999999979
53	1999-11-29	53.15	5	short			-1.25	-17.24999999999998
54	1999-11-30	53.3	5	short			-0.7499999999999929	-17.99999999999997
55	1999-12-01	53.55	5	short			-1.25	-19.24999999999997
56	1999-12-02	53.3	5	short			1.25	-17.99999999999997
57	1999-12-03	53.55	5	short			-1.25	-19.24999999999997
58	1999-12-06	53.75	5	short			-1.0000000000000142	-20.249999999999986
59	1999-12-07	53.75	5	short			-0.0	-20.249999999999986
60	1999-12-08	54.0	5	short			-1.25	-21.499999999999986
61	1999-12-09	54.05	5	short			-0.2499999999999858	-21.74999999999997
62	1999-12-10	54.275	5	short			-1.125000000000007	-22.87499999999998
63	1999-12-13	54.225	5	short			0.2499999999999858	-22.624999999999993
64	1999-12-14	54.425	5	short			-0.9999999999999787	-23.62499999999997
65	1999-12-15	54.5	5	short			-0.3750000000000142	-23.999999999999986
66	1999-12-16	54.65	5	short			-0.7499999999999929	-24.74999999999998
67	1999-12-17	54.8	5	short			-0.7499999999999929	-25.49999999999997
68	1999-12-20	54.975	5	short			-0.8750000000000213	-26.374999999999993
69	1999-12-21	54.95	5	short			0.1249999999999929	-26.25
70	1999-12-22	54.8	5	short			0.7500000000000284	-25.49999999999997
71	1999-12-23	54.7	5	short			0.4999999999999716	-25.0
72	1999-12-24		5	short			-0.0	-25.0
73	1999-12-27	55.2	5	short			-2.5	-27.5
74	1999-12-28	54.95	5	short			1.25	-26.25
75	1999-12-29	54.95	5	short			-0.0	-26.25
76	1999-12-30	55.0	5	short			-0.2499999999999858	-26.499999999999986
77	1999-12-31	55.0	5	short			-0.0	-26.499999999999986
78	2000-01-03	55.95	5	short			-4.750000000000014	-31.25
79	2000-01-04	55.525	5	short			2.1250000000000213	-29.12499999999998
80	2000-01-05	55.5	5	short			0.1249999999999929	-28.999999999999986
81	2000-01-06	55.65	5	short			-0.7499999999999929	-29.74999999999998
82	2000-01-07	55.725	5	short			-0.3750000000000142	-30.124999999999993
