	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2015-07-08	77.9	short	1	True	1.0		
1	2015-07-09	76.25	short	2	True	2.0	1.6500000000000057	1.6500000000000057
2	2015-07-10	76.175	short	3	True	3.0	0.15000000000000568	1.8000000000000114
3	2015-07-13	75.75	short	4	True	4.0	1.2749999999999915	3.075000000000003
4	2015-07-14	77.55	short	5	True	5.0	-7.199999999999989	-4.124999999999986
5	2015-07-15	77.55	short	5			-0.0	-4.124999999999986
6	2015-07-16	77.05	short	5			2.5	-1.6249999999999858
7	2015-07-17	76.85	short	5			1.0000000000000142	-0.6249999999999716
8	2015-07-20	77.375	short	5			-2.6250000000000284	-3.25
9	2015-07-21	76.675	short	5			3.500000000000014	0.2500000000000142
10	2015-07-22	76.675	short	5			-0.0	0.2500000000000142
11	2015-07-23	77.7	short	5			-5.125000000000028	-4.875000000000014
12	2015-07-24	77.675	short	5			0.12500000000002842	-4.749999999999986
13	2015-07-27	77.55	short	5			0.625	-4.124999999999986
14	2015-07-28	77.925	short	5			-1.875	-5.999999999999986
15	2015-07-29	77.925	short	5			-0.0	-5.999999999999986
16	2015-07-30	77.125	short	5			3.999999999999986	-2.0
17	2015-07-31	76.5	short	5			3.125	1.125
18	2015-08-03	76.5	short	5			-0.0	1.125
19	2015-08-04	77.175	short	5			-3.374999999999986	-2.249999999999986
20	2015-08-05	78.0	short	5			-4.125000000000014	-6.375
21	2015-08-06	78.0	short	5			-0.0	-6.375
22	2015-08-07	77.45	short	5			2.749999999999986	-3.625000000000014
23	2015-08-10	77.0	short	4	True	1.0	2.250000000000014	-1.375
24	2015-08-11	77.3	short	3	True	2.0	-1.1999999999999886	-2.5749999999999886
25	2015-08-12	76.675	short	2	True	3.0	1.875	-0.6999999999999886
26	2015-08-13	76.825	short	1	True	4.0	-0.30000000000001137	-1.0
27	2015-08-14	76.925	short	0	True	5.0	-0.09999999999999432	-1.0999999999999943
28	2016-07-08	78.825	long	1	True	1.0		
29	2016-07-11	78.35	long	2	True	2.0	-0.4750000000000085	-1.5750000000000028
30	2016-07-12	79.175	long	3	True	3.0	1.6500000000000057	0.07500000000000284
31	2016-07-13	79.2	long	4	True	4.0	0.07500000000001705	0.1500000000000199
32	2016-07-14	78.6	long	5	True	5.0	-2.400000000000034	-2.250000000000014
33	2016-07-15	77.925	long	5			-3.374999999999986	-5.625
34	2016-07-18	77.825	long	5			-0.4999999999999716	-6.124999999999972
35	2016-07-19	77.35	long	5			-2.3750000000000426	-8.500000000000014
36	2016-07-20	76.2	long	5			-5.749999999999957	-14.249999999999972
37	2016-07-21	74.45	long	5			-8.75	-22.99999999999997
38	2016-07-22	75.275	long	5			4.125000000000014	-18.874999999999957
39	2016-07-25	75.675	long	5			1.9999999999999574	-16.875
40	2016-07-26	74.6	long	5			-5.375000000000014	-22.250000000000014
41	2016-07-27	71.675	long	5			-14.624999999999986	-36.875
42	2016-07-28	68.85	long	5			-14.125000000000014	-51.000000000000014
43	2016-07-29	68.975	long	5			0.625	-50.375000000000014
44	2016-08-01	68.65	long	5			-1.6249999999999432	-51.99999999999996
45	2016-08-02	68.925	long	5			1.3749999999999574	-50.625
46	2016-08-03	68.35	long	5			-2.875000000000014	-53.500000000000014
47	2016-08-04	67.7	long	5			-3.2499999999999574	-56.74999999999997
48	2016-08-05	67.45	long	5			-1.25	-57.99999999999997
49	2016-08-08	67.1	long	4	True	1.0	-1.7500000000000426	-59.750000000000014
50	2016-08-09	66.925	long	3	True	2.0	-0.6999999999999886	-60.45
51	2016-08-10	67.125	long	2	True	3.0	0.6000000000000085	-59.849999999999994
52	2016-08-11	67.2	long	1	True	4.0	0.15000000000000568	-59.69999999999999
53	2016-08-12	67.15	long	0	True	5.0	-0.04999999999999716	-59.749999999999986
