	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2002-11-08	438.25	short	1	True	1.0		
1	2002-11-11	438.25	short	2	True	2.0	-0.0	0.0
2	2002-11-12	433.5	short	3	True	3.0	9.5	9.5
3	2002-11-13	433.25	short	4	True	4.0	0.75	10.25
4	2002-11-14	434.5	short	5	True	5.0	-5.0	5.25
5	2002-11-15	439.75	short	5			-26.25	-21.0
6	2002-11-18	447.5	short	5			-38.75	-59.75
7	2002-11-19	446.0	short	5			7.5	-52.25
8	2002-11-20	454.0	short	5			-40.0	-92.25
9	2002-11-21	456.5	short	5			-12.5	-104.75
10	2002-11-22	458.25	short	5			-8.75	-113.5
11	2002-11-25	460.75	short	5			-12.5	-126.0
12	2002-11-26	458.0	short	5			13.75	-112.25
13	2002-11-27	461.75	short	5			-18.75	-131.0
14	2002-11-28	464.5	short	5			-13.75	-144.75
15	2002-11-29	470.5	short	5			-30.0	-174.75
16	2002-12-02	471.75	short	5			-6.25	-181.0
17	2002-12-03	471.0	short	5			3.75	-177.25
18	2002-12-04	468.75	short	5			11.25	-166.0
19	2002-12-05	463.25	short	5			27.5	-138.5
20	2002-12-06	456.75	short	5			32.5	-106.0
21	2002-12-09	443.25	long	1	True	1.0		
22	2002-12-09	443.25	short	4	True	1.0	67.5	-38.5
23	2002-12-10	446.5	long	2	True	2.0	3.25	-35.25
24	2002-12-10	446.5	short	3	True	2.0	-13.0	-48.25
25	2002-12-11	446.0	long	3	True	3.0	-1.0	-49.25
26	2002-12-11	446.0	short	2	True	3.0	1.5	-47.75
27	2002-12-12	450.25	long	4	True	4.0	12.75	-35.0
28	2002-12-12	450.25	short	1	True	4.0	-8.5	-43.5
29	2002-12-13	442.25	long	5	True	5.0	-32.0	-75.5
30	2002-12-13	442.25	short	0	True	5.0	8.0	-67.5
31	2002-12-16	440.25	long	5			-10.0	-77.5
32	2002-12-17	444.5	long	5			21.25	-56.25
33	2002-12-18	439.75	long	5			-23.75	-80.0
34	2002-12-19	437.5	long	5			-11.25	-91.25
35	2002-12-20	435.5	long	5			-10.0	-101.25
36	2002-12-23	433.0	long	5			-12.5	-113.75
37	2002-12-24	433.0	long	5			0.0	-113.75
38	2002-12-25		long	5			0.0	-113.75
39	2002-12-26		long	5			0.0	-113.75
40	2002-12-27		long	5			0.0	-113.75
41	2002-12-30	426.5	long	5			-32.5	-146.25
42	2002-12-31	428.0	long	5			7.5	-138.75
43	2003-01-01		long	5			0.0	-138.75
44	2003-01-02	433.75	long	5			28.75	-110.0
45	2003-01-03	435.75	long	5			10.0	-100.0
46	2003-01-06	436.25	long	5			2.5	-97.5
47	2003-01-07	435.75	long	5			-2.5	-100.0
48	2003-01-08	434.0	long	4	True	1.0	-8.75	-108.75
49	2003-01-09	436.0	long	3	True	2.0	8.0	-100.75
50	2003-01-10	433.0	long	2	True	3.0	-9.0	-109.75
51	2003-01-13		long	2	True	4.0	0.0	-109.75
52	2003-01-14		long	2	True	5.0	0.0	-109.75
