	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2003-07-08	515.5	short	1	True	1.0		
1	2003-07-09	514.5	short	2	True	2.0	1.0	1.0
2	2003-07-10	507.0	short	3	True	3.0	15.0	16.0
3	2003-07-11	510.0	short	4	True	4.0	-9.0	7.0
4	2003-07-14	514.0	short	5	True	5.0	-16.0	-9.0
5	2003-07-15	508.5	short	5			27.5	18.5
6	2003-07-16	507.0	short	5			7.5	26.0
7	2003-07-17	512.0	short	5			-25.0	1.0
8	2003-07-18	524.0	short	5			-60.0	-59.0
9	2003-07-21	517.0	short	5			35.0	-24.0
10	2003-07-22	503.0	short	5			70.0	46.0
11	2003-07-23	517.0	short	5			-70.0	-24.0
12	2003-07-24	521.25	short	5			-21.25	-45.25
13	2003-07-25	525.5	short	5			-21.25	-66.5
14	2003-07-28	531.0	short	5			-27.5	-94.0
15	2003-07-29	525.5	short	5			27.5	-66.5
16	2003-07-30	521.0	short	5			22.5	-44.0
17	2003-07-31	528.0	short	5			-35.0	-79.0
18	2003-08-01	522.0	short	5			30.0	-49.0
19	2003-08-04	521.5	short	5			2.5	-46.5
20	2003-08-05	523.0	short	5			-7.5	-54.0
21	2003-08-06	520.0	short	5			15.0	-39.0
22	2003-08-07	526.75	short	5			-33.75	-72.75
23	2003-08-08	504.0	long	1	True	1.0		
24	2003-08-08	504.0	short	4	True	1.0	113.75	41.0
25	2003-08-11	506.0	long	2	True	2.0	2.0	43.0
26	2003-08-11	506.0	short	3	True	2.0	-8.0	35.0
27	2003-08-12	504.25	long	3	True	3.0	-3.5	31.5
28	2003-08-12	504.25	short	2	True	3.0	5.25	36.75
29	2003-08-13	475.75	long	4	True	4.0	-85.5	-48.75
30	2003-08-13	475.75	short	1	True	4.0	57.0	8.25
31	2003-08-14	473.25	long	5	True	5.0	-10.0	-1.75
32	2003-08-14	473.25	short	0	True	5.0	2.5	0.75
33	2003-08-15	475.5	long	5			11.25	12.0
34	2003-08-18	478.5	long	5			15.0	27.0
35	2003-08-19	485.0	long	5			32.5	59.5
36	2003-08-20	488.0	long	5			15.0	74.5
37	2003-08-21	490.0	long	5			10.0	84.5
38	2003-08-22	491.25	long	5			6.25	90.75
39	2003-08-25		long	5			0.0	90.75
40	2003-08-26	487.75	long	5			-17.5	73.25
41	2003-08-27	491.25	long	5			17.5	90.75
42	2003-08-28	491.5	long	5			1.25	92.0
43	2003-08-29	504.5	long	5			65.0	157.0
44	2003-09-01	507.75	long	5			16.25	173.25
45	2003-09-02	511.5	long	5			18.75	192.0
46	2003-09-03	512.5	long	5			5.0	197.0
47	2003-09-04	508.0	long	5			-22.5	174.5
48	2003-09-05	520.5	long	5			62.5	237.0
49	2003-09-08	519.5	long	4	True	1.0	-5.0	232.0
50	2003-09-09	511.0	long	3	True	2.0	-34.0	198.0
51	2003-09-10	516.75	long	2	True	3.0	17.25	215.25
52	2003-09-11	517.0	long	1	True	4.0	0.5	215.75
53	2003-09-12	514.0	long	0	True	5.0	-3.0	212.75
