	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2015-07-08	1802.25	short	1	True	1.0		
1	2015-07-09	1834.0	short	2	True	2.0	-31.75	-31.75
2	2015-07-10	1812.25	short	3	True	3.0	43.5	11.75
3	2015-07-13	1865.25	short	4	True	4.0	-159.0	-147.25
4	2015-07-14	1862.75	short	5	True	5.0	10.0	-137.25
5	2015-07-15	1896.0	short	5			-166.25	-303.5
6	2015-07-16	1863.5	short	5			162.5	-141.0
7	2015-07-17	1871.5	short	5			-40.0	-181.0
8	2015-07-20	1841.0	short	5			152.5	-28.5
9	2015-07-21	1816.75	short	5			121.25	92.75
10	2015-07-22	1800.25	short	5			82.5	175.25
11	2015-07-23	1761.0	short	5			196.25	371.5
12	2015-07-24	1747.0	short	5			70.0	441.5
13	2015-07-27	1723.5	short	5			117.5	559.0
14	2015-07-28	1750.5	short	5			-135.0	424.0
15	2015-07-29	1750.25	short	5			1.25	425.25
16	2015-07-30	1736.0	short	5			71.25	496.5
17	2015-07-31	1722.5	short	5			67.5	564.0
18	2015-08-03	1720.0	short	5			12.5	576.5
19	2015-08-04	1759.5	short	5			-197.5	379.0
20	2015-08-05	1747.5	short	5			60.0	439.0
21	2015-08-06	1726.5	short	5			105.0	544.0
22	2015-08-07	1750.25	short	5			-118.75	425.25
23	2015-08-10	1781.5	short	4	True	1.0	-156.25	269.0
24	2015-08-11	1742.25	short	3	True	2.0	157.0	426.0
25	2015-08-12	1762.75	short	2	True	3.0	-61.5	364.5
26	2015-08-13	1762.0	short	1	True	4.0	1.5	366.0
27	2015-08-14	1769.5	short	0	True	5.0	-7.5	358.5
28	2016-06-08	1732.25	long	1	True	1.0		
29	2016-06-09	1699.0	long	2	True	2.0	-33.25	325.25
30	2016-06-10	1693.0	long	3	True	3.0	-12.0	313.25
31	2016-06-13	1706.5	long	4	True	4.0	40.5	353.75
32	2016-06-14	1680.25	long	5	True	5.0	-105.0	248.75
33	2016-06-15	1693.0	long	5			63.75	312.5
34	2016-06-16	1699.75	long	5			33.75	346.25
35	2016-06-17	1688.75	long	5			-55.0	291.25
36	2016-06-20	1717.0	long	5			141.25	432.5
37	2016-06-21	1704.0	long	5			-65.0	367.5
38	2016-06-22	1712.25	long	5			41.25	408.75
39	2016-06-23	1726.75	long	5			72.5	481.25
40	2016-06-24	1707.0	long	5			-98.75	382.5
41	2016-06-27	1697.0	long	5			-50.0	332.5
42	2016-06-28	1731.0	long	5			170.0	502.5
43	2016-06-29	1767.75	long	5			183.75	686.25
44	2016-06-30	1785.75	long	5			90.0	776.25
45	2016-07-01	1848.75	long	5			315.0	1091.25
46	2016-07-04	1843.25	long	5			-27.5	1063.75
47	2016-07-05	1822.75	long	5			-102.5	961.25
48	2016-07-06	1829.5	long	5			33.75	995.0
49	2016-07-07	1809.75	long	5			-98.75	896.25
50	2016-07-08	1810.5	long	4	True	1.0	3.75	900.0
51	2016-07-11	1813.25	long	3	True	2.0	11.0	911.0
52	2016-07-12	1861.0	long	2	True	3.0	143.25	1054.25
53	2016-07-13	1873.0	long	1	True	4.0	24.0	1078.25
54	2016-07-14	1891.25	long	0	True	5.0	18.25	1096.5
