	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2009-08-10	1881.5	short	1	True	1.0		
1	2009-08-11	1810.0	short	2	True	2.0	71.5	71.5
2	2009-08-12	1854.0	short	3	True	3.0	-88.0	-16.5
3	2009-08-13	1932.0	short	4	True	4.0	-234.0	-250.5
4	2009-08-14	1855.0	short	5	True	5.0	308.0	57.5
5	2009-08-17	1790.0	short	5			325.0	382.5
6	2009-08-18	1818.0	short	5			-140.0	242.5
7	2009-08-19	1820.75	short	5			-13.75	228.75
8	2009-08-20	1831.0	short	5			-51.25	177.5
9	2009-08-21	1873.0	short	5			-210.0	-32.5
10	2009-08-24	2022.5	short	5			-747.5	-780.0
11	2009-08-25	2048.0	short	5			-127.5	-907.5
12	2009-08-26	2037.0	short	5			55.0	-852.5
13	2009-08-27	1994.5	short	5			212.5	-640.0
14	2009-08-28	2086.5	short	5			-460.0	-1100.0
15	2009-08-31		short	5			-0.0	-1100.0
16	2009-09-01	2068.0	short	5			92.5	-1007.5
17	2009-09-02	2100.0	short	5			-160.0	-1167.5
18	2009-09-03	2250.0	short	5			-750.0	-1917.5
19	2009-09-04	2269.5	short	5			-97.5	-2015.0
20	2009-09-07	2316.5	short	5			-235.0	-2250.0
21	2009-09-08	2413.5	short	4	True	1.0	-485.0	-2735.0
22	2009-09-09	2378.0	short	3	True	2.0	142.0	-2593.0
23	2009-09-10	2095.0	short	2	True	3.0	849.0	-1744.0
24	2009-09-11	2040.0	short	1	True	4.0	110.0	-1634.0
25	2009-09-14	2085.0	short	0	True	5.0	-45.0	-1679.0
26	2010-07-08	1817.25	long	1	True	1.0		
27	2010-07-09	1834.0	long	2	True	2.0	16.75	-1662.25
28	2010-07-12	1772.25	long	3	True	3.0	-123.5	-1785.75
29	2010-07-13	1813.0	long	4	True	4.0	122.25	-1663.5
30	2010-07-14	1817.25	long	5	True	5.0	17.0	-1646.5
31	2010-07-15	1787.25	long	5			-150.0	-1796.5
32	2010-07-16	1759.0	long	5			-141.25	-1937.75
33	2010-07-19	1762.0	long	5			15.0	-1922.75
34	2010-07-20	1825.75	long	5			318.75	-1604.0
35	2010-07-21	1852.5	long	5			133.75	-1470.25
36	2010-07-22	1926.5	long	5			370.0	-1100.25
37	2010-07-23	1965.75	long	5			196.25	-904.0
38	2010-07-26	2000.75	long	5			175.0	-729.0
39	2010-07-27	1961.25	long	5			-197.5	-926.5
40	2010-07-28	2001.0	long	5			198.75	-727.75
41	2010-07-29	2033.0	long	5			160.0	-567.75
42	2010-07-30	2059.5	long	5			132.5	-435.25
43	2010-08-02	2194.75	long	5			676.25	241.0
44	2010-08-03	2201.5	long	5			33.75	274.75
45	2010-08-04	2223.5	long	5			110.0	384.75
46	2010-08-05	2163.75	long	5			-298.75	86.0
47	2010-08-06	2138.75	long	5			-125.0	-39.0
48	2010-08-09	2175.75	long	4	True	1.0	185.0	146.0
49	2010-08-10	2101.0	long	3	True	2.0	-299.0	-153.0
50	2010-08-11	2040.25	long	2	True	3.0	-182.25	-335.25
51	2010-08-12	2075.0	long	1	True	4.0	69.5	-265.75
52	2010-08-13	2031.5	long	0	True	5.0	-43.5	-309.25
