	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2005-08-08	837.0	short	1	True	1.0		
1	2005-08-09	838.0	short	2	True	2.0	-1.0	-1.0
2	2005-08-10	852.0	short	3	True	3.0	-28.0	-29.0
3	2005-08-11	855.0	short	4	True	4.0	-9.0	-38.0
4	2005-08-12	881.0	short	5	True	5.0	-104.0	-142.0
5	2005-08-15	879.0	short	5			10.0	-132.0
6	2005-08-16	862.0	short	5			85.0	-47.0
7	2005-08-17	841.0	short	5			105.0	58.0
8	2005-08-18	852.5	short	5			-57.5	0.5
9	2005-08-19	855.5	short	5			-15.0	-14.5
10	2005-08-22	874.5	short	5			-95.0	-109.5
11	2005-08-23	872.0	short	5			12.5	-97.0
12	2005-08-24	870.5	short	5			7.5	-89.5
13	2005-08-25	865.0	short	5			27.5	-62.0
14	2005-08-26	869.5	short	5			-22.5	-84.5
15	2005-08-29		short	5			-0.0	-84.5
16	2005-08-30	872.0	short	5			-12.5	-97.0
17	2005-08-31	870.0	short	5			10.0	-87.0
18	2005-09-01	898.5	short	5			-142.5	-229.5
19	2005-09-02	902.0	short	5			-17.5	-247.0
20	2005-09-05	898.0	short	5			20.0	-227.0
21	2005-09-06	889.0	short	5			45.0	-182.0
22	2005-09-07	877.0	short	5			60.0	-122.0
23	2005-09-08	869.0	short	4	True	1.0	40.0	-82.0
24	2005-09-09	870.0	short	3	True	2.0	-4.0	-86.0
25	2005-09-12	879.0	short	2	True	3.0	-27.0	-113.0
26	2005-09-13	875.0	short	1	True	4.0	8.0	-105.0
27	2005-09-14	874.0	short	0	True	5.0	1.0	-104.0
28	2005-10-10	975.5	long	1	True	1.0		
29	2005-10-11	979.0	long	2	True	2.0	3.5	-100.5
30	2005-10-12	956.5	long	3	True	3.0	-45.0	-145.5
31	2005-10-13	956.5	long	4	True	4.0	0.0	-145.5
32	2005-10-14	984.0	long	5	True	5.0	110.0	-35.5
33	2005-10-17	992.0	long	5			40.0	4.5
34	2005-10-18	1004.25	long	5			61.25	65.75
35	2005-10-19	998.0	long	5			-31.25	34.5
36	2005-10-20	996.0	long	5			-10.0	24.5
37	2005-10-21	966.5	long	5			-147.5	-123.0
38	2005-10-24	987.0	long	5			102.5	-20.5
39	2005-10-25	1002.5	long	5			77.5	57.0
40	2005-10-26	991.0	long	5			-57.5	-0.5
41	2005-10-27	993.0	long	5			10.0	9.5
42	2005-10-28	993.0	long	5			0.0	9.5
43	2005-10-31	990.5	long	5			-12.5	-3.0
44	2005-11-01	966.5	long	5			-120.0	-123.0
45	2005-11-02	969.5	long	5			15.0	-108.0
46	2005-11-03	998.0	long	5			142.5	34.5
47	2005-11-04	1012.5	long	5			72.5	107.0
48	2005-11-07	1010.0	long	5			-12.5	94.5
49	2005-11-08	1009.0	long	4	True	1.0	-5.0	89.5
50	2005-11-09	1017.0	long	3	True	2.0	32.0	121.5
51	2005-11-10	1013.0	long	2	True	3.0	-12.0	109.5
52	2005-11-11	1024.0	long	1	True	4.0	22.0	131.5
53	2005-11-14		long	1	True	5.0	0.0	131.5
