	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2006-08-08	1181.0	short	1	True	1.0		
1	2006-08-09	1202.0	short	2	True	2.0	-21.0	-21.0
2	2006-08-10	1173.5	short	3	True	3.0	57.0	36.0
3	2006-08-11	1161.5	short	4	True	4.0	36.0	72.0
4	2006-08-14	1161.5	short	5	True	5.0	-0.0	72.0
5	2006-08-15	1204.0	short	5			-212.5	-140.5
6	2006-08-16	1220.0	short	5			-80.0	-220.5
7	2006-08-17	1179.5	short	5			202.5	-18.0
8	2006-08-18	1179.5	short	5			-0.0	-18.0
9	2006-08-21	1186.5	short	5			-35.0	-53.0
10	2006-08-22	1197.0	short	5			-52.5	-105.5
11	2006-08-23	1195.0	short	5			10.0	-95.5
12	2006-08-24	1205.0	short	5			-50.0	-145.5
13	2006-08-25	1215.0	short	5			-50.0	-195.5
14	2006-08-28		short	5			-0.0	-195.5
15	2006-08-29	1221.0	short	5			-30.0	-225.5
16	2006-08-30	1212.0	short	5			45.0	-180.5
17	2006-08-31	1210.0	short	5			10.0	-170.5
18	2006-09-01	1229.0	short	5			-95.0	-265.5
19	2006-09-04	1255.0	short	5			-130.0	-395.5
20	2006-09-05	1277.0	short	5			-110.0	-505.5
21	2006-09-06	1338.0	short	5			-305.0	-810.5
22	2006-09-07	1317.0	short	5			105.0	-705.5
23	2006-09-08	1332.5	short	4	True	1.0	-77.5	-783.0
24	2006-09-11	1293.0	short	3	True	2.0	158.0	-625.0
25	2006-09-12	1297.0	short	2	True	3.0	-12.0	-637.0
26	2006-09-13	1303.0	short	1	True	4.0	-12.0	-649.0
27	2006-09-14	1304.0	short	0	True	5.0	-1.0	-650.0
28	2006-11-08	1729.0	long	1	True	1.0		
29	2006-11-09	1750.0	long	2	True	2.0	21.0	-629.0
30	2006-11-10	1687.0	long	3	True	3.0	-126.0	-755.0
31	2006-11-13	1578.5	long	4	True	4.0	-325.5	-1080.5
32	2006-11-14	1495.0	long	5	True	5.0	-334.0	-1414.5
33	2006-11-15	1530.0	long	5			175.0	-1239.5
34	2006-11-16	1547.0	long	5			85.0	-1154.5
35	2006-11-17	1495.5	long	5			-257.5	-1412.0
36	2006-11-20	1534.0	long	5			192.5	-1219.5
37	2006-11-21	1557.0	long	5			115.0	-1104.5
38	2006-11-22	1554.0	long	5			-15.0	-1119.5
39	2006-11-23	1571.0	long	5			85.0	-1034.5
40	2006-11-24	1596.0	long	5			125.0	-909.5
41	2006-11-27	1601.0	long	5			25.0	-884.5
42	2006-11-28	1608.5	long	5			37.5	-847.0
43	2006-11-29	1662.0	long	5			267.5	-579.5
44	2006-11-30	1688.0	long	5			130.0	-449.5
45	2006-12-01	1732.0	long	5			220.0	-229.5
46	2006-12-04	1774.5	long	5			212.5	-17.0
47	2006-12-05	1763.5	long	5			-55.0	-72.0
48	2006-12-06	1752.5	long	5			-55.0	-127.0
49	2006-12-07	1732.5	long	5			-100.0	-227.0
50	2006-12-08	1759.0	long	4	True	1.0	132.5	-94.5
51	2006-12-11	1799.0	long	3	True	2.0	160.0	65.5
52	2006-12-12	1764.0	long	2	True	3.0	-105.0	-39.5
53	2006-12-13	1669.5	long	1	True	4.0	-189.0	-228.5
54	2006-12-14	1698.0	long	0	True	5.0	28.5	-200.0
