	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2019-10-08	2146.5	short	1	True	1.0		
1	2019-10-09	2131.0	short	2	True	2.0	15.5	15.5
2	2019-10-10	2159.5	short	3	True	3.0	-57.0	-41.5
3	2019-10-11	2183.5	short	4	True	4.0	-72.0	-113.5
4	2019-10-14	2131.5	short	5	True	5.0	208.0	94.5
5	2019-10-15	2149.0	short	5			-87.5	7.0
6	2019-10-16	2161.25	short	5			-61.25	-54.25
7	2019-10-17	2190.5	short	5			-146.25	-200.5
8	2019-10-18	2183.5	short	5			35.0	-165.5
9	2019-10-21	2213.25	short	5			-148.75	-314.25
10	2019-10-22	2221.0	short	5			-38.75	-353.0
11	2019-10-23	2226.75	short	5			-28.75	-381.75
12	2019-10-24	2228.75	short	5			-10.0	-391.75
13	2019-10-25	2226.5	short	5			11.25	-380.5
14	2019-10-28	2238.5	short	5			-60.0	-440.5
15	2019-10-29	2269.0	short	5			-152.5	-593.0
16	2019-10-30	2210.5	short	5			292.5	-300.5
17	2019-10-31	2160.75	short	5			248.75	-51.75
18	2019-11-01	2166.25	short	5			-27.5	-79.25
19	2019-11-04	2165.0	short	5			6.25	-73.0
20	2019-11-05	2153.75	short	5			56.25	-16.75
21	2019-11-06	2120.5	short	5			166.25	149.5
22	2019-11-07	2115.75	short	5			23.75	173.25
23	2019-11-08	2110.0	short	4	True	1.0	28.75	202.0
24	2019-11-11	2092.5	short	3	True	2.0	70.0	272.0
25	2019-11-12	2061.0	short	2	True	3.0	94.5	366.5
26	2019-11-13	2035.5	short	1	True	4.0	51.0	417.5
27	2019-11-14	2018.75	short	0	True	5.0	16.75	434.25
28	2020-02-10	1791.5	long	1	True	1.0		
29	2020-02-11	1846.75	long	2	True	2.0	55.25	489.5
30	2020-02-12	1850.0	long	3	True	3.0	6.5	496.0
31	2020-02-13	1888.5	long	4	True	4.0	115.5	611.5
32	2020-02-14	1871.75	long	5	True	5.0	-67.0	544.5
33	2020-02-17	1870.0	long	5			-8.75	535.75
34	2020-02-18	1895.5	long	5			127.5	663.25
35	2020-02-19	1879.5	long	5			-80.0	583.25
36	2020-02-20	1863.5	long	5			-80.0	503.25
37	2020-02-21	1825.75	long	5			-188.75	314.5
38	2020-02-24	1812.5	long	5			-66.25	248.25
39	2020-02-25	1852.5	long	5			200.0	448.25
40	2020-02-26	1811.0	long	5			-207.5	240.75
41	2020-02-27	1802.0	long	5			-45.0	195.75
42	2020-02-28	1847.0	long	5			225.0	420.75
43	2020-03-02	1838.25	long	5			-43.75	377.0
44	2020-03-03	1833.25	long	5			-25.0	352.0
45	2020-03-04	1811.25	long	5			-110.0	242.0
46	2020-03-05	1825.5	long	5			71.25	313.25
47	2020-03-06	1842.5	long	5			85.0	398.25
48	2020-03-09	1787.25	long	4	True	1.0	-276.25	122.0
49	2020-03-10	1782.25	long	3	True	2.0	-20.0	102.0
50	2020-03-11	1752.5	long	2	True	3.0	-89.25	12.75
51	2020-03-12	1759.25	long	1	True	4.0	13.5	26.25
52	2020-03-13	1727.25	long	0	True	5.0	-32.0	-5.75
