	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2018-08-08	2143.25	short	1	True	1.0		
1	2018-08-09	2114.0	short	2	True	2.0	29.25	29.25
2	2018-08-10	2103.5	short	3	True	3.0	21.0	50.25
3	2018-08-13	2129.5	short	4	True	4.0	-78.0	-27.75
4	2018-08-14	2079.0	short	5	True	5.0	202.0	174.25
5	2018-08-15	1931.0	short	5			740.0	914.25
6	2018-08-16	2044.0	short	5			-565.0	349.25
7	2018-08-17	1991.0	short	5			265.0	614.25
8	2018-08-20	1974.0	short	5			85.0	699.25
9	2018-08-21	2011.0	short	5			-185.0	514.25
10	2018-08-22	2015.0	short	5			-20.0	494.25
11	2018-08-23	2057.25	short	5			-211.25	283.0
12	2018-08-24	2088.0	short	5			-153.75	129.25
13	2018-08-27		short	5			-0.0	129.25
14	2018-08-28	2086.25	short	5			8.75	138.0
15	2018-08-29	2092.5	short	5			-31.25	106.75
16	2018-08-30	2078.0	short	5			72.5	179.25
17	2018-08-31	2083.5	short	5			-27.5	151.75
18	2018-09-03	2125.25	short	5			-208.75	-57.0
19	2018-09-04	2080.75	short	5			222.5	165.5
20	2018-09-05	2053.25	short	5			137.5	303.0
21	2018-09-06	2041.25	short	5			60.0	363.0
22	2018-09-07	2082.5	short	5			-206.25	156.75
23	2018-09-10	2032.0	short	4	True	1.0	252.5	409.25
24	2018-09-11	1966.75	short	3	True	2.0	261.0	670.25
25	2018-09-12	2022.0	short	2	True	3.0	-165.75	504.5
26	2018-09-13	2039.5	short	1	True	4.0	-35.0	469.5
27	2018-09-14	2038.75	short	0	True	5.0	0.75	470.25
28	2019-01-08	1967.25	long	1	True	1.0		
29	2019-01-09	1971.0	long	2	True	2.0	3.75	474.0
30	2019-01-10	1975.5	long	3	True	3.0	9.0	483.0
31	2019-01-11	2000.25	long	4	True	4.0	74.25	557.25
32	2019-01-14	1979.5	long	5	True	5.0	-83.0	474.25
33	2019-01-15	1963.25	long	5			-81.25	393.0
34	2019-01-16	1968.25	long	5			25.0	418.0
35	2019-01-17	1957.25	long	5			-55.0	363.0
36	2019-01-18	1998.75	long	5			207.5	570.5
37	2019-01-21	2017.0	long	5			91.25	661.75
38	2019-01-22	2020.75	long	5			18.75	680.5
39	2019-01-23	2030.0	long	5			46.25	726.75
40	2019-01-24	2080.5	long	5			252.5	979.25
41	2019-01-25	2113.0	long	5			162.5	1141.75
42	2019-01-28	2074.0	long	5			-195.0	946.75
43	2019-01-29	2069.5	long	5			-22.5	924.25
44	2019-01-30	2083.5	long	5			70.0	994.25
45	2019-01-31	2107.0	long	5			117.5	1111.75
46	2019-02-01	2121.5	long	5			72.5	1184.25
47	2019-02-04	2119.5	long	5			-10.0	1174.25
48	2019-02-05	2092.25	long	5			-136.25	1038.0
49	2019-02-06	2077.75	long	5			-72.5	965.5
50	2019-02-07	2067.0	long	5			-53.75	911.75
51	2019-02-08	2068.25	long	4	True	1.0	6.25	918.0
52	2019-02-11	2034.0	long	3	True	2.0	-137.0	781.0
53	2019-02-12	2023.75	long	2	True	3.0	-30.75	750.25
54	2019-02-13	2012.25	long	1	True	4.0	-23.0	727.25
55	2019-02-14	2034.25	long	0	True	5.0	22.0	749.25
