	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2008-04-08	2903.0	short	1	True	1.0		
1	2008-04-09	2966.0	short	2	True	2.0	-63.0	-63.0
2	2008-04-10	2917.0	short	3	True	3.0	98.0	35.0
3	2008-04-11	2970.0	short	4	True	4.0	-159.0	-124.0
4	2008-04-14	2920.0	short	5	True	5.0	200.0	76.0
5	2008-04-15	2842.0	short	5			390.0	466.0
6	2008-04-16	2869.5	short	5			-137.5	328.5
7	2008-04-17	2817.0	short	5			262.5	591.0
8	2008-04-18	2843.0	short	5			-130.0	461.0
9	2008-04-21	2779.0	short	5			320.0	781.0
10	2008-04-22	2849.0	short	5			-350.0	431.0
11	2008-04-23	2822.0	short	5			135.0	566.0
12	2008-04-24	2774.0	short	5			240.0	806.0
13	2008-04-25	2783.0	short	5			-45.0	761.0
14	2008-04-28	2779.0	short	5			20.0	781.0
15	2008-04-29	2748.0	short	5			155.0	936.0
16	2008-04-30	2729.0	short	5			95.0	1031.0
17	2008-05-01	2593.5	short	5			677.5	1708.5
18	2008-05-02	2597.0	short	5			-17.5	1691.0
19	2008-05-05		short	5			-0.0	1691.0
20	2008-05-06	2565.0	short	5			160.0	1851.0
21	2008-05-07	2433.0	short	5			660.0	2511.0
22	2008-05-08	2332.5	short	4	True	1.0	502.5	3013.5
23	2008-05-09	2202.5	short	3	True	2.0	520.0	3533.5
24	2008-05-12	2256.0	short	2	True	3.0	-160.5	3373.0
25	2008-05-13	2324.0	short	1	True	4.0	-136.0	3237.0
26	2008-05-14	2269.0	short	0	True	5.0	55.0	3292.0
27	2008-09-08	1844.75	long	1	True	1.0		
28	2008-09-09	1763.0	long	2	True	2.0	-81.75	3210.25
29	2008-09-10	1792.25	long	3	True	3.0	58.5	3268.75
30	2008-09-11	1850.5	long	4	True	4.0	174.75	3443.5
31	2008-09-12	1935.0	long	5	True	5.0	338.0	3781.5
32	2008-09-15	1845.0	long	5			-450.0	3331.5
33	2008-09-16	1804.0	long	5			-205.0	3126.5
34	2008-09-17	1773.5	long	5			-152.5	2974.0
35	2008-09-18	1798.0	long	5			122.5	3096.5
36	2008-09-19	1894.5	long	5			482.5	3579.0
37	2008-09-22	1982.5	long	5			440.0	4019.0
38	2008-09-23	1992.0	long	5			47.5	4066.5
39	2008-09-24	1986.5	long	5			-27.5	4039.0
40	2008-09-25	2006.0	long	5			97.5	4136.5
41	2008-09-26	1950.5	long	5			-277.5	3859.0
42	2008-09-29	1814.0	long	5			-682.5	3176.5
43	2008-09-30	1817.0	long	5			15.0	3191.5
44	2008-10-01	1725.0	long	5			-460.0	2731.5
45	2008-10-02	1680.0	long	5			-225.0	2506.5
46	2008-10-03	1707.5	long	5			137.5	2644.0
47	2008-10-06	1620.5	long	5			-435.0	2209.0
48	2008-10-07	1615.75	long	5			-23.75	2185.25
49	2008-10-08	1563.0	long	4	True	1.0	-263.75	1921.5
50	2008-10-09	1657.0	long	3	True	2.0	376.0	2297.5
51	2008-10-10	1469.0	long	2	True	3.0	-564.0	1733.5
52	2008-10-13	1563.5	long	1	True	4.0	189.0	1922.5
53	2008-10-14		long	1	True	5.0	0.0	1922.5
