,Due,Future,Month,Pair
0,2000-01-14,LLF01,F,LLN00
1,2000-01-17,LLF00,F,LLN00
2,2000-02-15,LLG00,G,LLQ00
3,2000-03-14,LLH00,H,LLU00
4,2000-04-18,LLJ00,J,LLV00
5,2000-05-16,LLK00,K,LLX00
6,2000-06-20,LLM00,M,LLZ00
7,2000-07-18,LLN00,N,LLF02
8,2000-08-15,LLQ00,Q,LLG01
9,2000-09-19,LLU00,U,LLH01
10,2000-10-17,LLV00,V,LLJ01
11,2000-11-14,LLX00,X,LLK01
12,2000-12-19,LLZ00,Z,LLM01
13,2001-02-19,LLG01,G,LLQ01
14,2001-03-16,LLH01,H,LLU01
15,2001-04-11,LLJ01,J,LLV01
16,2001-05-11,LLK01,K,LLX01
17,2001-06-15,LLM01,M,LLZ01
18,2001-07-13,LLN01,N,LLF02
19,2001-08-10,LLQ01,Q,LLG02
20,2001-09-14,LLU01,U,LLH02
21,2001-10-12,LLV01,V,LLJ02
22,2001-11-16,LLX01,X,LLK02
23,2001-12-14,LLZ01,Z,LLM02
24,2002-01-11,LLF02,F,LLN02
25,2002-02-15,LLG02,G,LLQ02
26,2002-03-15,LLH02,H,LLU02
27,2002-04-12,LLJ02,J,LLV02
28,2002-05-10,LLK02,K,LLX02
29,2002-06-14,LLM02,M,LLZ02
30,2002-07-12,LLN02,N,LLF03
31,2002-08-16,LLQ02,Q,LLG03
32,2002-09-13,LLU02,U,LLH03
33,2002-10-11,LLV02,V,LLJ03
34,2002-11-15,LLX02,X,LLK03
35,2002-12-13,LLZ02,Z,LLM03
36,2003-01-10,LLF03,F,LLN03
37,2003-02-14,LLG03,G,LLQ03
38,2003-03-14,LLH03,H,LLU03
39,2003-04-11,LLJ03,J,LLV03
40,2003-05-16,LLK03,K,LLX03
41,2003-06-13,LLM03,M,LLZ03
42,2003-07-11,LLN03,N,LLF04
43,2003-08-15,LLQ03,Q,LLG04
44,2003-09-12,LLU03,U,LLH04
45,2003-10-10,LLV03,V,LLJ04
46,2003-11-14,LLX03,X,LLK04
47,2003-12-12,LLZ03,Z,LLM04
48,2004-01-16,LLF04,F,LLN04
49,2004-02-13,LLG04,G,LLQ04
50,2004-03-12,LLH04,H,LLU04
51,2004-04-16,LLJ04,J,LLV04
52,2004-05-14,LLK04,K,LLX04
53,2004-06-11,LLM04,M,LLZ04
54,2004-07-16,LLN04,N,LLF05
55,2004-08-13,LLQ04,Q,LLG05
56,2004-09-10,LLU04,U,LLH05
57,2004-10-15,LLV04,V,LLJ05
58,2004-11-12,LLX04,X,LLK05
59,2004-12-10,LLZ04,Z,LLM05
60,2005-01-14,LLF05,F,LLN05
61,2005-02-11,LLG05,G,LLQ05
62,2005-03-11,LLH05,H,LLU05
63,2005-04-15,LLJ05,J,LLV05
64,2005-05-13,LLK05,K,LLX05
65,2005-06-10,LLM05,M,LLZ05
66,2005-07-15,LLN05,N,LLF06
67,2005-08-12,LLQ05,Q,LLG06
68,2005-09-16,LLU05,U,LLH06
69,2005-10-14,LLV05,V,LLJ06
70,2005-11-11,LLX05,X,LLK06
71,2005-12-16,LLZ05,Z,LLM06
72,2006-01-16,LLF06,F,LLN06
73,2006-02-13,LLG06,G,LLQ06
74,2006-03-13,LLH06,H,LLU06
75,2006-04-13,LLJ06,J,LLV06
76,2006-05-15,LLK06,K,LLX06
77,2006-06-16,LLM06,M,LLZ06
78,2006-07-14,LLN06,N,LLF07
79,2006-08-11,LLQ06,Q,LLG07
80,2006-09-18,LLU06,U,LLH07
81,2006-10-13,LLV06,V,LLJ07
82,2006-11-10,LLX06,X,LLK07
83,2006-12-15,LLZ06,Z,LLM07
84,2007-01-12,LLF07,F,LLN07
85,2007-02-19,LLG07,G,LLQ07
86,2007-03-19,LLH07,H,LLU07
87,2007-04-16,LLJ07,J,LLV07
88,2007-05-14,LLK07,K,LLX07
89,2007-06-18,LLM07,M,LLZ07
90,2007-07-16,LLN07,N,LLF08
91,2007-08-13,LLQ07,Q,LLG08
92,2007-09-17,LLU07,U,LLH08
93,2007-10-15,LLV07,V,LLJ08
94,2007-11-19,LLX07,X,LLK08
95,2007-12-17,LLZ07,Z,LLM08
96,2008-01-14,LLF08,F,LLN08
97,2008-02-18,LLG08,G,LLQ08
98,2008-03-17,LLH08,H,LLU08
99,2008-04-14,LLJ08,J,LLV08
100,2008-05-19,LLK08,K,LLX08
101,2008-06-16,LLM08,M,LLZ08
102,2008-07-14,LLN08,N,LLF09
103,2008-08-18,LLQ08,Q,LLG09
104,2008-09-15,LLU08,U,LLH09
105,2008-10-13,LLV08,V,LLJ09
106,2008-11-17,LLX08,X,LLK09
107,2008-12-15,LLZ08,Z,LLM09
108,2009-01-19,LLF09,F,LLN09
109,2009-02-16,LLG09,G,LLQ09
110,2009-03-16,LLH09,H,LLU09
111,2009-04-09,LLJ09,J,LLV09
112,2009-05-18,LLK09,K,LLX09
113,2009-06-15,LLM09,M,LLZ09
114,2009-07-13,LLN09,N,LLF10
