	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2003-07-08	506.0	short	1	True	1.0		
1	2003-07-09	504.0	short	2	True	2.0	2.0	2.0
2	2003-07-10	497.0	short	3	True	3.0	14.0	16.0
3	2003-07-11	499.0	short	4	True	4.0	-6.0	10.0
4	2003-07-14	503.0	short	5	True	5.0	-16.0	-6.0
5	2003-07-15	500.0	short	5			15.0	9.0
6	2003-07-16	505.0	short	5			-25.0	-16.0
7	2003-07-17	504.0	short	5			5.0	-11.0
8	2003-07-18	510.0	short	5			-30.0	-41.0
9	2003-07-21	506.0	short	5			20.0	-21.0
10	2003-07-22	496.5	short	5			47.5	26.5
11	2003-07-23	506.5	short	5			-50.0	-23.5
12	2003-07-24	512.5	short	5			-30.0	-53.5
13	2003-07-25	517.0	short	5			-22.5	-76.0
14	2003-07-28	520.0	short	5			-15.0	-91.0
15	2003-07-29	515.0	short	5			25.0	-66.0
16	2003-07-30	509.0	short	5			30.0	-36.0
17	2003-07-31	518.25	short	5			-46.25	-82.25
18	2003-08-01	510.5	short	5			38.75	-43.5
19	2003-08-04	515.0	short	5			-22.5	-66.0
20	2003-08-05	519.5	short	5			-22.5	-88.5
21	2003-08-06	516.5	short	5			15.0	-73.5
22	2003-08-07	523.0	short	5			-32.5	-106.0
23	2003-08-08	505.25	short	4	True	1.0	88.75	-17.25
24	2003-08-11	508.25	short	3	True	2.0	-12.0	-29.25
25	2003-08-12	507.75	short	2	True	3.0	1.5	-27.75
26	2003-08-13	487.5	short	1	True	4.0	40.5	12.75
27	2003-08-14	483.0	short	0	True	5.0	4.5	17.25
28	2004-03-08	888.5	long	1	True	1.0		
29	2004-03-09	853.0	long	2	True	2.0	-35.5	-18.25
30	2004-03-10	859.0	long	3	True	3.0	12.0	-6.25
31	2004-03-11	872.5	long	4	True	4.0	40.5	34.25
32	2004-03-12	869.5	long	5	True	5.0	-12.0	22.25
33	2004-03-15	885.0	long	5			77.5	99.75
34	2004-03-16	913.0	long	5			140.0	239.75
35	2004-03-17	887.0	long	5			-130.0	109.75
36	2004-03-18	889.0	long	5			10.0	119.75
37	2004-03-19	901.0	long	5			60.0	179.75
38	2004-03-22	880.5	long	5			-102.5	77.25
39	2004-03-23	842.0	long	5			-192.5	-115.25
40	2004-03-24	852.0	long	5			50.0	-65.25
41	2004-03-25	822.5	long	5			-147.5	-212.75
42	2004-03-26	830.5	long	5			40.0	-172.75
43	2004-03-29	832.0	long	5			7.5	-165.25
44	2004-03-30	825.5	long	5			-32.5	-197.75
45	2004-03-31	830.0	long	5			22.5	-175.25
46	2004-04-01	840.0	long	5			50.0	-125.25
47	2004-04-02	833.0	long	5			-35.0	-160.25
48	2004-04-05	795.0	long	5			-190.0	-350.25
49	2004-04-06	799.5	long	5			22.5	-327.75
50	2004-04-07	785.5	long	5			-70.0	-397.75
51	2004-04-08	743.0	long	4	True	1.0	-212.5	-610.25
52	2004-04-09		long	4	True	2.0	0.0	-610.25
53	2004-04-12		long	4	True	3.0	0.0	-610.25
54	2004-04-13	706.0	long	1	True	4.0	-148.0	-758.25
55	2004-04-14	727.25	long	0	True	5.0	21.25	-737.0
