	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2015-09-08	1705.5	short	1	True	1.0		
1	2015-09-09	1731.5	short	2	True	2.0	-26.0	-26.0
2	2015-09-10	1745.0	short	3	True	3.0	-27.0	-53.0
3	2015-09-11	1719.5	short	4	True	4.0	76.5	23.5
4	2015-09-14	1690.5	short	5	True	5.0	116.0	139.5
5	2015-09-15	1702.25	short	5			-58.75	80.75
6	2015-09-16	1749.25	short	5			-235.0	-154.25
7	2015-09-17	1737.5	short	5			58.75	-95.5
8	2015-09-18	1708.25	short	5			146.25	50.75
9	2015-09-21	1723.5	short	5			-76.25	-25.5
10	2015-09-22	1701.5	short	5			110.0	84.5
11	2015-09-23	1717.0	short	5			-77.5	7.0
12	2015-09-24	1714.5	short	5			12.5	19.5
13	2015-09-25	1681.75	short	5			163.75	183.25
14	2015-09-28	1674.5	short	5			36.25	219.5
15	2015-09-29	1673.5	short	5			5.0	224.5
16	2015-09-30	1690.75	short	5			-86.25	138.25
17	2015-10-01	1667.0	short	5			118.75	257.0
18	2015-10-02	1659.5	short	5			37.5	294.5
19	2015-10-05	1640.75	short	5			93.75	388.25
20	2015-10-06	1644.0	short	5			-16.25	372.0
21	2015-10-07	1689.25	short	5			-226.25	145.75
22	2015-10-08	1688.5	short	4	True	1.0	3.75	149.5
23	2015-10-09	1795.0	short	3	True	2.0	-426.0	-276.5
24	2015-10-12	1825.25	short	2	True	3.0	-90.75	-367.25
25	2015-10-13	1797.0	short	1	True	4.0	56.5	-310.75
26	2015-10-14	1812.5	short	0	True	5.0	-15.5	-326.25
27	2016-05-09	1727.25	long	1	True	1.0		
28	2016-05-10	1743.75	long	2	True	2.0	16.5	-309.75
29	2016-05-11	1769.0	long	3	True	3.0	50.5	-259.25
30	2016-05-12	1706.0	long	4	True	4.0	-189.0	-448.25
31	2016-05-13	1706.0	long	5	True	5.0	0.0	-448.25
32	2016-05-16	1733.25	long	5			136.25	-312.0
33	2016-05-17	1716.0	long	5			-86.25	-398.25
34	2016-05-18	1698.5	long	5			-87.5	-485.75
35	2016-05-19	1681.25	long	5			-86.25	-572.0
36	2016-05-20	1670.0	long	5			-56.25	-628.25
37	2016-05-23	1651.5	long	5			-92.5	-720.75
38	2016-05-24	1644.5	long	5			-35.0	-755.75
39	2016-05-25	1630.25	long	5			-71.25	-827.0
40	2016-05-26	1671.75	long	5			207.5	-619.5
41	2016-05-27	1695.0	long	5			116.25	-503.25
42	2016-05-30		long	5			0.0	-503.25
43	2016-05-31	1695.5	long	5			2.5	-500.75
44	2016-06-01	1706.25	long	5			53.75	-447.0
45	2016-06-02	1712.75	long	5			32.5	-414.5
46	2016-06-03	1723.0	long	5			51.25	-363.25
47	2016-06-06	1738.5	long	5			77.5	-285.75
48	2016-06-07	1704.75	long	5			-168.75	-454.5
49	2016-06-08	1730.25	long	4	True	1.0	127.5	-327.0
50	2016-06-09	1697.75	long	3	True	2.0	-130.0	-457.0
51	2016-06-10	1691.5	long	2	True	3.0	-18.75	-475.75
52	2016-06-13	1702.5	long	1	True	4.0	22.0	-453.75
53	2016-06-14		long	1	True	5.0	0.0	-453.75
