	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2004-07-08	771.0	short	1	True	1.0		
1	2004-07-09	765.5	short	2	True	2.0	5.5	5.5
2	2004-07-12	753.0	short	3	True	3.0	25.0	30.5
3	2004-07-13	757.0	short	4	True	4.0	-12.0	18.5
4	2004-07-14	762.0	short	5	True	5.0	-20.0	-1.5
5	2004-07-15	783.0	short	5			-105.0	-106.5
6	2004-07-16	783.0	short	5			-0.0	-106.5
7	2004-07-19	775.0	short	5			40.0	-66.5
8	2004-07-20	765.0	short	5			50.0	-16.5
9	2004-07-21	768.0	short	5			-15.0	-31.5
10	2004-07-22	781.0	short	5			-65.0	-96.5
11	2004-07-23	777.0	short	5			20.0	-76.5
12	2004-07-26	776.0	short	5			5.0	-71.5
13	2004-07-27	790.0	short	5			-70.0	-141.5
14	2004-07-28	815.0	short	5			-125.0	-266.5
15	2004-07-29	803.0	short	5			60.0	-206.5
16	2004-07-30	793.0	short	5			50.0	-156.5
17	2004-08-02	784.0	short	5			45.0	-111.5
18	2004-08-03	798.0	short	5			-70.0	-181.5
19	2004-08-04	815.0	short	5			-85.0	-266.5
20	2004-08-05	799.0	short	5			80.0	-186.5
21	2004-08-06	803.0	short	5			-20.0	-206.5
22	2004-08-09	816.0	short	4	True	1.0	-65.0	-271.5
23	2004-08-10	824.0	short	3	True	2.0	-32.0	-303.5
24	2004-08-11	826.0	short	2	True	3.0	-6.0	-309.5
25	2004-08-12	820.0	short	1	True	4.0	12.0	-297.5
26	2004-08-13	813.0	short	0	True	5.0	7.0	-290.5
27	2005-04-08	985.5	long	1	True	1.0		
28	2005-04-11	988.5	long	2	True	2.0	3.0	-287.5
29	2005-04-12	974.5	long	3	True	3.0	-28.0	-315.5
30	2005-04-13	947.5	long	4	True	4.0	-81.0	-396.5
31	2005-04-14	939.0	long	5	True	5.0	-34.0	-430.5
32	2005-04-15	945.0	long	5			30.0	-400.5
33	2005-04-18	943.0	long	5			-10.0	-410.5
34	2005-04-19	953.5	long	5			52.5	-358.0
35	2005-04-20	974.0	long	5			102.5	-255.5
36	2005-04-21	967.0	long	5			-35.0	-290.5
37	2005-04-22	971.5	long	5			22.5	-268.0
38	2005-04-25	961.0	long	5			-52.5	-320.5
39	2005-04-26	964.5	long	5			17.5	-303.0
40	2005-04-27	965.0	long	5			2.5	-300.5
41	2005-04-28	967.0	long	5			10.0	-290.5
42	2005-04-29	980.0	long	5			65.0	-225.5
43	2005-05-02		long	5			0.0	-225.5
44	2005-05-03	970.0	long	5			-50.0	-275.5
45	2005-05-04	952.5	long	5			-87.5	-363.0
46	2005-05-05	959.5	long	5			35.0	-328.0
47	2005-05-06	963.5	long	5			20.0	-308.0
48	2005-05-09	971.5	long	4	True	1.0	40.0	-268.0
49	2005-05-10	980.5	long	3	True	2.0	36.0	-232.0
50	2005-05-11	973.0	long	2	True	3.0	-22.5	-254.5
51	2005-05-12	965.5	long	1	True	4.0	-15.0	-269.5
52	2005-05-13	956.0	long	0	True	5.0	-9.5	-279.0
