,Date,Value,Payload,Daily_Gain,Missing_Price,No_Tradable_Day,Change (%),Cum_Gain
0,1999-11-01,-101.25,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",,False,False,,
1,1999-11-02,-97.5,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",18.75,False,False,,18.75
2,1999-11-03,-105.0,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-37.5,False,False,-3.0,-18.75
3,1999-11-04,-103.75,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",6.25,False,False,-1.1666666666666667,-12.5
4,1999-11-05,-128.75,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-125.0,False,False,-21.0,-137.5
5,1999-11-08,-128.75,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,-1.0,-137.5
6,1999-11-09,-122.5,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",31.25,False,False,inf,-106.25
7,1999-11-10,-115.0,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",37.5,False,False,0.19999999999999996,-68.75
8,1999-11-11,-113.75,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",6.25,False,False,-0.8333333333333334,-62.5
9,1999-11-12,-143.75,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-150.0,False,False,-25.0,-212.5
10,1999-11-15,-160.0,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-81.25,False,False,-0.45833333333333337,-293.75
11,1999-11-16,-148.75,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",56.25,False,False,-1.6923076923076923,-237.5
12,1999-11-17,-155.0,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-31.25,False,False,-1.5555555555555556,-268.75
13,1999-11-18,-155.0,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,-1.0,-268.75
14,1999-11-19,-160.0,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-25.0,False,False,-inf,-293.75
15,1999-11-22,-167.5,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-37.5,False,False,0.5,-331.25
16,1999-11-23,-147.5,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",100.0,False,False,-3.6666666666666665,-231.25
17,1999-11-24,-153.75,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-31.25,False,False,-1.3125,-262.5
18,1999-11-25,-156.25,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-12.5,False,False,-0.6,-275.0
19,1999-11-26,-155.0,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",6.25,False,False,-1.5,-268.75
20,1999-11-29,-153.75,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",6.25,False,False,0.0,-262.5
21,1999-11-30,-132.5,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",106.25,False,False,16.0,-156.25
22,1999-12-01,-140.0,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-37.5,False,False,-1.3529411764705883,-193.75
23,1999-12-02,-155.0,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-75.0,False,False,1.0,-268.75
24,1999-12-03,-167.5,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-62.5,False,False,-0.16666666666666663,-331.25
25,1999-12-06,-166.25,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",6.25,False,False,-1.1,-325.0
26,1999-12-07,-178.75,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-62.5,False,False,-11.0,-387.5
27,1999-12-08,-190.0,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-56.25,False,False,-0.09999999999999998,-443.75
28,1999-12-09,-190.0,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,-1.0,-443.75
29,1999-12-10,-195.0,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-25.0,False,False,-inf,-468.75
30,1999-12-13,-200.0,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-25.0,False,False,0.0,-493.75
31,1999-12-14,-196.25,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",18.75,False,False,-1.75,-475.0
32,1999-12-15,-197.5,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-6.25,False,False,-1.3333333333333333,-481.25
33,1999-12-16,-201.25,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-18.75,False,False,2.0,-500.0
34,1999-12-17,-213.75,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-62.5,False,False,2.3333333333333335,-562.5
35,1999-12-20,-216.25,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-12.5,False,False,-0.8,-575.0
36,1999-12-21,-221.25,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-25.0,False,False,1.0,-600.0
37,1999-12-22,-215.0,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",31.25,False,False,-2.25,-568.75
38,1999-12-23,-218.75,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-18.75,False,False,-1.6,-587.5
39,1999-12-24,-221.25,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-12.5,False,False,-0.33333333333333337,-600.0
40,1999-12-27,-220.25000000000006,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",4.999999999999716,False,False,-1.3999999999999773,-595.0000000000002
41,1999-12-28,-220.25000000000006,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,-1.0,-595.0000000000002
42,1999-12-29,-221.25,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-4.999999999999716,False,False,-inf,-600.0
43,1999-12-30,-227.5,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-31.25,False,False,5.250000000000355,-631.25
44,1999-12-31,-217.5,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",50.0,False,False,-2.6,-581.25
45,2000-01-03,-217.5,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,-1.0,-581.25
46,2000-01-04,-231.25,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-68.75,False,False,-inf,-650.0
47,2000-01-05,-233.75,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-12.5,False,False,-0.8181818181818181,-662.5
48,2000-01-06,-218.75,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",75.0,False,False,-7.0,-587.5
49,2000-01-07,-217.5,"{'long_future': 'LLF00', 'short_future': 'LLF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",6.25,False,False,-0.9166666666666666,-581.25
50,2000-01-10,-200.5,"{'long_future': 'LLG00', 'short_future': 'LLG01', 'previous_long_future': 'LLF00', 'previous_short_future': 'LLF01', 'event': {'rolling_over': 1}, 'missing_price_flag': False, 'tradable_day': 0}",85.0,False,False,12.6,-496.25
51,2000-01-11,-208.5,"{'long_future': 'LLG00', 'short_future': 'LLG01', 'previous_long_future': 'LLF00', 'previous_short_future': 'LLF01', 'event': {'rolling_over': 2}, 'missing_price_flag': False, 'tradable_day': 0}",-40.0,False,False,-1.4705882352941178,-536.25
52,2000-01-12,-202.75,"{'long_future': 'LLG00', 'short_future': 'LLG01', 'previous_long_future': 'LLF00', 'previous_short_future': 'LLF01', 'event': {'rolling_over': 3}, 'missing_price_flag': False, 'tradable_day': 0}",28.75,False,False,-1.71875,-507.5
53,2000-01-13,-211.5,"{'long_future': 'LLG00', 'short_future': 'LLG01', 'previous_long_future': 'LLF00', 'previous_short_future': 'LLF01', 'event': {'rolling_over': 4}, 'missing_price_flag': False, 'tradable_day': 0}",-43.75,False,False,-2.5217391304347827,-551.25
54,2000-01-14,-210.0,"{'long_future': 'LLG00', 'short_future': 'LLG01', 'previous_long_future': 'LLF00', 'previous_short_future': 'LLF01', 'event': {'rolling_over': 5}, 'missing_price_flag': False, 'tradable_day': 0}",7.5,False,False,-1.1714285714285715,-543.75
55,2000-01-17,-227.5,"{'long_future': 'LLG00', 'short_future': 'LLG01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-87.5,False,False,-12.666666666666666,-631.25
56,2000-01-18,-222.5,"{'long_future': 'LLG00', 'short_future': 'LLG01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",25.0,False,False,-1.2857142857142856,-606.25
57,2000-01-19,-220.0,"{'long_future': 'LLG00', 'short_future': 'LLG01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",12.5,False,False,-0.5,-593.75
58,2000-01-20,-225.0,"{'long_future': 'LLG00', 'short_future': 'LLG01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-25.0,False,False,-3.0,-618.75
59,2000-01-21,-231.25,"{'long_future': 'LLG00', 'short_future': 'LLG01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-31.25,False,False,0.25,-650.0
60,2000-01-24,-236.25,"{'long_future': 'LLG00', 'short_future': 'LLG01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-25.0,False,False,-0.19999999999999996,-675.0
61,2000-01-25,-235.0,"{'long_future': 'LLG00', 'short_future': 'LLG01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",6.25,False,False,-1.25,-668.75
62,2000-01-26,-222.5,"{'long_future': 'LLG00', 'short_future': 'LLG01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",62.5,False,False,9.0,-606.25
63,2000-01-27,-220.0,"{'long_future': 'LLG00', 'short_future': 'LLG01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",12.5,False,False,-0.8,-593.75
64,2000-01-28,-221.25,"{'long_future': 'LLG00', 'short_future': 'LLG01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-6.25,False,False,-1.5,-600.0
65,2000-01-31,-225.0,"{'long_future': 'LLG00', 'short_future': 'LLG01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-18.75,False,False,2.0,-618.75
66,2000-02-01,-231.25,"{'long_future': 'LLG00', 'short_future': 'LLG01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-31.25,False,False,0.6666666666666667,-650.0
67,2000-02-02,-247.5,"{'long_future': 'LLG00', 'short_future': 'LLG01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-81.25,False,False,1.6,-731.25
68,2000-02-03,-251.9999999999999,"{'long_future': 'LLG00', 'short_future': 'LLG01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-22.49999999999943,False,False,-0.7230769230769301,-753.7499999999994
69,2000-02-04,-261.25,"{'long_future': 'LLG00', 'short_future': 'LLG01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-46.25000000000057,False,False,1.0555555555556326,-800.0
70,2000-02-07,-257.5,"{'long_future': 'LLG00', 'short_future': 'LLG01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",18.75,False,False,-1.4054054054054004,-781.25
71,2000-02-08,-250.0,"{'long_future': 'LLH00', 'short_future': 'LLH01', 'previous_long_future': 'LLG00', 'previous_short_future': 'LLG01', 'event': {'rolling_over': 1}, 'missing_price_flag': False, 'tradable_day': 0}",37.5,False,False,1.0,-743.75
72,2000-02-09,-247.5,"{'long_future': 'LLH00', 'short_future': 'LLH01', 'previous_long_future': 'LLG00', 'previous_short_future': 'LLG01', 'event': {'rolling_over': 2}, 'missing_price_flag': False, 'tradable_day': 0}",12.5,False,False,-0.6666666666666667,-731.25
73,2000-02-10,-237.5,"{'long_future': 'LLH00', 'short_future': 'LLH01', 'previous_long_future': 'LLG00', 'previous_short_future': 'LLG01', 'event': {'rolling_over': 3}, 'missing_price_flag': False, 'tradable_day': 0}",50.0,False,False,3.0,-681.25
74,2000-02-11,-216.25,"{'long_future': 'LLH00', 'short_future': 'LLH01', 'previous_long_future': 'LLG00', 'previous_short_future': 'LLG01', 'event': {'rolling_over': 4}, 'missing_price_flag': False, 'tradable_day': 0}",106.25,False,False,1.125,-575.0
75,2000-02-14,-227.5,"{'long_future': 'LLH00', 'short_future': 'LLH01', 'previous_long_future': 'LLG00', 'previous_short_future': 'LLG01', 'event': {'rolling_over': 5}, 'missing_price_flag': False, 'tradable_day': 0}",-56.25,False,False,-1.5294117647058822,-631.25
76,2000-02-15,-237.5,"{'long_future': 'LLH00', 'short_future': 'LLH01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-50.0,False,False,-0.11111111111111116,-681.25
77,2000-02-16,-242.5,"{'long_future': 'LLH00', 'short_future': 'LLH01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-25.0,False,False,-0.5,-706.25
78,2000-02-17,-243.75,"{'long_future': 'LLH00', 'short_future': 'LLH01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-6.25,False,False,-0.75,-712.5
79,2000-02-18,-241.25,"{'long_future': 'LLH00', 'short_future': 'LLH01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",12.5,False,False,-3.0,-700.0
80,2000-02-21,-241.25,"{'long_future': 'LLH00', 'short_future': 'LLH01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,-1.0,-700.0
81,2000-02-22,-241.25,"{'long_future': 'LLH00', 'short_future': 'LLH01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,,-700.0
82,2000-02-23,-238.75,"{'long_future': 'LLH00', 'short_future': 'LLH01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",12.5,False,False,inf,-687.5
83,2000-02-24,-242.5,"{'long_future': 'LLH00', 'short_future': 'LLH01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-18.75,False,False,-2.5,-706.25
84,2000-02-25,-238.75,"{'long_future': 'LLH00', 'short_future': 'LLH01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",18.75,False,False,-2.0,-687.5
85,2000-02-28,-243.75,"{'long_future': 'LLH00', 'short_future': 'LLH01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-25.0,False,False,-2.333333333333333,-712.5
86,2000-02-29,-255.0,"{'long_future': 'LLH00', 'short_future': 'LLH01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-56.25,False,False,1.25,-768.75
87,2000-03-01,-247.5,"{'long_future': 'LLH00', 'short_future': 'LLH01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",37.5,False,False,-1.6666666666666665,-731.25
88,2000-03-02,-250.0,"{'long_future': 'LLH00', 'short_future': 'LLH01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-12.5,False,False,-1.3333333333333333,-743.75
89,2000-03-03,-252.5,"{'long_future': 'LLH00', 'short_future': 'LLH01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-12.5,False,False,0.0,-756.25
90,2000-03-06,-247.5,"{'long_future': 'LLH00', 'short_future': 'LLH01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",25.0,False,False,-3.0,-731.25
91,2000-03-07,-245.0,"{'long_future': 'LLH00', 'short_future': 'LLH01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",12.5,False,False,-0.5,-718.75
92,2000-03-08,-255.0,"{'long_future': 'LLJ00', 'short_future': 'LLJ01', 'previous_long_future': 'LLH00', 'previous_short_future': 'LLH01', 'event': {'rolling_over': 1}, 'missing_price_flag': False, 'tradable_day': 0}",-50.0,False,False,-5.0,-768.75
93,2000-03-09,-247.75,"{'long_future': 'LLJ00', 'short_future': 'LLJ01', 'previous_long_future': 'LLH00', 'previous_short_future': 'LLH01', 'event': {'rolling_over': 2}, 'missing_price_flag': False, 'tradable_day': 0}",36.25,False,False,-1.725,-732.5
94,2000-03-10,-234.75,"{'long_future': 'LLJ00', 'short_future': 'LLJ01', 'previous_long_future': 'LLH00', 'previous_short_future': 'LLH01', 'event': {'rolling_over': 3}, 'missing_price_flag': False, 'tradable_day': 0}",65.0,False,False,0.7931034482758621,-667.5
95,2000-03-13,-228.25,"{'long_future': 'LLJ00', 'short_future': 'LLJ01', 'previous_long_future': 'LLH00', 'previous_short_future': 'LLH01', 'event': {'rolling_over': 4}, 'missing_price_flag': False, 'tradable_day': 0}",32.5,False,False,-0.5,-635.0
96,2000-03-14,-228.75,"{'long_future': 'LLJ00', 'short_future': 'LLJ01', 'previous_long_future': 'LLH00', 'previous_short_future': 'LLH01', 'event': {'rolling_over': 5}, 'missing_price_flag': False, 'tradable_day': 0}",-2.5,False,False,-1.0769230769230769,-637.5
97,2000-03-15,-231.25,"{'long_future': 'LLJ00', 'short_future': 'LLJ01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-12.5,False,False,4.0,-650.0
