	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2010-08-09	22799.0	short	1	True	1.0		
1	2010-08-10	22222.0	short	2	True	2.0	577.0	577.0
2	2010-08-11	21749.0	short	3	True	3.0	946.0	1523.0
3	2010-08-12	21456.0	short	4	True	4.0	879.0	2402.0
4	2010-08-13	21312.0	short	5	True	5.0	576.0	2978.0
5	2010-08-16	21572.0	short	5			-1300.0	1678.0
6	2010-08-17	21964.0	short	5			-1960.0	-282.0
7	2010-08-18	21907.0	short	5			285.0	3.0
8	2010-08-19	21802.0	short	5			525.0	528.0
9	2010-08-20	21473.0	short	5			1645.0	2173.0
10	2010-08-23	21180.0	short	5			1465.0	3638.0
11	2010-08-24	20591.0	short	5			2945.0	6583.0
12	2010-08-25	20088.0	short	5			2515.0	9098.0
13	2010-08-26	20412.0	short	5			-1620.0	7478.0
14	2010-08-27	20987.0	short	5			-2875.0	4603.0
15	2010-08-30		short	5			-0.0	4603.0
16	2010-08-31	20680.0	short	5			1535.0	6138.0
17	2010-09-01	20996.0	short	5			-1580.0	4558.0
18	2010-09-02	21560.0	short	5			-2820.0	1738.0
19	2010-09-03	21509.0	short	5			255.0	1993.0
20	2010-09-06	22025.0	short	5			-2580.0	-587.0
21	2010-09-07	22067.0	short	5			-210.0	-797.0
22	2010-09-08	22721.0	short	4	True	1.0	-3270.0	-4067.0
23	2010-09-09	22639.0	short	3	True	2.0	328.0	-3739.0
24	2010-09-10	22411.5	short	2	True	3.0	682.5	-3056.5
25	2010-09-13	22742.0	short	1	True	4.0	-661.0	-3717.5
26	2010-09-14	23192.0	short	0	True	5.0	-450.0	-4167.5
27	2011-06-08	22693.0	long	1	True	1.0		
28	2011-06-09	23187.0	long	2	True	2.0	494.0	-3673.5
29	2011-06-10	22835.0	long	3	True	3.0	-704.0	-4377.5
30	2011-06-13	22258.0	long	4	True	4.0	-1731.0	-6108.5
31	2011-06-14	22297.0	long	5	True	5.0	156.0	-5952.5
32	2011-06-15	22012.0	long	5			-1425.0	-7377.5
33	2011-06-16	21580.0	long	5			-2160.0	-9537.5
34	2011-06-17	21605.0	long	5			125.0	-9412.5
35	2011-06-20	21629.0	long	5			120.0	-9292.5
36	2011-06-21	21862.0	long	5			1165.0	-8127.5
37	2011-06-22	22134.0	long	5			1360.0	-6767.5
38	2011-06-23	22110.0	long	5			-120.0	-6887.5
39	2011-06-24	22135.0	long	5			125.0	-6762.5
40	2011-06-27	22184.0	long	5			245.0	-6517.5
41	2011-06-28	22665.0	long	5			2405.0	-4112.5
42	2011-06-29	23058.0	long	5			1965.0	-2147.5
43	2011-06-30	23403.0	long	5			1725.0	-422.5
44	2011-07-01	22974.0	long	5			-2145.0	-2567.5
45	2011-07-04	23146.0	long	5			860.0	-1707.5
46	2011-07-05	23277.0	long	5			655.0	-1052.5
47	2011-07-06	23353.0	long	5			380.0	-672.5
48	2011-07-07	23874.0	long	5			2605.0	1932.5
49	2011-07-08	23861.0	long	4	True	1.0	-65.0	1867.5
50	2011-07-11	23192.0	long	3	True	2.0	-2676.0	-808.5
51	2011-07-12	23613.0	long	2	True	3.0	1263.0	454.5
52	2011-07-13	23943.0	long	1	True	4.0	660.0	1114.5
53	2011-07-14	24178.0	long	0	True	5.0	235.0	1349.5
