	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2020-12-08	16516.19	short	1	True	1.0		
1	2020-12-09	16821.0	short	2	True	2.0	-304.8100000000013	-304.8100000000013
2	2020-12-10	17546.75	short	3	True	3.0	-1451.5	-1756.3100000000013
3	2020-12-11	17396.0	short	4	True	4.0	452.25	-1304.0600000000013
4	2020-12-14	17691.0	short	5	True	5.0	-1180.0	-2484.0600000000013
5	2020-12-15	17677.5	short	5			67.5	-2416.5600000000013
6	2020-12-16	17516.0	short	5			807.5	-1609.0600000000013
7	2020-12-17	17626.5	short	5			-552.5	-2161.5600000000013
8	2020-12-18	17599.0	short	5			137.5	-2024.0600000000013
9	2020-12-21	17389.0	short	5			1050.0	-974.0600000000013
10	2020-12-22	16740.5	short	5			3242.5	2268.4399999999987
11	2020-12-23	17000.0	short	5			-1297.5	970.9399999999987
12	2020-12-24	17120.5	short	5			-602.5	368.4399999999987
13	2020-12-25		short	5			-0.0	368.4399999999987
14	2020-12-28		short	5			-0.0	368.4399999999987
15	2020-12-29	17060.0	short	5			302.5	670.9399999999987
16	2020-12-30	16912.5	short	5			737.5	1408.4399999999987
17	2020-12-31	16746.5	short	5			830.0	2238.4399999999987
18	2021-01-01		short	5			-0.0	2238.4399999999987
19	2021-01-04	17524.5	short	5			-3890.0	-1651.5600000000013
20	2021-01-05	17805.5	short	5			-1405.0	-3056.5600000000013
21	2021-01-06	17889.0	short	5			-417.5	-3474.0600000000013
22	2021-01-07	18219.75	short	5			-1653.75	-5127.810000000001
23	2021-01-08	17777.25	short	4	True	1.0	2212.5	-2915.3100000000013
24	2021-01-11	17198.75	short	3	True	2.0	2314.0	-601.3100000000013
25	2021-01-12	17770.75	short	2	True	3.0	-1716.0	-2317.3100000000013
26	2021-01-13	17776.0	short	1	True	4.0	-10.5	-2327.8100000000013
27	2021-01-14	18326.0	short	0	True	5.0	-550.0	-2877.8100000000013
28	2021-10-08	19221.5	long	1	True	1.0		
29	2021-10-11	19127.25	long	2	True	2.0	-94.25	-2972.0600000000013
30	2021-10-12	18985.0	long	3	True	3.0	-284.5	-3256.5600000000013
31	2021-10-13	18925.5	long	4	True	4.0	-178.5	-3435.0600000000013
32	2021-10-14	19305.0	long	5	True	5.0	1518.0	-1917.0600000000013
33	2021-10-15	20045.0	long	5			3700.0	1782.9399999999987
34	2021-10-18	20017.0	long	5			-140.0	1642.9399999999987
35	2021-10-19	20080.5	long	5			317.5	1960.4399999999987
36	2021-10-20	21021.0	long	5			4702.5	6662.939999999999
37	2021-10-21	19992.0	long	5			-5145.0	1517.9399999999987
38	2021-10-22	19817.0	long	5			-875.0	642.9399999999987
39	2021-10-25	20430.0	long	5			3065.0	3707.9399999999987
40	2021-10-26	20181.0	long	5			-1245.0	2462.9399999999987
41	2021-10-27	19495.0	long	5			-3430.0	-967.0600000000013
42	2021-10-28	19659.5	long	5			822.5	-144.5600000000013
43	2021-10-29	19526.0	long	5			-667.5	-812.0600000000013
44	2021-11-01	19795.0	long	5			1345.0	532.9399999999987
45	2021-11-02	19689.0	long	5			-530.0	2.9399999999986903
46	2021-11-03	19243.0	long	5			-2230.0	-2227.0600000000013
47	2021-11-04	19209.0	long	5			-170.0	-2397.0600000000013
48	2021-11-05	19495.0	long	5			1430.0	-967.0600000000013
49	2021-11-08	19700.0	long	4	True	1.0	1025.0	57.93999999999869
50	2021-11-09	19479.0	long	3	True	2.0	-884.0	-826.0600000000013
51	2021-11-10	19850.0	long	2	True	3.0	1113.0	286.9399999999987
52	2021-11-11	19868.0	long	1	True	4.0	36.0	322.9399999999987
53	2021-11-12	20134.0	long	0	True	5.0	266.0	588.9399999999987
