	Date	Price	Quantity	long_short	IS_ROLLING	Day	Pnl	cum_PnL
0	1999-01-18	4779.0	5	short				
1	1999-01-19	4828.0	5	short			-245.0	-245.0
2	1999-01-20	4793.0	5	short			175.0	-70.0
3	1999-01-21	4762.5	5	short			152.5	82.5
4	1999-01-22	4762.0	5	short			2.5	85.0
5	1999-01-25	4719.0	5	short			215.0	300.0
6	1999-01-26	4704.0	5	short			75.0	375.0
7	1999-01-27	4710.0	5	short			-30.0	345.0
8	1999-01-28	4685.5	5	short			122.5	467.5
9	1999-01-29	4675.0	5	short			52.5	520.0
10	1999-02-01	4679.0	5	short			-20.0	500.0
11	1999-02-02	4777.5	5	short			-492.5	7.5
12	1999-02-03	4934.0	5	short			-782.5	-775.0
13	1999-02-04	5093.0	5	short			-795.0	-1570.0
14	1999-02-05	5099.5	5	short			-32.5	-1602.5
15	1999-02-08	5196.0	5	short			-482.5	-2085.0
16	1999-02-09	5134.0	5	short			310.0	-1775.0
17	1999-02-10	5113.0	5	short			105.0	-1670.0
18	1999-02-11	5008.0	5	short			525.0	-1145.0
19	1999-02-12	5012.5	5	short			-22.5	-1167.5
20	1999-02-15	4941.0	5	short			357.5	-810.0
21	1999-02-16	4851.0	5	short			450.0	-360.0
22	1999-02-17	4916.0	5	short			-325.0	-685.0
23	1999-02-18	5018.0	5	short			-510.0	-1195.0
24	1999-02-19	5021.0	5	short			-15.0	-1210.0
25	1999-02-22	5043.0	5	short			-110.0	-1320.0
26	1999-02-23	5152.0	5	short			-545.0	-1865.0
27	1999-02-24	5239.0	5	short			-435.0	-2300.0
28	1999-02-25	5285.0	5	short			-230.0	-2530.0
29	1999-02-26	5167.0	5	short			590.0	-1940.0
30	1999-03-01	5180.5	5	short			-67.5	-2007.5
31	1999-03-02	5191.0	5	short			-52.5	-2060.0
32	1999-03-03	5235.5	5	short			-222.5	-2282.5
33	1999-03-04	5275.5	5	short			-200.0	-2482.5
34	1999-03-05	5246.5	5	short			145.0	-2337.5
35	1999-03-08	5250.0	5	short			-17.5	-2355.0
36	1999-03-09	5180.0	5	short			350.0	-2005.0
37	1999-03-10	5280.0	5	short			-500.0	-2505.0
38	1999-03-11	5259.0	5	short			105.0	-2400.0
39	1999-03-12	5300.5	5	short			-207.5	-2607.5
40	1999-03-15	5480.0	5	short			-897.5	-3505.0
41	1999-03-16	5473.0	5	short			35.0	-3470.0
42	1999-03-17	5469.5	5	short			17.5	-3452.5
43	1999-03-18	5445.5	5	short			120.0	-3332.5
44	1999-03-19	5445.5	5	short			-0.0	-3332.5
45	1999-03-22	5474.5	5	short			-145.0	-3477.5
46	1999-03-23	5477.5	5	short			-15.0	-3492.5
47	1999-03-24	5394.5	5	short			415.0	-3077.5
48	1999-03-25	5435.5	5	short			-205.0	-3282.5
49	1999-03-26	5439.5	5	short			-20.0	-3302.5
50	1999-03-29	5316.5	5	short			615.0	-2687.5
51	1999-03-30	5156.5	5	short			800.0	-1887.5
52	1999-03-31	5135.0	5	short			107.5	-1780.0
53	1999-04-01	5211.0	5	short			-380.0	-2160.0
54	1999-04-02	5211.0	5	short			-0.0	-2160.0
55	1999-04-05	5211.0	5	short			-0.0	-2160.0
56	1999-04-06	5237.0	5	short			-130.0	-2290.0
57	1999-04-07	5289.5	5	short			-262.5	-2552.5
58	1999-04-08	5319.5	5	short			-150.0	-2702.5
59	1999-04-09	5246.5	5	short			365.0	-2337.5
60	1999-04-12	5266.5	5	short			-100.0	-2437.5
