	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2011-03-08	26824.0	short	1	True	1.0		
1	2011-03-09	26149.0	short	2	True	2.0	675.0	675.0
2	2011-03-10	26049.0	short	3	True	3.0	200.0	875.0
3	2011-03-11	25946.0	short	4	True	4.0	309.0	1184.0
4	2011-03-14	25824.0	short	5	True	5.0	488.0	1672.0
5	2011-03-15	24705.0	short	5			5595.0	7267.0
6	2011-03-16	24954.0	short	5			-1245.0	6022.0
7	2011-03-17	25929.0	short	5			-4875.0	1147.0
8	2011-03-18	26754.0	short	5			-4125.0	-2978.0
9	2011-03-21	26754.0	short	5			-0.0	-2978.0
10	2011-03-22	26356.0	short	5			1990.0	-988.0
11	2011-03-23	26831.0	short	5			-2375.0	-3363.0
12	2011-03-24	27206.0	short	5			-1875.0	-5238.0
13	2011-03-25	27058.0	short	5			740.0	-4498.0
14	2011-03-28	26228.0	short	5			4150.0	-348.0
15	2011-03-29	26605.0	short	5			-1885.0	-2233.0
16	2011-03-30	26034.0	short	5			2855.0	622.0
17	2011-03-31	26099.0	short	5			-325.0	297.0
18	2011-04-01	25602.0	short	5			2485.0	2782.0
19	2011-04-04	25502.0	short	5			500.0	3282.0
20	2011-04-05	25407.0	short	5			475.0	3757.0
21	2011-04-06	26445.0	short	5			-5190.0	-1433.0
22	2011-04-07	26812.0	short	5			-1835.0	-3268.0
23	2011-04-08	27602.0	short	4	True	1.0	-3950.0	-7218.0
24	2011-04-11	27708.0	short	3	True	2.0	-424.0	-7642.0
25	2011-04-12	26699.0	short	2	True	3.0	3027.0	-4615.0
26	2011-04-13	26252.0	short	1	True	4.0	894.0	-3721.0
27	2011-04-14	25797.0	short	0	True	5.0	455.0	-3266.0
28	2011-05-09	24373.0	long	1	True	1.0		
29	2011-05-10	24851.0	long	2	True	2.0	478.0	-2788.0
30	2011-05-11	24552.0	long	3	True	3.0	-598.0	-3386.0
31	2011-05-12	24551.0	long	4	True	4.0	-3.0	-3389.0
32	2011-05-13	24400.0	long	5	True	5.0	-604.0	-3993.0
33	2011-05-16	24358.0	long	5			-210.0	-4203.0
34	2011-05-17	24149.0	long	5			-1045.0	-5248.0
35	2011-05-18	24673.0	long	5			2620.0	-2628.0
36	2011-05-19	23550.0	long	5			-5615.0	-8243.0
37	2011-05-20	23533.0	long	5			-85.0	-8328.0
38	2011-05-23	22384.0	long	5			-5745.0	-14073.0
39	2011-05-24	22889.0	long	5			2525.0	-11548.0
40	2011-05-25	23401.0	long	5			2560.0	-8988.0
41	2011-05-26	22821.0	long	5			-2900.0	-11888.0
42	2011-05-27	23082.0	long	5			1305.0	-10583.0
43	2011-05-30		long	5			0.0	-10583.0
44	2011-05-31	23588.0	long	5			2530.0	-8053.0
45	2011-06-01	23242.0	long	5			-1730.0	-9783.0
46	2011-06-02	22564.0	long	5			-3390.0	-13173.0
47	2011-06-03	22787.0	long	5			1115.0	-12058.0
48	2011-06-06	22616.0	long	5			-855.0	-12913.0
49	2011-06-07	22606.0	long	5			-50.0	-12963.0
50	2011-06-08	22686.0	long	4	True	1.0	400.0	-12563.0
51	2011-06-09	23176.0	long	3	True	2.0	1960.0	-10603.0
52	2011-06-10	22821.0	long	2	True	3.0	-1065.0	-11668.0
53	2011-06-13	22244.0	long	1	True	4.0	-1154.0	-12822.0
54	2011-06-14		long	1	True	5.0	0.0	-12822.0
