	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2011-09-08	22087.0	short	1	True	1.0		
1	2011-09-09	21167.0	short	2	True	2.0	920.0	920.0
2	2011-09-12	21618.0	short	3	True	3.0	-902.0	18.0
3	2011-09-13	21315.0	short	4	True	4.0	909.0	927.0
4	2011-09-14	21391.0	short	5	True	5.0	-304.0	623.0
5	2011-09-15	21814.0	short	5			-2115.0	-1492.0
6	2011-09-16	21524.0	short	5			1450.0	-42.0
7	2011-09-19	20989.0	short	5			2675.0	2633.0
8	2011-09-20	21233.0	short	5			-1220.0	1413.0
9	2011-09-21	20410.0	short	5			4115.0	5528.0
10	2011-09-22	18891.0	short	5			7595.0	13123.0
11	2011-09-23	18280.0	short	5			3055.0	16178.0
12	2011-09-26	18012.0	short	5			1340.0	17518.0
13	2011-09-27	18969.0	short	5			-4785.0	12733.0
14	2011-09-28	18519.0	short	5			2250.0	14983.0
15	2011-09-29	18685.0	short	5			-830.0	14153.0
16	2011-09-30	17615.0	short	5			5350.0	19503.0
17	2011-10-03	19035.0	short	5			-7100.0	12403.0
18	2011-10-04	18760.0	short	5			1375.0	13778.0
19	2011-10-05	18410.0	short	5			1750.0	15528.0
20	2011-10-06	18959.0	short	5			-2745.0	12783.0
21	2011-10-07	18914.0	short	5			225.0	13008.0
22	2011-10-10	19385.0	short	4	True	1.0	-2355.0	10653.0
23	2011-10-11	18880.0	short	3	True	2.0	2020.0	12673.0
24	2011-10-12	19083.0	short	2	True	3.0	-609.0	12064.0
25	2011-10-13	18458.0	short	1	True	4.0	1250.0	13314.0
26	2011-10-14	18876.0	short	0	True	5.0	-418.0	12896.0
27	2011-12-08	18298.0	long	1	True	1.0		
28	2011-12-09	18596.0	long	2	True	2.0	298.0	13194.0
29	2011-12-12	18447.0	long	3	True	3.0	-298.0	12896.0
30	2011-12-13	18315.5	long	4	True	4.0	-394.5	12501.5
31	2011-12-14	17412.0	long	5	True	5.0	-3614.0	8887.5
32	2011-12-15	17914.0	long	5			2510.0	11397.5
33	2011-12-16	18565.5	long	5			3257.5	14655.0
34	2011-12-19	18382.0	long	5			-917.5	13737.5
35	2011-12-20	18855.0	long	5			2365.0	16102.5
36	2011-12-21	18959.0	long	5			520.0	16622.5
37	2011-12-22	18679.0	long	5			-1400.0	15222.5
38	2011-12-23	18491.0	long	5			-940.0	14282.5
39	2011-12-26		long	5			0.0	14282.5
40	2011-12-27		long	5			0.0	14282.5
41	2011-12-28	17899.0	long	5			-2960.0	11322.5
42	2011-12-29	18189.0	long	5			1450.0	12772.5
43	2011-12-30	18731.0	long	5			2710.0	15482.5
44	2012-01-02		long	5			0.0	15482.5
45	2012-01-03	18917.0	long	5			930.0	16412.5
46	2012-01-04	18810.0	long	5			-535.0	15877.5
47	2012-01-05	18692.0	long	5			-590.0	15287.5
48	2012-01-06	18756.0	long	5			320.0	15607.5
49	2012-01-09	19093.0	long	4	True	1.0	1685.0	17292.5
50	2012-01-10	19489.0	long	3	True	2.0	1584.0	18876.5
51	2012-01-11	19427.0	long	2	True	3.0	-186.0	18690.5
52	2012-01-12	19641.0	long	1	True	4.0	428.0	19118.5
53	2012-01-13	19561.0	long	0	True	5.0	-80.0	19038.5
