	Date	Price	Quantity	long_short	IS_ROLLING	Day	Pnl	cum_PnL
0	1998-08-25	4425.0	5	short				
1	1998-08-26	4455.0	5	short			-150.0	-150.0
2	1998-08-27	4364.5	5	short			452.5	302.5
3	1998-08-28	4387.5	5	short			-115.0	187.5
4	1998-08-31		5	short			-0.0	187.5
5	1998-09-01	4414.5	5	short			-135.0	52.5
6	1998-09-02	4399.0	5	short			77.5	130.0
7	1998-09-03	4560.0	5	short			-805.0	-675.0
8	1998-09-04	4579.0	5	short			-95.0	-770.0
9	1998-09-07	4612.0	5	short			-165.0	-935.0
10	1998-09-08	4596.5	5	short			77.5	-857.5
11	1998-09-09	4509.5	5	short			435.0	-422.5
12	1998-09-10	4461.5	5	short			240.0	-182.5
13	1998-09-11	4329.0	5	short			662.5	480.0
14	1998-09-14	4399.0	5	short			-350.0	130.0
15	1998-09-15	4454.5	5	short			-277.5	-147.5
16	1998-09-16	4403.0	5	short			257.5	110.0
17	1998-09-17	4393.5	5	short			47.5	157.5
18	1998-09-18	4443.0	5	short			-247.5	-90.0
19	1998-09-21	4384.0	5	short			295.0	205.0
20	1998-09-22	4439.0	5	short			-275.0	-70.0
21	1998-09-23	4485.0	5	short			-230.0	-300.0
22	1998-09-24	4373.0	5	short			560.0	260.0
23	1998-09-25	4433.5	5	short			-302.5	-42.5
24	1998-09-28	4382.0	5	short			257.5	215.0
25	1998-09-29	4453.0	5	short			-355.0	-140.0
26	1998-09-30	4362.5	5	short			452.5	312.5
27	1998-10-01	4380.0	5	short			-87.5	225.0
28	1998-10-02	4362.5	5	short			87.5	312.5
29	1998-10-05	4231.0	5	short			657.5	970.0
30	1998-10-06	4165.5	5	short			327.5	1297.5
31	1998-10-07	4210.0	5	short			-222.5	1075.0
32	1998-10-08	4154.0	5	short			280.0	1355.0
33	1998-10-09	4189.0	5	short			-175.0	1180.0
34	1998-10-12	4181.5	5	short			37.5	1217.5
35	1998-10-13	4141.0	5	short			202.5	1420.0
36	1998-10-14	4126.0	5	short			75.0	1495.0
37	1998-10-15	4091.0	5	short			175.0	1670.0
38	1998-10-16	4262.5	5	short			-857.5	812.5
39	1998-10-19	4338.5	5	short			-380.0	432.5
40	1998-10-20	4337.5	5	short			5.0	437.5
41	1998-10-21	4277.5	5	short			300.0	737.5
42	1998-10-22	4287.0	5	short			-47.5	690.0
43	1998-10-23	4317.0	5	short			-150.0	540.0
44	1998-10-26	4204.0	5	short			565.0	1105.0
45	1998-10-27	4207.5	5	short			-17.5	1087.5
46	1998-10-28	4161.5	5	short			230.0	1317.5
47	1998-10-29	4213.0	5	short			-257.5	1060.0
48	1998-10-30	4212.0	5	short			5.0	1065.0
49	1998-11-02	4353.0	5	short			-705.0	360.0
50	1998-11-03	4352.0	5	short			5.0	365.0
51	1998-11-04	4453.0	5	short			-505.0	-140.0
52	1998-11-05	4522.0	5	short			-345.0	-485.0
53	1998-11-06	4559.0	5	short			-185.0	-670.0
54	1998-11-09	4461.0	5	short			490.0	-180.0
55	1998-11-10	4438.5	5	short			112.5	-67.5
56	1998-11-11	4438.0	5	short			2.5	-65.0
57	1998-11-12	4516.5	5	short			-392.5	-457.5
58	1998-11-13	4436.5	5	short			400.0	-57.5
59	1998-11-16	4445.0	5	short			-42.5	-100.0
60	1998-11-17	4478.0	5	short			-165.0	-265.0
61	1998-11-18	4455.0	5	short			115.0	-150.0
62	1998-11-19	4493.0	5	short			-190.0	-340.0
63	1998-11-20	4488.0	5	short			25.0	-315.0
64	1998-11-23	4417.5	5	short			352.5	37.5
65	1998-11-24	4400.0	5	short			87.5	125.0
66	1998-11-25	4363.0	5	short			185.0	310.0
67	1998-11-26	4372.5	5	short			-47.5	262.5
68	1998-11-27	4458.0	5	short			-427.5	-165.0
69	1998-11-30	4438.5	5	short			97.5	-67.5
70	1998-12-01	4407.5	5	short			155.0	87.5
71	1998-12-02	4362.0	5	short			227.5	315.0
72	1998-12-03	4293.5	5	short			342.5	657.5
73	1998-12-04	4247.0	5	short			232.5	890.0
74	1998-12-07	4209.5	5	short			187.5	1077.5
75	1998-12-08	4060.5	5	short			745.0	1822.5
76	1998-12-09	4104.5	5	short			-220.0	1602.5
77	1998-12-10	4113.5	5	short			-45.0	1557.5
78	1998-12-11	4118.0	5	short			-22.5	1535.0
79	1998-12-14	4057.0	5	short			305.0	1840.0
80	1998-12-15	4124.0	5	short			-335.0	1505.0
81	1998-12-16	4184.0	5	short			-300.0	1205.0
82	1998-12-17	4179.5	5	short			22.5	1227.5
83	1998-12-18	4139.5	5	short			200.0	1427.5
84	1998-12-21	4167.0	5	short			-137.5	1290.0
85	1998-12-22	4167.5	5	short			-2.5	1287.5
86	1998-12-23	4146.0	5	short			107.5	1395.0
87	1998-12-24	4185.0	5	short			-195.0	1200.0
88	1998-12-25		5	short			-0.0	1200.0
89	1998-12-28		5	short			-0.0	1200.0
90	1998-12-29	4231.0	5	short			-230.0	970.0
91	1998-12-30	4440.0	5	short			-1045.0	-75.0
92	1998-12-31	4369.0	5	short			355.0	280.0
93	1999-01-01		5	short			-0.0	280.0
94	1999-01-04	4292.5	5	short			382.5	662.5
95	1999-01-05	4245.0	5	short			237.5	900.0
96	1999-01-06	4206.0	5	short			195.0	1095.0
97	1999-01-07	4393.0	5	short			-935.0	160.0
98	1999-01-08	4728.0	5	short			-1675.0	-1515.0
99	1999-01-11	4885.5	5	short			-787.5	-2302.5
100	1999-01-12	4811.0	5	short			372.5	-1930.0
101	1999-01-13	4673.0	5	short			690.0	-1240.0
102	1999-01-14	4734.0	5	short			-305.0	-1545.0
103	1999-01-15	4714.0	5	short			100.0	-1445.0
104	1999-01-18	4643.0	5	short			355.0	-1090.0
105	1999-01-19	4692.0	5	short			-245.0	-1335.0
106	1999-01-20	4657.0	5	short			175.0	-1160.0
107	1999-01-21	4626.5	5	short			152.5	-1007.5
108	1999-01-22	4626.0	5	short			2.5	-1005.0
109	1999-01-25	4583.0	5	short			215.0	-790.0
110	1999-01-26	4568.0	5	short			75.0	-715.0
111	1999-01-27	4574.0	5	short			-30.0	-745.0
112	1999-01-28	4545.5	5	short			142.5	-602.5
113	1999-01-29	4535.0	5	short			52.5	-550.0
114	1999-02-01	4539.0	5	short			-20.0	-570.0
115	1999-02-02	4637.5	5	short			-492.5	-1062.5
116	1999-02-03	4798.0	5	short			-802.5	-1865.0
117	1999-02-04	4957.0	5	short			-795.0	-2660.0
118	1999-02-05	4967.5	5	short			-52.5	-2712.5
119	1999-02-08	5064.0	5	short			-482.5	-3195.0
120	1999-02-09	4997.5	5	short			332.5	-2862.5
121	1999-02-10	4976.5	5	short			105.0	-2757.5
122	1999-02-11	4871.5	5	short			525.0	-2232.5
123	1999-02-12	4880.0	5	short			-42.5	-2275.0
124	1999-02-15	4812.5	5	short			337.5	-1937.5
125	1999-02-16	4722.5	5	short			450.0	-1487.5
126	1999-02-17	4787.5	5	short			-325.0	-1812.5
127	1999-02-18	4889.5	5	short			-510.0	-2322.5
128	1999-02-19	4933.0	5	short			-217.5	-2540.0
129	1999-02-22	4945.0	5	short			-60.0	-2600.0
130	1999-02-23	5068.0	5	short			-615.0	-3215.0
131	1999-02-24	5147.0	5	short			-395.0	-3610.0
132	1999-02-25	5193.0	5	short			-230.0	-3840.0
133	1999-02-26	5075.0	5	short			590.0	-3250.0
134	1999-03-01	5084.5	5	short			-47.5	-3297.5
135	1999-03-02	5095.0	5	short			-52.5	-3350.0
136	1999-03-03	5139.5	5	short			-222.5	-3572.5
137	1999-03-04	5179.0	5	short			-197.5	-3770.0
138	1999-03-05	5150.0	5	short			145.0	-3625.0
139	1999-03-08	5153.5	5	short			-17.5	-3642.5
140	1999-03-09	5075.5	5	short			390.0	-3252.5
141	1999-03-10	5175.5	5	short			-500.0	-3752.5
142	1999-03-11	5154.5	5	short			105.0	-3647.5
143	1999-03-12	5190.0	5	short			-177.5	-3825.0
144	1999-03-15	5379.5	5	short			-947.5	-4772.5
145	1999-03-16	5372.5	5	short			35.0	-4737.5
146	1999-03-17	5365.0	5	short			37.5	-4700.0
147	1999-03-18	5341.0	5	short			120.0	-4580.0
148	1999-03-19	5341.0	5	short			-0.0	-4580.0
149	1999-03-22	5370.5	5	short			-147.5	-4727.5
