	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2020-04-08	11555.5	short	1	True	1.0		
1	2020-04-09	11719.75	short	2	True	2.0	-164.25	-164.25
2	2020-04-10		short	2	True	3.0	-0.0	-164.25
3	2020-04-13		short	2	True	4.0	-0.0	-164.25
4	2020-04-14	11939.25	short	5	True	5.0	-439.0	-603.25
5	2020-04-15	11820.75	short	5			592.5	-10.75
6	2020-04-16	11809.0	short	5			58.75	48.0
7	2020-04-17	12089.0	short	5			-1400.0	-1352.0
8	2020-04-20	12556.5	short	5			-2337.5	-3689.5
9	2020-04-21	12242.5	short	5			1570.0	-2119.5
10	2020-04-22	12058.0	short	5			922.5	-1197.0
11	2020-04-23	12213.0	short	5			-775.0	-1972.0
12	2020-04-24	12289.0	short	5			-380.0	-2352.0
13	2020-04-27	12284.0	short	5			25.0	-2327.0
14	2020-04-28	12332.0	short	5			-240.0	-2567.0
15	2020-04-29	12353.0	short	5			-105.0	-2672.0
16	2020-04-30	12227.0	short	5			630.0	-2042.0
17	2020-05-01	11991.25	short	5			1178.75	-863.25
18	2020-05-04	11845.5	short	5			728.75	-134.5
19	2020-05-05	12034.5	short	5			-945.0	-1079.5
20	2020-05-06	12334.75	short	5			-1501.25	-2580.75
21	2020-05-07	12360.5	short	5			-128.75	-2709.5
22	2020-05-08		short	5	True	1.0	-0.0	-2709.5
23	2020-05-11	12381.0	short	3	True	2.0	-102.5	-2812.0
24	2020-05-12	12351.5	short	2	True	3.0	88.5	-2723.5
25	2020-05-13	12280.75	short	1	True	4.0	141.5	-2582.0
26	2020-05-14	12095.75	short	0	True	5.0	185.0	-2397.0
27	2020-08-10	14254.75	long	1	True	1.0		
28	2020-08-11	14317.5	long	2	True	2.0	62.75	-2334.25
29	2020-08-12	14226.5	long	3	True	3.0	-182.0	-2516.25
30	2020-08-13	14066.75	long	4	True	4.0	-479.25	-2995.5
31	2020-08-14	14332.0	long	5	True	5.0	1061.0	-1934.5
32	2020-08-17	14559.5	long	5			1137.5	-797.0
33	2020-08-18	14637.25	long	5			388.75	-408.25
34	2020-08-19	14690.5	long	5			266.25	-142.0
35	2020-08-20	14614.0	long	5			-382.5	-524.5
36	2020-08-21	14661.5	long	5			237.5	-287.0
37	2020-08-24	14895.0	long	5			1167.5	880.5
38	2020-08-25	14946.0	long	5			255.0	1135.5
39	2020-08-26	15131.99	long	5			929.9499999999989	2065.449999999999
40	2020-08-27	15163.5	long	5			157.5500000000011	2223.0
41	2020-08-28	15344.0	long	5			902.5	3125.5
42	2020-08-31		long	5			0.0	3125.5
43	2020-09-01	15514.0	long	5			850.0	3975.5
44	2020-09-02	15681.25	long	5			836.25	4811.75
45	2020-09-03	15064.0	long	5			-3086.25	1725.5
46	2020-09-04	15256.5	long	5			962.5	2688.0
47	2020-09-07	15146.5	long	5			-550.0	2138.0
48	2020-09-08	14850.5	long	4	True	1.0	-1480.0	658.0
49	2020-09-09	14881.0	long	3	True	2.0	122.0	780.0
50	2020-09-10	14785.0	long	2	True	3.0	-288.0	492.0
51	2020-09-11	15050.25	long	1	True	4.0	530.5	1022.5
52	2020-09-14	15226.75	long	0	True	5.0	176.5	1199.0
