	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2019-09-09	17992.0	short	1	True	1.0		
1	2019-09-10	17970.0	short	2	True	2.0	22.0	22.0
2	2019-09-11	17785.0	short	3	True	3.0	370.0	392.0
3	2019-09-12	17900.0	short	4	True	4.0	-345.0	47.0
4	2019-09-13	17710.0	short	5	True	5.0	760.0	807.0
5	2019-09-16	17318.0	short	5			1960.0	2767.0
6	2019-09-17	16948.0	short	5			1850.0	4617.0
7	2019-09-18	17100.0	short	5			-760.0	3857.0
8	2019-09-19	17150.0	short	5			-250.0	3607.0
9	2019-09-20	17300.0	short	5			-750.0	2857.0
10	2019-09-23	17410.0	short	5			-550.0	2307.0
11	2019-09-24	17125.0	short	5			1425.0	3732.0
12	2019-09-25	17285.0	short	5			-800.0	2932.0
13	2019-09-26	17170.0	short	5			575.0	3507.0
14	2019-09-27	17159.5	short	5			52.5	3559.5
15	2019-09-30	16997.0	short	5			812.5	4372.0
16	2019-10-01	17140.0	short	5			-715.0	3657.0
17	2019-10-02	17395.0	short	5			-1275.0	2382.0
18	2019-10-03	17540.0	short	5			-725.0	1657.0
19	2019-10-04	17700.0	short	5			-800.0	857.0
20	2019-10-07	17665.0	short	5			175.0	1032.0
21	2019-10-08	17495.0	short	4	True	1.0	850.0	1882.0
22	2019-10-09	17281.0	short	3	True	2.0	856.0	2738.0
23	2019-10-10	17547.0	short	2	True	3.0	-798.0	1940.0
24	2019-10-11	17486.0	short	1	True	4.0	122.0	2062.0
25	2019-10-14	16455.0	short	0	True	5.0	1031.0	3093.0
26	2020-02-10	12835.5	long	1	True	1.0		
27	2020-02-11	13060.0	long	2	True	2.0	224.5	3317.5
28	2020-02-12	13049.0	long	3	True	3.0	-22.0	3295.5
29	2020-02-13	13232.0	long	4	True	4.0	549.0	3844.5
30	2020-02-14	12961.0	long	5	True	5.0	-1084.0	2760.5
31	2020-02-17	13053.5	long	5			462.5	3223.0
32	2020-02-18	12761.0	long	5			-1462.5	1760.5
33	2020-02-19	12770.0	long	5			45.0	1805.5
34	2020-02-20	12608.5	long	5			-807.5	998.0
35	2020-02-21	12470.0	long	5			-692.5	305.5
36	2020-02-24	12366.5	long	5			-517.5	-212.0
37	2020-02-25	12392.0	long	5			127.5	-84.5
38	2020-02-26	12495.5	long	5			517.5	433.0
39	2020-02-27	12320.5	long	5			-875.0	-442.0
40	2020-02-28	12201.0	long	5			-597.5	-1039.5
41	2020-03-02	12642.0	long	5			2205.0	1165.5
42	2020-03-03	12506.0	long	5			-680.0	485.5
43	2020-03-04	12630.0	long	5			620.0	1105.5
44	2020-03-05	12845.0	long	5			1075.0	2180.5
45	2020-03-06	12798.5	long	5			-232.5	1948.0
46	2020-03-09	12610.0	long	4	True	1.0	-942.5	1005.5
47	2020-03-10	12638.5	long	3	True	2.0	114.0	1119.5
48	2020-03-11	12376.5	long	2	True	3.0	-786.0	333.5
49	2020-03-12	11778.0	long	1	True	4.0	-1197.0	-863.5
50	2020-03-13	12271.0	long	0	True	5.0	493.0	-370.5
