	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2010-06-08	18520.0	short	1	True	1.0		
1	2010-06-09	19310.0	short	2	True	2.0	-790.0	-790.0
2	2010-06-10	19009.0	short	3	True	3.0	602.0	-188.0
3	2010-06-11	19610.0	short	4	True	4.0	-1803.0	-1991.0
4	2010-06-14	20360.0	short	5	True	5.0	-3000.0	-4991.0
5	2010-06-15	20283.0	short	5			385.0	-4606.0
6	2010-06-16	20100.0	short	5			915.0	-3691.0
7	2010-06-17	19850.0	short	5			1250.0	-2441.0
8	2010-06-18	19640.0	short	5			1050.0	-1391.0
9	2010-06-21	19900.0	short	5			-1300.0	-2691.0
10	2010-06-22	19702.0	short	5			990.0	-1701.0
11	2010-06-23	19332.0	short	5			1850.0	149.0
12	2010-06-24	19457.0	short	5			-625.0	-476.0
13	2010-06-25	19802.0	short	5			-1725.0	-2201.0
14	2010-06-28	20701.0	short	5			-4495.0	-6696.0
15	2010-06-29	19129.0	short	5			7860.0	1164.0
16	2010-06-30	19799.0	short	5			-3350.0	-2186.0
17	2010-07-01	19054.0	short	5			3725.0	1539.0
18	2010-07-02	18861.0	short	5			965.0	2504.0
19	2010-07-05	18730.0	short	5			655.0	3159.0
20	2010-07-06	18963.0	short	5			-1165.0	1994.0
21	2010-07-07	19205.0	short	5			-1210.0	784.0
22	2010-07-08	19466.0	short	4	True	1.0	-1305.0	-521.0
23	2010-07-09	19565.0	short	3	True	2.0	-396.0	-917.0
24	2010-07-12	19270.0	short	2	True	3.0	885.0	-32.0
25	2010-07-13	19620.0	short	1	True	4.0	-700.0	-732.0
26	2010-07-14	19470.0	short	0	True	5.0	150.0	-582.0
27	2011-01-10	23867.0	long	1	True	1.0		
28	2011-01-11	24691.0	long	2	True	2.0	824.0	242.0
29	2011-01-12	25792.0	long	3	True	3.0	2202.0	2444.0
30	2011-01-13	25545.0	long	4	True	4.0	-741.0	1703.0
31	2011-01-14	25870.0	long	5	True	5.0	1300.0	3003.0
32	2011-01-17	25830.0	long	5			-200.0	2803.0
33	2011-01-18	26097.0	long	5			1335.0	4138.0
34	2011-01-19	25662.0	long	5			-2175.0	1963.0
35	2011-01-20	25760.0	long	5			490.0	2453.0
36	2011-01-21	26154.0	long	5			1970.0	4423.0
37	2011-01-24	26142.0	long	5			-60.0	4363.0
38	2011-01-25	25888.0	long	5			-1270.0	3093.0
39	2011-01-26	26484.0	long	5			2980.0	6073.0
40	2011-01-27	26475.0	long	5			-45.0	6028.0
41	2011-01-28	26600.0	long	5			625.0	6653.0
42	2011-01-31	27333.0	long	5			3665.0	10318.0
43	2011-02-01	27977.0	long	5			3220.0	13538.0
44	2011-02-02	27986.0	long	5			45.0	13583.0
45	2011-02-03	27935.0	long	5			-255.0	13328.0
46	2011-02-04	28350.0	long	5			2075.0	15403.0
47	2011-02-07	28292.0	long	5			-290.0	15113.0
48	2011-02-08	28366.0	long	4	True	1.0	370.0	15483.0
49	2011-02-09	28357.0	long	3	True	2.0	-36.0	15447.0
50	2011-02-10	27830.0	long	2	True	3.0	-1581.0	13866.0
51	2011-02-11	28276.5	long	1	True	4.0	893.0	14759.0
52	2011-02-14	28868.0	long	0	True	5.0	591.5	15350.5
