	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2005-12-08	13805.0	short	1	True	1.0		
1	2005-12-09	14090.0	short	2	True	2.0	-285.0	-285.0
2	2005-12-12	14087.0	short	3	True	3.0	6.0	-279.0
3	2005-12-13	14042.0	short	4	True	4.0	135.0	-144.0
4	2005-12-14	13590.0	short	5	True	5.0	1808.0	1664.0
5	2005-12-15	13535.0	short	5			275.0	1939.0
6	2005-12-16	13910.0	short	5			-1875.0	64.0
7	2005-12-19	13685.0	short	5			1125.0	1189.0
8	2005-12-20	13242.0	short	5			2215.0	3404.0
9	2005-12-21	13206.0	short	5			180.0	3584.0
10	2005-12-22	13385.0	short	5			-895.0	2689.0
11	2005-12-23	13570.0	short	5			-925.0	1764.0
12	2005-12-26		short	5			-0.0	1764.0
13	2005-12-27		short	5			-0.0	1764.0
14	2005-12-28	13560.0	short	5			50.0	1814.0
15	2005-12-29	13385.0	short	5			875.0	2689.0
16	2005-12-30	13565.0	short	5			-900.0	1789.0
17	2006-01-02		short	5			-0.0	1789.0
18	2006-01-03	13955.0	short	5			-1950.0	-161.0
19	2006-01-04	14151.0	short	5			-980.0	-1141.0
20	2006-01-05	14330.0	short	5			-895.0	-2036.0
21	2006-01-06	14330.0	short	5			-0.0	-2036.0
22	2006-01-09	14895.0	short	4	True	1.0	-2825.0	-4861.0
23	2006-01-10	14895.0	short	3	True	2.0	-0.0	-4861.0
24	2006-01-11	14660.0	short	2	True	3.0	705.0	-4156.0
25	2006-01-12	14680.0	short	1	True	4.0	-40.0	-4196.0
26	2006-01-13	14845.0	short	0	True	5.0	-165.0	-4361.0
27	2006-07-10	25675.0	long	1	True	1.0		
28	2006-07-11	26730.0	long	2	True	2.0	1055.0	-3306.0
29	2006-07-12	26200.0	long	3	True	3.0	-1060.0	-4366.0
30	2006-07-13	26730.0	long	4	True	4.0	1590.0	-2776.0
31	2006-07-14	27050.0	long	5	True	5.0	1280.0	-1496.0
32	2006-07-17	27340.0	long	5			1450.0	-46.0
33	2006-07-18	25750.0	long	5			-7950.0	-7996.0
34	2006-07-19	25335.0	long	5			-2075.0	-10071.0
35	2006-07-20	25045.0	long	5			-1450.0	-11521.0
36	2006-07-21	25450.0	long	5			2025.0	-9496.0
37	2006-07-24	25900.0	long	5			2250.0	-7246.0
38	2006-07-25	26425.0	long	5			2625.0	-4621.0
39	2006-07-26	25505.0	long	5			-4600.0	-9221.0
40	2006-07-27	24800.0	long	5			-3525.0	-12746.0
41	2006-07-28	25825.0	long	5			5125.0	-7621.0
42	2006-07-31	26875.0	long	5			5250.0	-2371.0
43	2006-08-01	27400.0	long	5			2625.0	254.0
44	2006-08-02	27350.0	long	5			-250.0	4.0
45	2006-08-03	26050.0	long	5			-6500.0	-6496.0
46	2006-08-04	27500.0	long	5			7250.0	754.0
47	2006-08-07	27350.0	long	5			-750.0	4.0
48	2006-08-08	27325.0	long	4	True	1.0	-125.0	-121.0
49	2006-08-09	27850.0	long	3	True	2.0	2100.0	1979.0
50	2006-08-10	27900.0	long	2	True	3.0	150.0	2129.0
51	2006-08-11		long	2	True	4.0	0.0	2129.0
52	2006-08-14	22660.0	long	0	True	5.0	-10480.0	-8351.0
