	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2022-02-08	22059.0	short	1	True	1.0		
1	2022-02-09	22425.0	short	2	True	2.0	-366.0	-366.0
2	2022-02-10	22730.0	short	3	True	3.0	-610.0	-976.0
3	2022-02-11	22360.0	short	4	True	4.0	1110.0	134.0
4	2022-02-14	22444.0	short	5	True	5.0	-336.0	-202.0
5	2022-02-15	22613.0	short	5			-845.0	-1047.0
6	2022-02-16	22698.0	short	5			-425.0	-1472.0
7	2022-02-17	23146.5	short	5			-2242.5	-3714.5
8	2022-02-18	23406.0	short	5			-1297.5	-5012.0
9	2022-02-21	23649.0	short	5			-1215.0	-6227.0
10	2022-02-22	23777.0	short	5			-640.0	-6867.0
11	2022-02-23	23734.0	short	5			215.0	-6652.0
12	2022-02-24	24018.0	short	5			-1420.0	-8072.0
13	2022-02-25	23690.0	short	5			1640.0	-6432.0
14	2022-02-28	23628.0	short	5			310.0	-6122.0
15	2022-03-01	24573.0	short	5			-4725.0	-10847.0
16	2022-03-02	25270.28	short	5			-3486.399999999994	-14333.399999999994
17	2022-03-03	26037.0	short	5			-3833.600000000006	-18167.0
18	2022-03-04	27874.0	short	5			-9185.0	-27352.0
19	2022-03-07	47311.0	short	5			-97185.0	-124537.0
20	2022-03-08		short	5	True	1.0	-0.0	-124537.0
21	2022-03-09		short	5	True	2.0	-0.0	-124537.0
22	2022-03-10		short	5	True	3.0	-0.0	-124537.0
23	2022-03-11		short	5	True	4.0	-0.0	-124537.0
24	2022-03-14		short	5	True	5.0	-0.0	-124537.0
25	2022-09-08	21715.0	long	1	True	1.0		
26	2022-09-09	22969.0	long	2	True	2.0	1254.0	-123283.0
27	2022-09-12	24547.5	long	3	True	3.0	3157.0	-120126.0
28	2022-09-13	24254.0	long	4	True	4.0	-880.5	-121006.5
29	2022-09-14	24184.0	long	5	True	5.0	-280.0	-121286.5
30	2022-09-15	23096.25	long	5			-5438.75	-126725.25
31	2022-09-16	24220.01	long	5			5618.799999999992	-121106.45000000001
32	2022-09-19	24558.0	long	5			1689.950000000008	-119416.5
33	2022-09-20	24918.0	long	5			1800.0	-117616.5
34	2022-09-21	24894.0	long	5			-120.0	-117736.5
35	2022-09-22	24502.0	long	5			-1960.0	-119696.5
36	2022-09-23	23319.5	long	5			-5912.5	-125609.0
37	2022-09-26	22064.0	long	5			-6277.5	-131886.5
38	2022-09-27	21728.0	long	5			-1680.0	-133566.5
39	2022-09-28	21696.0	long	5			-160.0	-133726.5
40	2022-09-29	22250.0	long	5			2770.0	-130956.5
41	2022-09-30	21012.0	long	5			-6190.0	-137146.5
42	2022-10-03	21136.5	long	5			622.5	-136524.0
43	2022-10-04	21934.0	long	5			3987.5	-132536.5
44	2022-10-05	22468.5	long	5			2672.5	-129864.0
45	2022-10-06	22671.5	long	5			1015.0	-128849.0
46	2022-10-07	22366.0	long	5			-1527.5	-130376.5
47	2022-10-10	22282.0	long	4	True	1.0	-420.0	-130796.5
48	2022-10-11	21915.0	long	3	True	2.0	-1468.0	-132264.5
49	2022-10-12	22142.0	long	2	True	3.0	681.0	-131583.5
50	2022-10-13	22299.0	long	1	True	4.0	314.0	-131269.5
51	2022-10-14	21661.0	long	0	True	5.0	-638.0	-131907.5
