	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2022-06-08	29038.5	short	1	True	1.0		
1	2022-06-09	28203.5	short	2	True	2.0	835.0	835.0
2	2022-06-10	27450.0	short	3	True	3.0	1507.0	2342.0
3	2022-06-13	26105.0	short	4	True	4.0	4035.0	6377.0
4	2022-06-14	25438.0	short	5	True	5.0	2668.0	9045.0
5	2022-06-15	26060.0	short	5			-3110.0	5935.0
6	2022-06-16	25434.5	short	5			3127.5	9062.5
7	2022-06-17	25839.0	short	5			-2022.5	7040.0
8	2022-06-20	25901.0	short	5			-310.0	6730.0
9	2022-06-21	26115.0	short	5			-1070.0	5660.0
10	2022-06-22	24622.0	short	5			7465.0	13125.0
11	2022-06-23	24212.0	short	5			2050.0	15175.0
12	2022-06-24	22578.0	short	5			8170.0	23345.0
13	2022-06-27	23042.0	short	5			-2320.0	21025.0
14	2022-06-28	23325.0	short	5			-1415.0	19610.0
15	2022-06-29	23920.0	short	5			-2975.0	16635.0
16	2022-06-30	22855.0	short	5			5325.0	21960.0
17	2022-07-01	21994.0	short	5			4305.0	26265.0
18	2022-07-04	22691.0	short	5			-3485.0	22780.0
19	2022-07-05	22857.0	short	5			-830.0	21950.0
20	2022-07-06	22022.0	short	5			4175.0	26125.0
21	2022-07-07	21707.0	short	5			1575.0	27700.0
22	2022-07-08	21763.5	short	4	True	1.0	-282.5	27417.5
23	2022-07-11	22006.0	short	3	True	2.0	-970.0	26447.5
24	2022-07-12	21527.0	short	2	True	3.0	1437.0	27884.5
25	2022-07-13	21307.5	short	1	True	4.0	439.0	28323.5
26	2022-07-14	19568.0	short	0	True	5.0	1739.5	30063.0
27	2023-03-08	23845.25	long	1	True	1.0		
28	2023-03-09	23136.0	long	2	True	2.0	-709.25	29353.75
29	2023-03-10	22556.0	long	3	True	3.0	-1160.0	28193.75
30	2023-03-13	22991.0	long	4	True	4.0	1305.0	29498.75
31	2023-03-14	22899.0	long	5	True	5.0	-368.0	29130.75
32	2023-03-15	22859.0	long	5			-200.0	28930.75
33	2023-03-16	23096.0	long	5			1185.0	30115.75
34	2023-03-17	23228.0	long	5			660.0	30775.75
35	2023-03-20	22640.5	long	5			-2937.5	27838.25
36	2023-03-21	22358.5	long	5			-1410.0	26428.25
37	2023-03-22	22278.0	long	5			-402.5	26025.75
38	2023-03-23	22352.0	long	5			370.0	26395.75
39	2023-03-24	23333.0	long	5			4905.0	31300.75
40	2023-03-27	23714.0	long	5			1905.0	33205.75
41	2023-03-28	23952.0	long	5			1190.0	34395.75
42	2023-03-29	23615.0	long	5			-1685.0	32710.75
43	2023-03-30	23046.52	long	5			-2842.399999999998	29868.350000000002
44	2023-03-31	23685.0	long	5			3192.399999999998	33060.75
45	2023-04-03	23208.5	long	5			-2382.5	30678.25
46	2023-04-04	22941.0	long	5			-1337.5	29340.75
47	2023-04-05	22522.0	long	5			-2095.0	27245.75
48	2023-04-06	22680.0	long	5			790.0	28035.75
49	2023-04-07		long	5			0.0	28035.75
50	2023-04-10		long	5	True	1.0	0.0	28035.75
51	2023-04-11	23284.0	long	3	True	2.0	3020.0	31055.75
52	2023-04-12	23400.0	long	2	True	3.0	348.0	31403.75
53	2023-04-13	23555.0	long	1	True	4.0	310.0	31713.75
54	2023-04-14	24027.0	long	0	True	5.0	472.0	32185.75
