	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2000-07-10	7415.0	short	1	True	1.0		
1	2000-07-11	7540.0	short	2	True	2.0	-125.0	-125.0
2	2000-07-12	7495.0	short	3	True	3.0	90.0	-35.0
3	2000-07-13	7540.0	short	4	True	4.0	-135.0	-170.0
4	2000-07-14	7400.0	short	5	True	5.0	560.0	390.0
5	2000-07-17	7505.0	short	5			-525.0	-135.0
6	2000-07-18	7500.0	short	5			25.0	-110.0
7	2000-07-19	7520.0	short	5			-100.0	-210.0
8	2000-07-20	7450.0	short	5			350.0	140.0
9	2000-07-21	7440.0	short	5			50.0	190.0
10	2000-07-24	7560.0	short	5			-600.0	-410.0
11	2000-07-25	7545.0	short	5			75.0	-335.0
12	2000-07-26	7360.0	short	5			925.0	590.0
13	2000-07-27	7305.0	short	5			275.0	865.0
14	2000-07-28	7155.0	short	5			750.0	1615.0
15	2000-07-31	7295.0	short	5			-700.0	915.0
16	2000-08-01	7115.0	short	5			900.0	1815.0
17	2000-08-02	7115.0	short	5			-0.0	1815.0
18	2000-08-03	7000.0	short	5			575.0	2390.0
19	2000-08-04	6960.0	short	5			200.0	2590.0
20	2000-08-07	6955.0	short	5			25.0	2615.0
21	2000-08-08	6970.0	short	4	True	1.0	-75.0	2540.0
22	2000-08-09	6890.0	short	3	True	2.0	320.0	2860.0
23	2000-08-10	6950.0	short	2	True	3.0	-180.0	2680.0
24	2000-08-11	7005.0	short	1	True	4.0	-110.0	2570.0
25	2000-08-14	7115.0	short	0	True	5.0	-110.0	2460.0
26	2001-04-09	6330.0	long	1	True	1.0		
27	2001-04-10	6390.0	long	2	True	2.0	60.0	2520.0
28	2001-04-11	6340.0	long	3	True	3.0	-100.0	2420.0
29	2001-04-12	6440.0	long	4	True	4.0	300.0	2720.0
30	2001-04-13		long	4	True	5.0	0.0	2720.0
31	2001-04-16		long	5			0.0	2720.0
32	2001-04-17	6520.0	long	5			400.0	3120.0
33	2001-04-18	6430.0	long	5			-450.0	2670.0
34	2001-04-19	6447.0	long	5			85.0	2755.0
35	2001-04-20	6497.0	long	5			250.0	3005.0
36	2001-04-23	6415.0	long	5			-410.0	2595.0
37	2001-04-24	6345.0	long	5			-350.0	2245.0
38	2001-04-25	6565.0	long	5			1100.0	3345.0
39	2001-04-26	6528.0	long	5			-185.0	3160.0
40	2001-04-27	6560.0	long	5			160.0	3320.0
41	2001-04-30	6565.0	long	5			25.0	3345.0
42	2001-05-01	6595.0	long	5			150.0	3495.0
43	2001-05-02	6680.0	long	5			425.0	3920.0
44	2001-05-03	6775.0	long	5			475.0	4395.0
45	2001-05-04	6675.0	long	5			-500.0	3895.0
46	2001-05-07		long	5			0.0	3895.0
47	2001-05-08	6625.0	long	4	True	1.0	-250.0	3645.0
48	2001-05-09	6710.0	long	3	True	2.0	340.0	3985.0
49	2001-05-10	6880.0	long	2	True	3.0	510.0	4495.0
50	2001-05-11	7380.0	long	1	True	4.0	1000.0	5495.0
51	2001-05-14		long	1	True	5.0	0.0	5495.0
