	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2022-02-08	21893.0	short	1	True	1.0		
1	2022-02-09	22249.0	short	2	True	2.0	-356.0	-356.0
2	2022-02-10	22553.0	short	3	True	3.0	-608.0	-964.0
3	2022-02-11	22217.0	short	4	True	4.0	1008.0	44.0
4	2022-02-14	22304.0	short	5	True	5.0	-348.0	-304.0
5	2022-02-15	22433.0	short	5			-645.0	-949.0
6	2022-02-16	22521.0	short	5			-440.0	-1389.0
7	2022-02-17	22990.0	short	5			-2345.0	-3734.0
8	2022-02-18	23244.0	short	5			-1270.0	-5004.0
9	2022-02-21	23479.0	short	5			-1175.0	-6179.0
10	2022-02-22	23597.0	short	5			-590.0	-6769.0
11	2022-02-23	23554.0	short	5			215.0	-6554.0
12	2022-02-24	23834.0	short	5			-1400.0	-7954.0
13	2022-02-25	23507.0	short	5			1635.0	-6319.0
14	2022-02-28	23459.0	short	5			240.0	-6079.0
15	2022-03-01	24408.0	short	5			-4745.0	-10824.0
16	2022-03-02	25090.28	short	5			-3411.399999999994	-14235.399999999994
17	2022-03-03	25844.0	short	5			-3768.600000000006	-18004.0
18	2022-03-04	27659.0	short	5			-9075.0	-27079.0
19	2022-03-07	47128.0	short	5			-97345.0	-124424.0
20	2022-03-08		short	5	True	1.0	-0.0	-124424.0
21	2022-03-09		short	5	True	2.0	-0.0	-124424.0
22	2022-03-10		short	5	True	3.0	-0.0	-124424.0
23	2022-03-11		short	5	True	4.0	-0.0	-124424.0
24	2022-03-14		short	5	True	5.0	-0.0	-124424.0
25	2022-11-08	23931.5	long	1	True	1.0		
26	2022-11-09	24616.0	long	2	True	2.0	684.5	-123739.5
27	2022-11-10	25872.0	long	3	True	3.0	2512.0	-121227.5
28	2022-11-11	26858.0	long	4	True	4.0	2958.0	-118269.5
29	2022-11-14	28764.0	long	5	True	5.0	7624.0	-110645.5
30	2022-11-15	30176.0	long	5			7060.0	-103585.5
31	2022-11-16	27441.0	long	5			-13675.0	-117260.5
32	2022-11-17	24934.0	long	5			-12535.0	-129795.5
33	2022-11-18	25257.0	long	5			1615.0	-128180.5
34	2022-11-21	24832.0	long	5			-2125.0	-130305.5
35	2022-11-22	25898.0	long	5			5330.0	-124975.5
36	2022-11-23	26163.25	long	5			1326.25	-123649.25
37	2022-11-24	25976.0	long	5			-936.25	-124585.5
38	2022-11-25	25299.0	long	5			-3385.0	-127970.5
39	2022-11-28	25507.0	long	5			1040.0	-126930.5
40	2022-11-29	26739.0	long	5			6160.0	-120770.5
41	2022-11-30	26879.5	long	5			702.5	-120068.0
42	2022-12-01	27495.0	long	5			3077.5	-116990.5
43	2022-12-02	28753.0	long	5			6290.0	-110700.5
44	2022-12-05	28562.0	long	5			-955.0	-111655.5
45	2022-12-06	29147.0	long	5			2925.0	-108730.5
46	2022-12-07	31291.0	long	5			10720.0	-98010.5
47	2022-12-08	29553.0	long	4	True	1.0	-8690.0	-106700.5
48	2022-12-09	29222.0	long	3	True	2.0	-1324.0	-108024.5
49	2022-12-12	29231.0	long	2	True	3.0	27.0	-107997.5
50	2022-12-13	28007.0	long	1	True	4.0	-2448.0	-110445.5
51	2022-12-14	28143.0	long	0	True	5.0	136.0	-110309.5
