	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2008-07-08	8232.0	short	1	True	1.0		
1	2008-07-09	8244.0	short	2	True	2.0	-12.0	-12.0
2	2008-07-10	8269.0	short	3	True	3.0	-50.0	-62.0
3	2008-07-11	8309.0	short	4	True	4.0	-120.0	-182.0
4	2008-07-14	8324.0	short	5	True	5.0	-60.0	-242.0
5	2008-07-15	8195.0	short	5			645.0	403.0
6	2008-07-16	8142.0	short	5			265.0	668.0
7	2008-07-17	8229.0	short	5			-435.0	233.0
8	2008-07-18	8149.0	short	5			400.0	633.0
9	2008-07-21	8188.0	short	5			-195.0	438.0
10	2008-07-22	8198.0	short	5			-50.0	388.0
11	2008-07-23	8149.0	short	5			245.0	633.0
12	2008-07-24	7972.0	short	5			885.0	1518.0
13	2008-07-25	8032.0	short	5			-300.0	1218.0
14	2008-07-28	8076.0	short	5			-220.0	998.0
15	2008-07-29	8011.0	short	5			325.0	1323.0
16	2008-07-30	8112.0	short	5			-505.0	818.0
17	2008-07-31	8138.0	short	5			-130.0	688.0
18	2008-08-01	7979.0	short	5			795.0	1483.0
19	2008-08-04	7671.0	short	5			1540.0	3023.0
20	2008-08-05	7696.0	short	5			-125.0	2898.0
21	2008-08-06	7694.0	short	5			10.0	2908.0
22	2008-08-07	7745.0	short	5			-255.0	2653.0
23	2008-08-08	7468.0	long	1	True	1.0		
24	2008-08-08	7468.0	short	4	True	1.0	1385.0	4038.0
25	2008-08-11	7387.0	long	2	True	2.0	-81.0	3957.0
26	2008-08-11	7387.0	short	3	True	2.0	324.0	4281.0
27	2008-08-12	7177.0	long	3	True	3.0	-420.0	3861.0
28	2008-08-12	7177.0	short	2	True	3.0	630.0	4491.0
29	2008-08-13	7461.0	long	4	True	4.0	852.0	5343.0
30	2008-08-13	7461.0	short	1	True	4.0	-568.0	4775.0
31	2008-08-14	7418.0	long	5	True	5.0	-172.0	4603.0
32	2008-08-14	7418.0	short	0	True	5.0	43.0	4646.0
33	2008-08-15	7403.0	long	5			-75.0	4571.0
34	2008-08-18	7399.0	long	5			-20.0	4551.0
35	2008-08-19	7634.0	long	5			1175.0	5726.0
36	2008-08-20	7584.0	long	5			-250.0	5476.0
37	2008-08-21	7939.0	long	5			1775.0	7251.0
38	2008-08-22	7740.0	long	5			-995.0	6256.0
39	2008-08-25		long	5			0.0	6256.0
40	2008-08-26	7655.0	long	5			-425.0	5831.0
41	2008-08-27	7724.0	long	5			345.0	6176.0
42	2008-08-28	7592.0	long	5			-660.0	5516.0
43	2008-08-29	7556.0	long	5			-180.0	5336.0
44	2008-09-01	7337.0	long	5			-1095.0	4241.0
45	2008-09-02	7303.0	long	5			-170.0	4071.0
46	2008-09-03	7404.0	long	5			505.0	4576.0
47	2008-09-04	7272.0	long	5			-660.0	3916.0
48	2008-09-05	6935.0	long	5			-1685.0	2231.0
49	2008-09-08	6991.0	long	4	True	1.0	280.0	2511.0
50	2008-09-09	6856.0	long	3	True	2.0	-540.0	1971.0
51	2008-09-10	6870.0	long	2	True	3.0	42.0	2013.0
52	2008-09-11	6966.0	long	1	True	4.0	192.0	2205.0
53	2008-09-12	7170.0	long	0	True	5.0	204.0	2409.0
