	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2000-12-08	1908.0	short	1	True	1.0		
1	2000-12-11	1914.5	short	2	True	2.0	-6.5	-6.5
2	2000-12-12	1889.0	short	3	True	3.0	51.0	44.5
3	2000-12-13	1888.0	short	4	True	4.0	3.0	47.5
4	2000-12-14	1896.75	short	5	True	5.0	-35.0	12.5
5	2000-12-15	1892.0	short	5			23.75	36.25
6	2000-12-18	1863.75	short	5			141.25	177.5
7	2000-12-19	1864.0	short	5			-1.25	176.25
8	2000-12-20	1845.25	short	5			93.75	270.0
9	2000-12-21	1836.5	short	5			43.75	313.75
10	2000-12-22	1838.5	short	5			-10.0	303.75
11	2000-12-25		short	5			-0.0	303.75
12	2000-12-26		short	5			-0.0	303.75
13	2000-12-27	1836.0	short	5			12.5	316.25
14	2000-12-28	1839.0	short	5			-15.0	301.25
15	2000-12-29	1827.5	short	5			57.5	358.75
16	2001-01-01		short	5			-0.0	358.75
17	2001-01-02	1782.5	short	5			225.0	583.75
18	2001-01-03	1756.0	short	5			132.5	716.25
19	2001-01-04	1782.0	short	5			-130.0	586.25
20	2001-01-05	1765.5	short	5			82.5	668.75
21	2001-01-08	1792.5	short	4	True	1.0	-135.0	533.75
22	2001-01-09	1806.0	short	3	True	2.0	-54.0	479.75
23	2001-01-10	1804.0	short	2	True	3.0	6.0	485.75
24	2001-01-11	1804.0	short	1	True	4.0	-0.0	485.75
25	2001-01-12	1815.25	short	0	True	5.0	-11.25	474.5
26	2001-10-08	1404.25	long	1	True	1.0		
27	2001-10-09	1397.5	long	2	True	2.0	-6.75	467.75
28	2001-10-10	1391.0	long	3	True	3.0	-13.0	454.75
29	2001-10-11	1395.5	long	4	True	4.0	13.5	468.25
30	2001-10-12	1401.0	long	5	True	5.0	22.0	490.25
31	2001-10-15	1393.75	long	5			-36.25	454.0
32	2001-10-16	1404.75	long	5			55.0	509.0
33	2001-10-17	1404.5	long	5			-1.25	507.75
34	2001-10-18	1380.75	long	5			-118.75	389.0
35	2001-10-19	1360.5	long	5			-101.25	287.75
36	2001-10-22	1354.75	long	5			-28.75	259.0
37	2001-10-23	1379.25	long	5			122.5	381.5
38	2001-10-24	1359.5	long	5			-98.75	282.75
39	2001-10-25	1364.25	long	5			23.75	306.5
40	2001-10-26	1381.75	long	5			87.5	394.0
41	2001-10-29	1361.25	long	5			-102.5	291.5
42	2001-10-30	1376.0	long	5			73.75	365.25
43	2001-10-31	1356.85	long	5			-95.75000000000045	269.49999999999955
44	2001-11-01	1346.25	long	5			-52.999999999999545	216.5
45	2001-11-02	1337.5	long	5			-43.75	172.75
46	2001-11-05	1342.1	long	5			22.999999999999545	195.74999999999955
47	2001-11-06	1344.5	long	5			12.000000000000455	207.75
48	2001-11-07	1321.75	long	5			-113.75	94.0
49	2001-11-08	1342.75	long	4	True	1.0	105.0	199.0
50	2001-11-09	1393.25	long	3	True	2.0	202.0	401.0
51	2001-11-12	1411.25	long	2	True	3.0	54.0	455.0
52	2001-11-13	1466.0	long	1	True	4.0	109.5	564.5
53	2001-11-14	1460.5	long	0	True	5.0	-5.5	559.0
