	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2000-01-10	1909.0	short	1	True	1.0		
1	2000-01-11	1912.5	short	2	True	2.0	-3.5	-3.5
2	2000-01-12	1936.0	short	3	True	3.0	-47.0	-50.5
3	2000-01-13	1936.0	short	4	True	4.0	-0.0	-50.5
4	2000-01-14	1940.0	short	5	True	5.0	-16.0	-66.5
5	2000-01-17	1948.0	short	5			-40.0	-106.5
6	2000-01-18	1953.0	short	5			-25.0	-131.5
7	2000-01-19	1979.0	short	5			-130.0	-261.5
8	2000-01-20	1967.5	short	5			57.5	-204.0
9	2000-01-21	1963.0	short	5			22.5	-181.5
10	2000-01-24	1938.5	short	5			122.5	-59.0
11	2000-01-25	1930.0	short	5			42.5	-16.5
12	2000-01-26	1903.5	short	5			132.5	116.0
13	2000-01-27	1914.0	short	5			-52.5	63.5
14	2000-01-28	1910.0	short	5			20.0	83.5
15	2000-01-31	1919.0	short	5			-45.0	38.5
16	2000-02-01	1906.0	short	5			65.0	103.5
17	2000-02-02	1879.0	short	5			135.0	238.5
18	2000-02-03	1869.5	short	5			47.5	286.0
19	2000-02-04	1871.5	short	5			-10.0	276.0
20	2000-02-07	1875.25	short	5			-18.75	257.25
21	2000-02-08	1867.0	short	4	True	1.0	41.25	298.5
22	2000-02-09	1869.25	short	3	True	2.0	-9.0	289.5
23	2000-02-10	1930.0	short	2	True	3.0	-182.25	107.25
24	2000-02-11	1924.0	short	1	True	4.0	12.0	119.25
25	2000-02-14	1915.25	short	0	True	5.0	8.75	128.0
26	2000-11-08	1811.25	long	1	True	1.0		
27	2000-11-09	1830.0	long	2	True	2.0	18.75	146.75
28	2000-11-10	1807.5	long	3	True	3.0	-45.0	101.75
29	2000-11-13	1780.0	long	4	True	4.0	-82.5	19.25
30	2000-11-14	1797.0	long	5	True	5.0	68.0	87.25
31	2000-11-15	1797.5	long	5			2.5	89.75
32	2000-11-16	1784.0	long	5			-67.5	22.25
33	2000-11-17	1790.25	long	5			31.25	53.5
34	2000-11-20	1780.75	long	5			-47.5	6.0
35	2000-11-21	1790.0	long	5			46.25	52.25
36	2000-11-22	1777.5	long	5			-62.5	-10.25
37	2000-11-23	1775.5	long	5			-10.0	-20.25
38	2000-11-24	1796.75	long	5			106.25	86.0
39	2000-11-27	1822.25	long	5			127.5	213.5
40	2000-11-28	1837.5	long	5			76.25	289.75
41	2000-11-29	1837.25	long	5			-1.25	288.5
42	2000-11-30	1826.0	long	5			-56.25	232.25
43	2000-12-01	1833.75	long	5			38.75	271.0
44	2000-12-04	1842.0	long	5			41.25	312.25
45	2000-12-05	1859.0	long	5			85.0	397.25
46	2000-12-06	1861.75	long	5			13.75	411.0
47	2000-12-07	1875.0	long	5			66.25	477.25
48	2000-12-08	1902.0	long	4	True	1.0	135.0	612.25
49	2000-12-11	1912.75	long	3	True	2.0	43.0	655.25
50	2000-12-12	1883.5	long	2	True	3.0	-87.75	567.5
51	2000-12-13	1881.5	long	1	True	4.0	-4.0	563.5
52	2000-12-14	1889.5	long	0	True	5.0	8.0	571.5
