	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2017-03-08	5767.75	short	1	True	1.0		
1	2017-03-09	5692.0	short	2	True	2.0	75.75	75.75
2	2017-03-10	5733.75	short	3	True	3.0	-83.5	-7.75
3	2017-03-13	5797.5	short	4	True	4.0	-191.25	-199.0
4	2017-03-14	5821.25	short	5	True	5.0	-95.0	-294.0
5	2017-03-15	5865.0	short	5			-218.75	-512.75
6	2017-03-16	5910.0	short	5			-225.0	-737.75
7	2017-03-17	5935.75	short	5			-128.75	-866.5
8	2017-03-20	5880.0	short	5			278.75	-587.75
9	2017-03-21	5776.0	short	5			520.0	-67.75
10	2017-03-22	5809.25	short	5			-166.25	-234.0
11	2017-03-23	5826.5	short	5			-86.25	-320.25
12	2017-03-24	5805.5	short	5			105.0	-215.25
13	2017-03-27	5761.5	short	5			220.0	4.75
14	2017-03-28	5875.25	short	5			-568.75	-564.0
15	2017-03-29	5909.5	short	5			-171.25	-735.25
16	2017-03-30	5958.75	short	5			-246.25	-981.5
17	2017-03-31	5839.25	short	5			597.5	-384.0
18	2017-04-03	5754.0	short	5			426.25	42.25
19	2017-04-04	5779.5	short	5			-127.5	-85.25
20	2017-04-05	5894.75	short	5			-576.25	-661.5
21	2017-04-06	5856.5	short	5			191.25	-470.25
22	2017-04-07	5831.5	short	5			125.0	-345.25
23	2017-04-10	5742.0	short	4	True	1.0	447.5	102.25
24	2017-04-11	5762.25	short	3	True	2.0	-81.0	21.25
25	2017-04-12	5624.0	short	2	True	3.0	414.75	436.0
26	2017-04-13	5687.25	short	1	True	4.0	-126.5	309.5
27	2017-04-14		short	1	True	5.0	-0.0	309.5
28	2017-05-08	5475.25	long	1	True	1.0		
29	2017-05-09	5499.0	long	2	True	2.0	23.75	333.25
30	2017-05-10	5487.75	long	3	True	3.0	-22.5	310.75
31	2017-05-11	5530.75	long	4	True	4.0	129.0	439.75
32	2017-05-12	5547.25	long	5	True	5.0	66.0	505.75
33	2017-05-15	5599.25	long	5			260.0	765.75
34	2017-05-16	5598.25	long	5			-5.0	760.75
35	2017-05-17	5600.5	long	5			11.25	772.0
36	2017-05-18	5572.0	long	5			-142.5	629.5
37	2017-05-19	5676.0	long	5			520.0	1149.5
38	2017-05-22	5698.0	long	5			110.0	1259.5
39	2017-05-23	5705.5	long	5			37.5	1297.0
40	2017-05-24	5673.0	long	5			-162.5	1134.5
41	2017-05-25	5715.0	long	5			210.0	1344.5
42	2017-05-26	5646.0	long	5			-345.0	999.5
43	2017-05-29		long	5			0.0	999.5
44	2017-05-30	5640.25	long	5			-28.75	970.75
45	2017-05-31	5665.75	long	5			127.5	1098.25
46	2017-06-01	5683.0	long	5			86.25	1184.5
47	2017-06-02	5648.0	long	5			-175.0	1009.5
48	2017-06-05	5606.75	long	5			-206.25	803.25
49	2017-06-06	5594.25	long	5			-62.5	740.75
50	2017-06-07	5599.25	long	5			25.0	765.75
51	2017-06-08	5709.25	long	4	True	1.0	550.0	1315.75
52	2017-06-09	5784.0	long	3	True	2.0	299.0	1614.75
53	2017-06-12	5748.25	long	2	True	3.0	-107.25	1507.5
54	2017-06-13	5690.0	long	1	True	4.0	-116.5	1391.0
55	2017-06-14	5672.25	long	0	True	5.0	-17.75	1373.25
