,Due,Future,Month,Pair
0,2000-01-18,LPF00,F,LPJ00
1,2000-02-15,LPG00,G,LPK00
2,2000-03-14,LPH00,H,LPM00
3,2000-04-18,LPJ00,J,LPN00
4,2000-05-16,LPK00,K,LPQ00
5,2000-06-20,LPM00,M,LPU00
6,2000-07-18,LPN00,N,LPV00
7,2000-08-15,LPQ00,Q,LPX00
8,2000-09-19,LPU00,U,LPZ00
9,2000-10-16,LPV00,V,LPF01
10,2000-11-14,LPX00,X,LPG01
11,2000-12-19,LPZ00,Z,LPH01
12,2001-01-16,LPF01,F,LPJ01
13,2001-02-19,LPG01,G,LPK01
14,2001-03-16,LPH01,H,LPM01
15,2001-04-11,LPJ01,J,LPN01
16,2001-05-11,LPK01,K,LPQ01
17,2001-06-15,LPM01,M,LPU01
18,2001-07-13,LPN01,N,LPV01
19,2001-08-10,LPQ01,Q,LPX01
20,2001-09-14,LPU01,U,LPZ01
21,2001-10-12,LPV01,V,LPF02
22,2001-11-16,LPX01,X,LPG02
23,2001-12-14,LPZ01,Z,LPH02
24,2002-01-11,LPF02,F,LPJ02
25,2002-02-15,LPG02,G,LPK02
26,2002-03-15,LPH02,H,LPM02
27,2002-04-12,LPJ02,J,LPN02
28,2002-05-10,LPK02,K,LPQ02
29,2002-06-14,LPM02,M,LPU02
30,2002-07-12,LPN02,N,LPV02
31,2002-08-16,LPQ02,Q,LPX02
32,2002-09-13,LPU02,U,LPZ02
33,2002-10-11,LPV02,V,LPF03
34,2002-11-15,LPX02,X,LPG03
35,2002-12-13,LPZ02,Z,LPH03
36,2003-01-15,LPF03,F,LPJ03
37,2003-02-14,LPG03,G,LPK03
38,2003-03-14,LPH03,H,LPM03
39,2003-04-11,LPJ03,J,LPN03
40,2003-05-16,LPK03,K,LPQ03
41,2003-06-13,LPM03,M,LPU03
42,2003-07-11,LPN03,N,LPV03
43,2003-08-15,LPQ03,Q,LPX03
44,2003-09-12,LPU03,U,LPZ03
45,2003-10-10,LPV03,V,LPF04
46,2003-11-14,LPX03,X,LPG04
47,2003-12-12,LPZ03,Z,LPH04
48,2004-01-16,LPF04,F,LPJ04
49,2004-02-13,LPG04,G,LPK04
50,2004-03-12,LPH04,H,LPM04
51,2004-04-16,LPJ04,J,LPN04
52,2004-05-14,LPK04,K,LPQ04
53,2004-06-11,LPM04,M,LPU04
54,2004-07-16,LPN04,N,LPV04
55,2004-08-13,LPQ04,Q,LPX04
56,2004-09-10,LPU04,U,LPZ04
57,2004-10-15,LPV04,V,LPF05
58,2004-11-12,LPX04,X,LPG05
59,2004-12-10,LPZ04,Z,LPH05
60,2005-01-14,LPF05,F,LPJ05
61,2005-02-11,LPG05,G,LPK05
62,2005-03-11,LPH05,H,LPM05
63,2005-04-15,LPJ05,J,LPN05
64,2005-05-13,LPK05,K,LPQ05
65,2005-06-10,LPM05,M,LPU05
66,2005-07-15,LPN05,N,LPV05
67,2005-08-12,LPQ05,Q,LPX05
68,2005-09-16,LPU05,U,LPZ05
69,2005-10-14,LPV05,V,LPF06
70,2005-11-11,LPX05,X,LPG06
71,2005-12-16,LPZ05,Z,LPH06
72,2006-01-16,LPF06,F,LPJ06
73,2006-02-13,LPG06,G,LPK06
74,2006-03-13,LPH06,H,LPM06
75,2006-04-13,LPJ06,J,LPN06
76,2006-05-15,LPK06,K,LPQ06
77,2006-06-19,LPM06,M,LPU06
78,2006-07-17,LPN06,N,LPV06
79,2006-08-14,LPQ06,Q,LPX06
80,2006-09-18,LPU06,U,LPZ06
81,2006-10-16,LPV06,V,LPF07
82,2006-11-13,LPX06,X,LPG07
83,2006-12-18,LPZ06,Z,LPH07
84,2007-01-15,LPF07,F,LPJ07
85,2007-02-19,LPG07,G,LPK07
86,2007-03-19,LPH07,H,LPM07
87,2007-04-16,LPJ07,J,LPN07
88,2007-05-14,LPK07,K,LPQ07
89,2007-06-18,LPM07,M,LPU07
90,2007-07-16,LPN07,N,LPV07
91,2007-08-13,LPQ07,Q,LPX07
92,2007-09-17,LPU07,U,LPZ07
93,2007-10-15,LPV07,V,LPF08
94,2007-11-19,LPX07,X,LPG08
95,2007-12-17,LPZ07,Z,LPH08
