	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2012-11-08	7634.5	short	1	True	1.0		
1	2012-11-09	7574.25	short	2	True	2.0	60.25	60.25
2	2012-11-12	7642.25	short	3	True	3.0	-136.0	-75.75
3	2012-11-13	7684.0	short	4	True	4.0	-125.25	-201.0
4	2012-11-14	7644.0	short	5	True	5.0	160.0	-41.0
5	2012-11-15	7643.0	short	5			5.0	-36.0
6	2012-11-16	7609.0	short	5			170.0	134.0
7	2012-11-19	7808.25	short	5			-996.25	-862.25
8	2012-11-20	7786.75	short	5			107.5	-754.75
9	2012-11-21	7698.0	short	5			443.75	-311.0
10	2012-11-22	7720.75	short	5			-113.75	-424.75
11	2012-11-23	7783.0	short	5			-311.25	-736.0
12	2012-11-26	7786.0	short	5			-15.0	-751.0
13	2012-11-27	7813.0	short	5			-135.0	-886.0
14	2012-11-28	7775.0	short	5			190.0	-696.0
15	2012-11-29	7906.75	short	5			-658.75	-1354.75
16	2012-11-30	8002.75	short	5			-480.0	-1834.75
17	2012-12-03	8013.5	short	5			-53.75	-1888.5
18	2012-12-04	8042.25	short	5			-143.75	-2032.25
19	2012-12-05	8085.0	short	5			-213.75	-2246.0
20	2012-12-06	8009.75	short	5			376.25	-1869.75
21	2012-12-07	8044.75	short	5			-175.0	-2044.75
22	2012-12-10	8143.75	short	4	True	1.0	-495.0	-2539.75
23	2012-12-11	8109.0	short	3	True	2.0	139.0	-2400.75
24	2012-12-12	8138.75	short	2	True	3.0	-89.25	-2490.0
25	2012-12-13	8082.0	short	1	True	4.0	113.5	-2376.5
26	2012-12-14	8073.75	short	0	True	5.0	8.25	-2368.25
27	2013-03-08	7724.5	long	1	True	1.0		
28	2013-03-11	7739.5	long	2	True	2.0	15.0	-2353.25
29	2013-03-12	7811.0	long	3	True	3.0	143.0	-2210.25
30	2013-03-13	7768.5	long	4	True	4.0	-127.5	-2337.75
31	2013-03-14	7782.25	long	5	True	5.0	55.0	-2282.75
32	2013-03-15	7734.0	long	5			-241.25	-2524.0
33	2013-03-18	7555.0	long	5			-895.0	-3419.0
34	2013-03-19	7508.75	long	5			-231.25	-3650.25
35	2013-03-20	7600.0	long	5			456.25	-3194.0
36	2013-03-21	7562.25	long	5			-188.75	-3382.75
37	2013-03-22	7635.5	long	5			366.25	-3016.5
38	2013-03-25	7599.25	long	5			-181.25	-3197.75
39	2013-03-26	7604.5	long	5			26.25	-3171.5
40	2013-03-27	7585.0	long	5			-97.5	-3269.0
41	2013-03-28	7518.25	long	5			-333.75	-3602.75
42	2013-03-29		long	5			0.0	-3602.75
43	2013-04-01		long	5			0.0	-3602.75
44	2013-04-02	7443.75	long	5			-372.5	-3975.25
45	2013-04-03	7365.5	long	5			-391.25	-4366.5
46	2013-04-04	7417.5	long	5			260.0	-4106.5
47	2013-04-05	7382.0	long	5			-177.5	-4284.0
48	2013-04-08	7424.5	long	4	True	1.0	212.5	-4071.5
49	2013-04-09	7605.0	long	3	True	2.0	722.0	-3349.5
50	2013-04-10	7548.0	long	2	True	3.0	-171.0	-3520.5
51	2013-04-11	7580.25	long	1	True	4.0	64.5	-3456.0
52	2013-04-12	7375.5	long	0	True	5.0	-204.75	-3660.75
