	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2006-02-08	4896.0	short	1	True	1.0		
1	2006-02-09	4941.0	short	2	True	2.0	-45.0	-45.0
2	2006-02-10	4763.0	short	3	True	3.0	356.0	311.0
3	2006-02-13	4800.0	short	4	True	4.0	-111.0	200.0
4	2006-02-14	4873.0	short	5	True	5.0	-292.0	-92.0
5	2006-02-15	4716.0	short	5			785.0	693.0
6	2006-02-16	4725.0	short	5			-45.0	648.0
7	2006-02-17	4736.0	short	5			-55.0	593.0
8	2006-02-20	4830.0	short	5			-470.0	123.0
9	2006-02-21	4863.0	short	5			-165.0	-42.0
10	2006-02-22	4885.0	short	5			-110.0	-152.0
11	2006-02-23	4814.0	short	5			355.0	203.0
12	2006-02-24	4786.0	short	5			140.0	343.0
13	2006-02-27	4603.0	short	5			915.0	1258.0
14	2006-02-28	4742.0	short	5			-695.0	563.0
15	2006-03-01	4800.0	short	5			-290.0	273.0
16	2006-03-02	4911.0	short	5			-555.0	-282.0
17	2006-03-03	4905.0	short	5			30.0	-252.0
18	2006-03-06	4822.0	short	5			415.0	163.0
19	2006-03-07	4713.0	short	5			545.0	708.0
20	2006-03-08	4678.0	short	4	True	1.0	175.0	883.0
21	2006-03-09	4765.0	short	3	True	2.0	-348.0	535.0
22	2006-03-10	4780.5	short	2	True	3.0	-46.5	488.5
23	2006-03-13	4836.0	short	1	True	4.0	-111.0	377.5
24	2006-03-14	4879.0	short	0	True	5.0	-43.0	334.5
25	2006-06-08	7382.0	long	1	True	1.0		
26	2006-06-09	7288.0	long	2	True	2.0	-94.0	240.5
27	2006-06-12	7113.0	long	3	True	3.0	-350.0	-109.5
28	2006-06-13	6647.5	long	4	True	4.0	-1396.5	-1506.0
29	2006-06-14	6728.0	long	5	True	5.0	322.0	-1184.0
30	2006-06-15	7097.0	long	5			1845.0	661.0
31	2006-06-16	7071.0	long	5			-130.0	531.0
32	2006-06-19	6868.0	long	5			-1015.0	-484.0
33	2006-06-20	6827.5	long	5			-202.5	-686.5
34	2006-06-21	6888.0	long	5			302.5	-384.0
35	2006-06-22	6812.0	long	5			-380.0	-764.0
36	2006-06-23	6885.0	long	5			365.0	-399.0
37	2006-06-26	7110.0	long	5			1125.0	726.0
38	2006-06-27	6855.0	long	5			-1275.0	-549.0
39	2006-06-28	7010.0	long	5			775.0	226.0
40	2006-06-29	7413.0	long	5			2015.0	2241.0
41	2006-06-30	7425.0	long	5			60.0	2301.0
42	2006-07-03	7381.0	long	5			-220.0	2081.0
43	2006-07-04	7518.0	long	5			685.0	2766.0
44	2006-07-05	7477.0	long	5			-205.0	2561.0
45	2006-07-06	7954.0	long	5			2385.0	4946.0
46	2006-07-07	7840.0	long	5			-570.0	4376.0
47	2006-07-10	7851.0	long	4	True	1.0	55.0	4431.0
48	2006-07-11	8022.0	long	3	True	2.0	684.0	5115.0
49	2006-07-12	8159.0	long	2	True	3.0	411.0	5526.0
50	2006-07-13	8035.0	long	1	True	4.0	-248.0	5278.0
51	2006-07-14	8196.0	long	0	True	5.0	161.0	5439.0
