	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2017-05-08	5524.0	short	1	True	1.0		
1	2017-05-09	5549.5	short	2	True	2.0	-25.5	-25.5
2	2017-05-10	5535.5	short	3	True	3.0	28.0	2.5
3	2017-05-11	5575.5	short	4	True	4.0	-120.0	-117.5
4	2017-05-12	5592.25	short	5	True	5.0	-67.0	-184.5
5	2017-05-15	5642.5	short	5			-251.25	-435.75
6	2017-05-16	5641.25	short	5			6.25	-429.5
7	2017-05-17	5642.0	short	5			-3.75	-433.25
8	2017-05-18	5612.5	short	5			147.5	-285.75
9	2017-05-19	5713.0	short	5			-502.5	-788.25
10	2017-05-22	5732.0	short	5			-95.0	-883.25
11	2017-05-23	5745.5	short	5			-67.5	-950.75
12	2017-05-24	5714.0	short	5			157.5	-793.25
13	2017-05-25	5756.5	short	5			-212.5	-1005.75
14	2017-05-26	5691.5	short	5			325.0	-680.75
15	2017-05-29		short	5			-0.0	-680.75
16	2017-05-30	5689.25	short	5			11.25	-669.5
17	2017-05-31	5713.5	short	5			-121.25	-790.75
18	2017-06-01	5727.5	short	5			-70.0	-860.75
19	2017-06-02	5693.0	short	5			172.5	-688.25
20	2017-06-05	5654.75	short	5			191.25	-497.0
21	2017-06-06	5642.75	short	5			60.0	-437.0
22	2017-06-07	5648.0	short	5			-26.25	-463.25
23	2017-06-08	5755.75	short	4	True	1.0	-538.75	-1002.0
24	2017-06-09	5829.75	short	3	True	2.0	-296.0	-1298.0
25	2017-06-12	5798.75	short	2	True	3.0	93.0	-1205.0
26	2017-06-13	5746.5	short	1	True	4.0	104.5	-1100.5
27	2017-06-14	5728.25	short	0	True	5.0	18.25	-1082.25
28	2017-12-08	6552.75	long	1	True	1.0		
29	2017-12-11	6650.5	long	2	True	2.0	97.75	-984.5
30	2017-12-12	6643.0	long	3	True	3.0	-15.0	-999.5
31	2017-12-13	6707.75	long	4	True	4.0	194.25	-805.25
32	2017-12-14	6772.5	long	5	True	5.0	259.0	-546.25
33	2017-12-15	6865.0	long	5			462.5	-83.75
34	2017-12-18	6883.25	long	5			91.25	7.5
35	2017-12-19	6919.75	long	5			182.5	190.0
36	2017-12-20	7016.75	long	5			485.0	675.0
37	2017-12-21	7058.5	long	5			208.75	883.75
38	2017-12-22	7100.5	long	5			210.0	1093.75
39	2017-12-25		long	5			0.0	1093.75
40	2017-12-26		long	5			0.0	1093.75
41	2017-12-27	7217.75	long	5			586.25	1680.0
42	2017-12-28	7264.75	long	5			235.0	1915.0
43	2017-12-29	7219.0	long	5			-228.75	1686.25
44	2018-01-01		long	5			0.0	1686.25
45	2018-01-02	7173.25	long	5			-228.75	1457.5
46	2018-01-03	7112.5	long	5			-303.75	1153.75
47	2018-01-04	7154.25	long	5			208.75	1362.5
48	2018-01-05	7087.0	long	5			-336.25	1026.25
49	2018-01-08	7087.0	long	4	True	1.0	0.0	1026.25
50	2018-01-09	7065.0	long	3	True	2.0	-88.0	938.25
51	2018-01-10	7116.75	long	2	True	3.0	155.25	1093.5
52	2018-01-11	7103.5	long	1	True	4.0	-26.5	1067.0
53	2018-01-12	7074.75	long	0	True	5.0	-28.75	1038.25
