	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2003-06-09	1712.0	short	1	True	1.0		
1	2003-06-10	1703.5	short	2	True	2.0	8.5	8.5
2	2003-06-11	1705.0	short	3	True	3.0	-3.0	5.5
3	2003-06-12	1713.25	short	4	True	4.0	-24.75	-19.25
4	2003-06-13	1696.5	short	5	True	5.0	67.0	47.75
5	2003-06-16	1693.25	short	5			16.25	64.0
6	2003-06-17	1725.25	short	5			-160.0	-96.0
7	2003-06-18	1732.25	short	5			-35.0	-131.0
8	2003-06-19	1731.75	short	5			2.5	-128.5
9	2003-06-20	1718.5	short	5			66.25	-62.25
10	2003-06-23	1703.75	short	5			73.75	11.5
11	2003-06-24	1702.5	short	5			6.25	17.75
12	2003-06-25	1689.0	short	5			67.5	85.25
13	2003-06-26	1678.0	short	5			55.0	140.25
14	2003-06-27	1689.0	short	5			-55.0	85.25
15	2003-06-30	1666.5	short	5			112.5	197.75
16	2003-07-01	1653.75	short	5			63.75	261.5
17	2003-07-02	1675.0	short	5			-106.25	155.25
18	2003-07-03	1656.75	short	5			91.25	246.5
19	2003-07-04	1664.75	short	5			-40.0	206.5
20	2003-07-07	1689.5	short	5			-123.75	82.75
21	2003-07-08	1698.5	short	4	True	1.0	-45.0	37.75
22	2003-07-09	1706.0	short	3	True	2.0	-30.0	7.75
23	2003-07-10	1717.0	short	2	True	3.0	-33.0	-25.25
24	2003-07-11	1717.75	short	1	True	4.0	-1.5	-26.75
25	2003-07-14	1749.75	short	0	True	5.0	-32.0	-58.75
26	2004-01-08	2407.25	long	1	True	1.0		
27	2004-01-09	2420.25	long	2	True	2.0	13.0	-45.75
28	2004-01-12	2375.25	long	3	True	3.0	-90.0	-135.75
29	2004-01-13	2375.5	long	4	True	4.0	0.75	-135.0
30	2004-01-14	2401.75	long	5	True	5.0	105.0	-30.0
31	2004-01-15	2364.0	long	5			-188.75	-218.75
32	2004-01-16	2393.0	long	5			145.0	-73.75
33	2004-01-19	2426.5	long	5			167.5	93.75
34	2004-01-20	2455.0	long	5			142.5	236.25
35	2004-01-21	2453.5	long	5			-7.5	228.75
36	2004-01-22	2464.5	long	5			55.0	283.75
37	2004-01-23	2468.25	long	5			18.75	302.5
38	2004-01-26	2455.0	long	5			-66.25	236.25
39	2004-01-27	2447.75	long	5			-36.25	200.0
40	2004-01-28	2476.5	long	5			143.75	343.75
41	2004-01-29	2469.5	long	5			-35.0	308.75
42	2004-01-30	2516.0	long	5			232.5	541.25
43	2004-02-02	2515.0	long	5			-5.0	536.25
44	2004-02-03	2566.0	long	5			255.0	791.25
45	2004-02-04	2575.25	long	5			46.25	837.5
46	2004-02-05	2571.0	long	5			-21.25	816.25
47	2004-02-06	2590.0	long	5			95.0	911.25
48	2004-02-09	2594.5	long	4	True	1.0	22.5	933.75
49	2004-02-10	2585.5	long	3	True	2.0	-36.0	897.75
50	2004-02-11	2641.0	long	2	True	3.0	166.5	1064.25
51	2004-02-12	2733.5	long	1	True	4.0	185.0	1249.25
52	2004-02-13	2716.0	long	0	True	5.0	-17.5	1231.75
