	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2009-12-08	7013.75	short	1	True	1.0		
1	2009-12-09	6982.5	short	2	True	2.0	31.25	31.25
2	2009-12-10	6849.0	short	3	True	3.0	267.0	298.25
3	2009-12-11	6873.25	short	4	True	4.0	-72.75	225.5
4	2009-12-14	6950.0	short	5	True	5.0	-307.0	-81.5
5	2009-12-15	6932.5	short	5			87.5	6.0
6	2009-12-16	7077.0	short	5			-722.5	-716.5
7	2009-12-17	6909.0	short	5			840.0	123.5
8	2009-12-18	6884.0	short	5			125.0	248.5
9	2009-12-21	6971.0	short	5			-435.0	-186.5
10	2009-12-22	6916.0	short	5			275.0	88.5
11	2009-12-23	7032.0	short	5			-580.0	-491.5
12	2009-12-24	7101.0	short	5			-345.0	-836.5
13	2009-12-25		short	5			-0.0	-836.5
14	2009-12-28		short	5			-0.0	-836.5
15	2009-12-29	7305.0	short	5			-1020.0	-1856.5
16	2009-12-30	7361.5	short	5			-282.5	-2139.0
17	2009-12-31	7405.5	short	5			-220.0	-2359.0
18	2010-01-01		short	5			-0.0	-2359.0
19	2010-01-04	7527.5	short	5			-610.0	-2969.0
20	2010-01-05	7512.0	short	5			77.5	-2891.5
21	2010-01-06	7681.0	short	5			-845.0	-3736.5
22	2010-01-07	7555.0	short	5			630.0	-3106.5
23	2010-01-08	7482.5	short	4	True	1.0	362.5	-2744.0
24	2010-01-11	7586.0	short	3	True	2.0	-414.0	-3158.0
25	2010-01-12	7470.5	short	2	True	3.0	346.5	-2811.5
26	2010-01-13	7501.0	short	1	True	4.0	-61.0	-2872.5
27	2010-01-14	7503.5	short	0	True	5.0	-2.5	-2875.0
28	2010-07-08	6601.5	long	1	True	1.0		
29	2010-07-09	6748.25	long	2	True	2.0	146.75	-2728.25
30	2010-07-12	6615.75	long	3	True	3.0	-265.0	-2993.25
31	2010-07-13	6671.5	long	4	True	4.0	167.25	-2826.0
32	2010-07-14	6712.0	long	5	True	5.0	162.0	-2664.0
33	2010-07-15	6667.5	long	5			-222.5	-2886.5
34	2010-07-16	6473.75	long	5			-968.75	-3855.25
35	2010-07-19	6499.25	long	5			127.5	-3727.75
36	2010-07-20	6630.75	long	5			657.5	-3070.25
37	2010-07-21	6853.0	long	5			1111.25	-1959.0
38	2010-07-22	7002.75	long	5			748.75	-1210.25
39	2010-07-23	7018.25	long	5			77.5	-1132.75
40	2010-07-26	7136.5	long	5			591.25	-541.5
41	2010-07-27	7044.5	long	5			-460.0	-1001.5
42	2010-07-28	7156.25	long	5			558.75	-442.75
43	2010-07-29	7216.5	long	5			301.25	-141.5
44	2010-07-30	7281.75	long	5			326.25	184.75
45	2010-08-02	7493.0	long	5			1056.25	1241.0
46	2010-08-03	7405.75	long	5			-436.25	804.75
47	2010-08-04	7484.0	long	5			391.25	1196.0
48	2010-08-05	7375.75	long	5			-541.25	654.75
49	2010-08-06	7348.75	long	5			-135.0	519.75
50	2010-08-09	7402.5	long	4	True	1.0	268.75	788.5
51	2010-08-10	7276.5	long	3	True	2.0	-504.0	284.5
52	2010-08-11	7175.25	long	2	True	3.0	-303.75	-19.25
53	2010-08-12	7231.25	long	1	True	4.0	112.0	92.75
54	2010-08-13	7132.75	long	0	True	5.0	-98.5	-5.75
