	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2019-06-10	5892.25	short	1	True	1.0		
1	2019-06-11	5897.0	short	2	True	2.0	-4.75	-4.75
2	2019-06-12	5876.0	short	3	True	3.0	42.0	37.25
3	2019-06-13	5879.0	short	4	True	4.0	-9.0	28.25
4	2019-06-14	5836.5	short	5	True	5.0	170.0	198.25
5	2019-06-17	5858.75	short	5			-111.25	87.0
6	2019-06-18	5959.0	short	5			-501.25	-414.25
7	2019-06-19	5935.0	short	5			120.0	-294.25
8	2019-06-20	5991.0	short	5			-280.0	-574.25
9	2019-06-21	5991.25	short	5			-1.25	-575.5
10	2019-06-24	5983.0	short	5			41.25	-534.25
11	2019-06-25	6064.5	short	5			-407.5	-941.75
12	2019-06-26	6011.0	short	5			267.5	-674.25
13	2019-06-27	6010.5	short	5			2.5	-671.75
14	2019-06-28	6010.0	short	5			2.5	-669.25
15	2019-07-01	5979.5	short	5			152.5	-516.75
16	2019-07-02	5913.75	short	5			328.75	-188.0
17	2019-07-03	5940.5	short	5			-133.75	-321.75
18	2019-07-04	5944.5	short	5			-20.0	-341.75
19	2019-07-05	5927.0	short	5			87.5	-254.25
20	2019-07-08	5918.5	short	4	True	1.0	42.5	-211.75
21	2019-07-09	5848.5	short	3	True	2.0	280.0	68.25
22	2019-07-10	5962.0	short	2	True	3.0	-340.5	-272.25
23	2019-07-11	5978.0	short	1	True	4.0	-32.0	-304.25
24	2019-07-12	5955.5	short	0	True	5.0	22.5	-281.75
25	2020-02-10	5661.0	long	1	True	1.0		
26	2020-02-11	5739.0	long	2	True	2.0	78.0	-203.75
27	2020-02-12	5757.0	long	3	True	3.0	36.0	-167.75
28	2020-02-13	5781.25	long	4	True	4.0	72.75	-95.0
29	2020-02-14	5751.75	long	5	True	5.0	-118.0	-213.0
30	2020-02-17	5803.75	long	5			260.0	47.0
31	2020-02-18	5761.25	long	5			-212.5	-165.5
32	2020-02-19	5760.25	long	5			-5.0	-170.5
33	2020-02-20	5719.5	long	5			-203.75	-374.25
34	2020-02-21	5757.75	long	5			191.25	-183.0
35	2020-02-24	5677.75	long	5			-400.0	-583.0
36	2020-02-25	5674.75	long	5			-15.0	-598.0
37	2020-02-26	5659.25	long	5			-77.5	-675.5
38	2020-02-27	5609.75	long	5			-247.5	-923.0
39	2020-02-28	5629.0	long	5			96.25	-826.75
40	2020-03-02	5692.0	long	5			315.0	-511.75
41	2020-03-03	5656.25	long	5			-178.75	-690.5
42	2020-03-04	5672.0	long	5			78.75	-611.75
43	2020-03-05	5660.75	long	5			-56.25	-668.0
44	2020-03-06	5594.0	long	5			-333.75	-1001.75
45	2020-03-09	5526.0	long	4	True	1.0	-340.0	-1341.75
46	2020-03-10	5559.25	long	3	True	2.0	133.0	-1208.75
47	2020-03-11	5522.75	long	2	True	3.0	-109.5	-1318.25
48	2020-03-12	5425.25	long	1	True	4.0	-195.0	-1513.25
49	2020-03-13	5448.25	long	0	True	5.0	23.0	-1490.25
