	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2012-07-09	7560.0	short	1	True	1.0		
1	2012-07-10	7486.25	short	2	True	2.0	73.75	73.75
2	2012-07-11	7531.0	short	3	True	3.0	-89.5	-15.75
3	2012-07-12	7546.5	short	4	True	4.0	-46.5	-62.25
4	2012-07-13	7689.5	short	5	True	5.0	-572.0	-634.25
5	2012-07-16	7684.5	short	5			25.0	-609.25
6	2012-07-17	7587.5	short	5			485.0	-124.25
7	2012-07-18	7628.0	short	5			-202.5	-326.75
8	2012-07-19	7724.0	short	5			-480.0	-806.75
9	2012-07-20	7542.0	short	5			910.0	103.25
10	2012-07-23	7402.0	short	5			700.0	803.25
11	2012-07-24	7424.0	short	5			-110.0	693.25
12	2012-07-25	7454.0	short	5			-150.0	543.25
13	2012-07-26	7483.5	short	5			-147.5	395.75
14	2012-07-27	7576.5	short	5			-465.0	-69.25
15	2012-07-30	7558.0	short	5			92.5	23.25
16	2012-07-31	7576.5	short	5			-92.5	-69.25
17	2012-08-01	7439.5	short	5			685.0	615.75
18	2012-08-02	7348.5	short	5			455.0	1070.75
19	2012-08-03	7458.0	short	5			-547.5	523.25
20	2012-08-06	7504.5	short	5			-232.5	290.75
21	2012-08-07	7586.75	short	5			-411.25	-120.5
22	2012-08-08	7555.75	short	4	True	1.0	155.0	34.5
23	2012-08-09	7544.5	short	3	True	2.0	45.0	79.5
24	2012-08-10	7503.5	short	2	True	3.0	123.0	202.5
25	2012-08-13	7410.75	short	1	True	4.0	185.5	388.0
26	2012-08-14	7430.5	short	0	True	5.0	-19.75	368.25
27	2013-04-08	7435.0	long	1	True	1.0		
28	2013-04-09	7616.25	long	2	True	2.0	181.25	549.5
29	2013-04-10	7561.0	long	3	True	3.0	-110.5	439.0
30	2013-04-11	7593.75	long	4	True	4.0	98.25	537.25
31	2013-04-12	7389.5	long	5	True	5.0	-817.0	-279.75
32	2013-04-15	7184.25	long	5			-1026.25	-1306.0
33	2013-04-16	7283.5	long	5			496.25	-809.75
34	2013-04-17	7063.5	long	5			-1100.0	-1909.75
35	2013-04-18	7075.0	long	5			57.5	-1852.25
36	2013-04-19	6974.5	long	5			-502.5	-2354.75
37	2013-04-22	6919.0	long	5			-277.5	-2632.25
38	2013-04-23	6854.0	long	5			-325.0	-2957.25
39	2013-04-24	7011.75	long	5			788.75	-2168.5
40	2013-04-25	7158.0	long	5			731.25	-1437.25
41	2013-04-26	7005.5	long	5			-762.5	-2199.75
42	2013-04-29	7127.5	long	5			610.0	-1589.75
43	2013-04-30	7027.5	long	5			-500.0	-2089.75
44	2013-05-01	6767.75	long	5			-1298.75	-3388.5
45	2013-05-02	6820.75	long	5			265.0	-3123.5
46	2013-05-03	7246.25	long	5			2127.5	-996.0
47	2013-05-06		long	5			0.0	-996.0
48	2013-05-07	7241.0	long	5			-26.25	-1022.25
49	2013-05-08	7395.75	long	4	True	1.0	773.75	-248.5
50	2013-05-09	7330.5	long	3	True	2.0	-261.0	-509.5
51	2013-05-10	7355.0	long	2	True	3.0	73.5	-436.0
52	2013-05-13	7388.5	long	1	True	4.0	67.0	-369.0
53	2013-05-14		long	1	True	5.0	0.0	-369.0
