	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2015-12-08	4582.0	short	1	True	1.0		
1	2015-12-09	4574.25	short	2	True	2.0	7.75	7.75
2	2015-12-10	4585.5	short	3	True	3.0	-22.5	-14.75
3	2015-12-11	4700.0	short	4	True	4.0	-343.5	-358.25
4	2015-12-14	4669.5	short	5	True	5.0	122.0	-236.25
5	2015-12-15	4568.0	short	5			507.5	271.25
6	2015-12-16	4611.5	short	5			-217.5	53.75
7	2015-12-17	4542.5	short	5			345.0	398.75
8	2015-12-18	4678.5	short	5			-680.0	-281.25
9	2015-12-21	4732.25	short	5			-268.75	-550.0
10	2015-12-22	4662.5	short	5			348.75	-201.25
11	2015-12-23	4714.0	short	5			-257.5	-458.75
12	2015-12-24	4682.0	short	5			160.0	-298.75
13	2015-12-25		short	5			-0.0	-298.75
14	2015-12-28		short	5			-0.0	-298.75
15	2015-12-29	4719.25	short	5			-186.25	-485.0
16	2015-12-30	4725.0	short	5			-28.75	-513.75
17	2015-12-31	4698.0	short	5			135.0	-378.75
18	2016-01-01		short	5			-0.0	-378.75
19	2016-01-04	4603.5	short	5			472.5	93.75
20	2016-01-05	4640.5	short	5			-185.0	-91.25
21	2016-01-06	4611.0	short	5			147.5	56.25
22	2016-01-07	4516.0	short	5			475.0	531.25
23	2016-01-08	4477.0	short	4	True	1.0	195.0	726.25
24	2016-01-11	4384.0	short	3	True	2.0	372.0	1098.25
25	2016-01-12	4350.5	short	2	True	3.0	100.5	1198.75
26	2016-01-13	4387.25	short	1	True	4.0	-73.5	1125.25
27	2016-01-14	4408.5	short	0	True	5.0	-21.25	1104.0
28	2016-09-08	4655.5	long	1	True	1.0		
29	2016-09-09	4624.0	long	2	True	2.0	-31.5	1072.5
30	2016-09-12	4639.0	long	3	True	3.0	30.0	1102.5
31	2016-09-13	4643.0	long	4	True	4.0	12.0	1114.5
32	2016-09-14	4764.0	long	5	True	5.0	484.0	1598.5
33	2016-09-15	4772.0	long	5			40.0	1638.5
34	2016-09-16	4778.75	long	5			33.75	1672.25
35	2016-09-19	4764.25	long	5			-72.5	1599.75
36	2016-09-20	4779.75	long	5			77.5	1677.25
37	2016-09-21	4749.75	long	5			-150.0	1527.25
38	2016-09-22	4842.75	long	5			465.0	1992.25
39	2016-09-23	4842.0	long	5			-3.75	1988.5
40	2016-09-26	4828.75	long	5			-66.25	1922.25
41	2016-09-27	4776.75	long	5			-260.0	1662.25
42	2016-09-28	4808.0	long	5			156.25	1818.5
43	2016-09-29	4830.75	long	5			113.75	1932.25
44	2016-09-30	4853.0	long	5			111.25	2043.5
45	2016-10-03	4804.75	long	5			-241.25	1802.25
46	2016-10-04	4789.0	long	5			-78.75	1723.5
47	2016-10-05	4783.5	long	5			-27.5	1696.0
48	2016-10-06	4740.25	long	5			-216.25	1479.75
49	2016-10-07	4760.75	long	5			102.5	1582.25
50	2016-10-10	4830.75	long	4	True	1.0	350.0	1932.25
51	2016-10-11	4793.5	long	3	True	2.0	-149.0	1783.25
52	2016-10-12	4793.75	long	2	True	3.0	0.75	1784.0
53	2016-10-13	4692.5	long	1	True	4.0	-202.5	1581.5
54	2016-10-14	4655.75	long	0	True	5.0	-36.75	1544.75
