,Due,Future,Month,Pair
0,2000-01-18,LTF00,F,LTH00
1,2000-03-14,LTH00,H,LTK00
2,2000-05-16,LTK00,K,LTN00
3,2000-07-18,LTN00,N,LTU00
4,2000-09-18,LTU00,U,LTX00
5,2000-11-14,LTX00,X,LTF01
6,2001-01-16,LTF01,F,LTH01
7,2001-03-16,LTH01,H,LTK01
8,2001-05-11,LTK01,K,LTN01
9,2001-07-13,LTN01,N,LTU01
10,2001-09-14,LTU01,U,LTX01
11,2001-11-16,LTX01,X,LTF02
12,2002-01-11,LTF02,F,LTH02
13,2002-03-15,LTH02,H,LTK02
14,2002-05-10,LTK02,K,LTN02
15,2002-07-12,LTN02,N,LTU02
16,2002-09-13,LTU02,U,LTX02
17,2002-11-15,LTX02,X,LTF03
18,2003-01-10,LTF03,F,LTH03
19,2003-03-14,LTH03,H,LTK03
20,2003-05-16,LTK03,K,LTN03
21,2003-07-11,LTN03,N,LTU03
22,2003-09-12,LTU03,U,LTX03
23,2003-11-14,LTX03,X,LTF04
24,2004-01-16,LTF04,F,LTH04
25,2004-03-12,LTH04,H,LTK04
26,2004-05-14,LTK04,K,LTN04
27,2004-07-16,LTN04,N,LTU04
28,2004-09-10,LTU04,U,LTX04
29,2004-11-12,LTX04,X,LTF05
30,2005-01-14,LTF05,F,LTH05
31,2005-03-11,LTH05,H,LTK05
32,2005-05-13,LTK05,K,LTN05
33,2005-07-15,LTN05,N,LTU05
34,2005-09-16,LTU05,U,LTX05
35,2005-11-11,LTX05,X,LTF06
36,2005-12-30,LTF06,F,LTH06
37,2006-02-28,LTH06,H,LTK06
38,2006-04-28,LTK06,K,LTN06
39,2006-07-17,LTN06,N,LTU06
40,2006-09-18,LTU06,U,LTX06
41,2006-11-13,LTX06,X,LTF07
42,2007-01-15,LTF07,F,LTH07
43,2007-03-19,LTH07,H,LTK07
44,2007-05-14,LTK07,K,LTN07
45,2007-07-16,LTN07,N,LTU07
46,2007-09-17,LTU07,U,LTX07
47,2007-11-19,LTX07,X,LTF08
48,2008-01-14,LTF08,F,LTH08
49,2008-03-17,LTH08,H,LTK08
50,2008-05-19,LTK08,K,LTN08
51,2008-07-14,LTN08,N,LTU08
52,2008-09-15,LTU08,U,LTX08
53,2008-11-17,LTX08,X,LTF09
54,2009-01-19,LTF09,F,LTH09
55,2009-03-16,LTH09,H,LTK09
56,2009-05-18,LTK09,K,LTN09
57,2009-07-13,LTN09,N,LTU09
58,2009-09-14,LTU09,U,LTX09
59,2009-11-16,LTX09,X,LTF10
60,2010-01-18,LTF10,F,LTH10
61,2010-03-15,LTH10,H,LTK10
62,2010-05-17,LTK10,K,LTN10
63,2010-07-19,LTN10,N,LTU10
64,2010-09-13,LTU10,U,LTX10
65,2010-11-15,LTX10,X,LTF11
66,2011-01-17,LTF11,F,LTH11
67,2011-03-14,LTH11,H,LTK11
68,2011-05-16,LTK11,K,LTN11
69,2011-07-18,LTN11,N,LTU11
70,2011-09-19,LTU11,U,LTX11
71,2011-11-14,LTX11,X,LTF12
72,2012-01-16,LTF12,F,LTH12
73,2012-03-19,LTH12,H,LTK12
74,2012-05-14,LTK12,K,LTN12
75,2012-07-16,LTN12,N,LTU12
76,2012-09-17,LTU12,U,LTX12
77,2012-11-19,LTX12,X,LTF13
78,2013-01-14,LTF13,F,LTH13
79,2013-03-18,LTH13,H,LTK13
80,2013-05-13,LTK13,K,LTN13
81,2013-07-15,LTN13,N,LTU13
82,2013-09-16,LTU13,U,LTX13
83,2013-11-18,LTX13,X,LTF14
84,2014-01-13,LTF14,F,LTH14
85,2014-03-17,LTH14,H,LTK14
86,2014-05-19,LTK14,K,LTN14
87,2014-07-14,LTN14,N,LTU14
88,2014-09-15,LTU14,U,LTX14
89,2014-11-17,LTX14,X,LTF15
90,2015-01-19,LTF15,F,LTH15
91,2015-03-16,LTH15,H,LTK15
92,2015-05-18,LTK15,K,LTN15
93,2015-07-13,LTN15,N,LTU15
94,2015-09-14,LTU15,U,LTX15
95,2015-11-16,LTX15,X,LTF16
96,2016-01-18,LTF16,F,LTH16
97,2016-03-14,LTH16,H,LTK16
98,2016-05-16,LTK16,K,LTN16
99,2016-07-18,LTN16,N,LTU16
100,2016-09-19,LTU16,U,LTX16
101,2016-11-14,LTX16,X,LTF17
102,2017-01-16,LTF17,F,LTH17
103,2017-03-13,LTH17,H,LTK17
104,2017-05-15,LTK17,K,LTN17
105,2017-07-17,LTN17,N,LTU17
106,2017-09-18,LTU17,U,LTX17
107,2017-11-13,LTX17,X,LTF18
108,2018-01-15,LTF18,F,LTH18
109,2018-03-19,LTH18,H,LTK18
110,2018-05-14,LTK18,K,LTN18
111,2018-07-16,LTN18,N,LTU18
