	Date	Price	long_short	Quantity	IS_ROLLING	Day	Pnl	cum_PnL
0	2012-11-08	20542.0	short	1	True	1.0		
1	2012-11-09	20294.0	short	2	True	2.0	248.0	248.0
2	2012-11-12	20369.0	short	3	True	3.0	-150.0	98.0
3	2012-11-13	20393.0	short	4	True	4.0	-72.0	26.0
4	2012-11-14	20468.0	short	5	True	5.0	-300.0	-274.0
5	2012-11-15	20495.0	short	5			-135.0	-409.0
6	2012-11-16	20395.0	short	5			500.0	91.0
7	2012-11-19	20795.0	short	5			-2000.0	-1909.0
8	2012-11-20	20790.0	short	5			25.0	-1884.0
9	2012-11-21	20415.0	short	5			1875.0	-9.0
10	2012-11-22	20456.0	short	5			-205.0	-214.0
11	2012-11-23	20841.0	short	5			-1925.0	-2139.0
12	2012-11-26	20818.0	short	5			115.0	-2024.0
13	2012-11-27	21196.0	short	5			-1890.0	-3914.0
14	2012-11-28	21425.0	short	5			-1145.0	-5059.0
15	2012-11-29	21870.0	short	5			-2225.0	-7284.0
16	2012-11-30	21845.0	short	5			125.0	-7159.0
17	2012-12-03	21850.0	short	5			-25.0	-7184.0
18	2012-12-04	21820.0	short	5			150.0	-7034.0
19	2012-12-05	21743.0	short	5			385.0	-6649.0
20	2012-12-06	21898.0	short	5			-775.0	-7424.0
21	2012-12-07	21773.0	short	5			625.0	-6799.0
22	2012-12-10	23095.0	short	5			-6610.0	-13409.0
23	2012-12-11	22975.0	short	5			600.0	-12809.0
24	2012-12-12	23133.0	short	5			-790.0	-13599.0
25	2012-12-13	22973.0	short	5			800.0	-12799.0
26	2012-12-14	23149.0	short	5			-880.0	-13679.0
27	2012-12-17	23300.0	short	5			-755.0	-14434.0
28	2012-12-18	23525.0	short	5			-1125.0	-15559.0
29	2012-12-19	23500.0	short	5			125.0	-15434.0
30	2012-12-20	23330.0	short	5			850.0	-14584.0
31	2012-12-21	23225.0	short	5			525.0	-14059.0
32	2012-12-24	23295.0	short	5			-350.0	-14409.0
33	2012-12-25		short	5			-0.0	-14409.0
34	2012-12-26		short	5			-0.0	-14409.0
35	2012-12-27	23400.0	short	5			-525.0	-14934.0
36	2012-12-28	23325.0	short	5			375.0	-14559.0
37	2012-12-31	23400.0	short	5			-375.0	-14934.0
38	2013-01-01		short	5			-0.0	-14934.0
39	2013-01-02	24445.0	short	5			-5225.0	-20159.0
40	2013-01-03	23980.0	short	5			2325.0	-17834.0
41	2013-01-04	23798.0	short	5			910.0	-16924.0
42	2013-01-07	24070.0	short	5			-1360.0	-18284.0
43	2013-01-08	24145.0	long	1	True	1.0		
44	2013-01-08	24145.0	short	4	True	1.0	-375.0	-18659.0
45	2013-01-09	24642.0	long	2	True	2.0	497.0	-18162.0
46	2013-01-09	24642.0	short	3	True	2.0	-1988.0	-20150.0
47	2013-01-10	24647.0	long	3	True	3.0	10.0	-20140.0
48	2013-01-10	24647.0	short	2	True	3.0	-15.0	-20155.0
49	2013-01-11	24905.0	long	4	True	4.0	774.0	-19381.0
50	2013-01-11	24905.0	short	1	True	4.0	-516.0	-19897.0
51	2013-01-14	24750.0	long	5	True	5.0	-620.0	-20517.0
52	2013-01-14	24750.0	short	0	True	5.0	155.0	-20362.0
53	2013-01-15	24886.0	long	5			680.0	-19682.0
54	2013-01-16	25001.0	long	5			575.0	-19107.0
55	2013-01-17	25000.0	long	5			-5.0	-19112.0
56	2013-01-18	25033.0	long	5			165.0	-18947.0
57	2013-01-21	25006.0	long	5			-135.0	-19082.0
58	2013-01-22	24618.0	long	5			-1940.0	-21022.0
59	2013-01-23	24488.0	long	5			-650.0	-21672.0
60	2013-01-24	24663.0	long	5			875.0	-20797.0
61	2013-01-25	24712.0	long	5			245.0	-20552.0
62	2013-01-28	24414.0	long	5			-1490.0	-22042.0
63	2013-01-29	24610.0	long	5			980.0	-21062.0
64	2013-01-30	24896.0	long	5			1430.0	-19632.0
